artifact_id	relative_path	role	status	bytes	sha256
report_source_en	4_reporting/03_final_report/paper_draft.md	paper report source	ready	31375	e905d005cb4ddadd002030b30a1254aa9f86075633485be6dddea5f60e1283e5
report_html_en	4_reporting/03_final_report/paper_draft.html	browser/print report	ready	42091	271d65195c7821d0d4b29a77e5d03cfe3ffb9eb859ff3646a8a4b86d85fd1cef
report_pdf_en	4_reporting/03_final_report/paper_draft.pdf	shareable paper report	ready	127722	2515da11407c26baad6f594a871fe78fc60b1c4ebe30d73052df29596d232dcb
report_source_ko	4_reporting/03_final_report/paper_draft_ko.md	Korean paper report source	ready	23944	90b06a77e951adee026ac05cf2a12c9459a123ecb6d2a7e7ce8d2898f9feb1f7
report_html_ko	4_reporting/03_final_report/paper_draft_ko.html	browser/print Korean report	ready	30967	40260eff29b85cb5dcf0b616c1da3084ead8664f67537caa0d5afc106ab48048
report_pdf_ko	4_reporting/03_final_report/paper_draft_ko.pdf	shareable Korean report	ready	210539	a2bf8d4a4287e8b22dff1f3848583d1af1e710e326fcc70e1310d73c635d9b96
contribution_summary	4_reporting/03_final_report/contribution_summary.md	current contribution and novelty claim summary	ready	5087	a0aa4e54f37657b8a953cad2a031b3b0845b8e41ac78223517e9bc14ed3272fa
result_interpretation_blocks	4_reporting/03_final_report/result_interpretation_blocks.md	Outcome-conditioned final abstract/conclusion blocks	ready	20266	1566b17bb349b8af87228b5510c43a66b5f1b41026a109307880c33b706ede96
manuscript_completion_matrix	4_reporting/03_final_report/manuscript_completion_matrix.md	section-level manuscript completion and claim gates	ready	7460	314048c0c6ac3827442bbc975eb5f0df01b0f1a261b1a94de4a2c52429934328
paper_build_spec	4_reporting/03_final_report/paper_build_spec.md	paper assembly and rebuild specification	ready	11019	88bf8731a6f3ac7825b8010e68fcdc2cf59a8608b69c919c18599f48937d900c
references_bib	4_reporting/03_final_report/references.bib	BibTeX references for cited papers and code artifacts	ready	1845	4939c30a065c418bbb595128a394b596d2a7aad8ee5de8991ddeda828f40632e
citation_source_map	4_reporting/03_final_report/citation_source_map.md	paper claim-to-citation boundary map	ready	3133	488d495acd30058faf399c2386eaa1792b5bb29dfe67828bafdf74ae63736d56
external_source_verification	4_reporting/03_final_report/external_source_verification.md	primary-source verification for bibliography and method-lineage wording	ready	4216	23c55ab0c7123cdd1a91ef024e04691d8a8586152fa5699fa092964526bbdc18
