model_key	point_id	language_script	group	x	y	text_preview
v52_mean_conv5way_step25000	p0	dtp_Latn	v5_target	-0.048428	-0.558067	Songkuro ginayo lo?
v52_mean_conv5way_step25000	p1	eng_Latn	v5_target	-0.513538	0.128449	How big will it be?
v52_mean_conv5way_step25000	p2	dtp_Latn	v5_target	-0.013544	-0.487183	Langad-langadon ku diya!
v52_mean_conv5way_step25000	p3	eng_Latn	v5_target	-0.427531	0.216143	My longing for you is killing me!
v52_mean_conv5way_step25000	p4	dtp_Latn	v5_target	0.493627	-0.379537	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_mean_conv5way_step25000	p5	eng_Latn	v5_target	-0.398155	0.287962	I recently broke up with my boyfriend of three years.
v52_mean_conv5way_step25000	p6	dtp_Latn	v5_target	0.365831	-0.476423	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_mean_conv5way_step25000	p7	eng_Latn	v5_target	-0.393896	0.371129	I've been able to drive for more than twenty years.
v52_mean_conv5way_step25000	p8	dtp_Latn	v5_target	-0.374280	-0.332105	Luminabus i Tom.
v52_mean_conv5way_step25000	p9	eng_Latn	v5_target	-0.532498	-0.147849	Tom was out.
v52_mean_conv5way_step25000	p10	dtp_Latn	v5_target	-0.125548	-0.600617	Manu oku poposolon di Tom.
v52_mean_conv5way_step25000	p11	eng_Latn	v5_target	-0.535554	0.076356	I want to make Tom jealous.
v52_mean_conv5way_step25000	p12	dtp_Latn	v5_target	-0.134456	-0.583053	Orohian ko' do kumaau.
v52_mean_conv5way_step25000	p13	eng_Latn	v5_target	-0.557291	0.047207	You like swimming.
v52_mean_conv5way_step25000	p14	dtp_Latn	v5_target	0.090583	-0.637535	Au kou mangandad no sominggu?
v52_mean_conv5way_step25000	p15	eng_Latn	v5_target	-0.421022	0.295653	Couldn't you have just waited a week?
v52_mean_conv5way_step25000	p16	dtp_Latn	v5_target	0.183749	-0.499792	Osonong tomod ura tinan nu mantad doho.
v52_mean_conv5way_step25000	p17	eng_Latn	v5_target	-0.511720	0.270791	You're in better shape than I am.
v52_mean_conv5way_step25000	p18	dtp_Latn	v5_target	-0.123824	-0.546088	Mamadil oku kama dau.
v52_mean_conv5way_step25000	p19	eng_Latn	v5_target	-0.543437	0.090988	I'm gonna shoot him.
v52_mean_conv5way_step25000	p20	dtp_Latn	v5_target	0.218444	-0.582146	Nokoumbal kou nokorongou diti tangon no?
v52_mean_conv5way_step25000	p21	eng_Latn	v5_target	-0.436704	0.184642	Have you heard this story already?
v52_mean_conv5way_step25000	p22	dtp_Latn	v5_target	0.217654	-0.518245	Obuli ko' daa lumisok kaka ri?
v52_mean_conv5way_step25000	p23	eng_Latn	v5_target	-0.544221	0.139255	Can you keep a secret?
v52_mean_conv5way_step25000	p24	dtp_Latn	v5_target	0.323222	-0.421355	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_mean_conv5way_step25000	p25	eng_Latn	v5_target	-0.393577	0.364793	A piano is expensive, but a car is more expensive.
v52_mean_conv5way_step25000	p26	dtp_Latn	v5_target	0.068443	-0.447246	Minsingilo' ko' nangku boros Inggilis?
v52_mean_conv5way_step25000	p27	eng_Latn	v5_target	-0.471104	-0.008150	Do you study English?
v52_mean_conv5way_step25000	p28	dtp_Latn	v5_target	0.105266	-0.521824	Milo' oku daa mokianu kamus nu?
v52_mean_conv5way_step25000	p29	eng_Latn	v5_target	-0.483515	-0.111626	May I borrow your dictionary?
v52_mean_conv5way_step25000	p30	dtp_Latn	v5_target	-0.011549	-0.627103	Otopot toi maso id jam nu?
v52_mean_conv5way_step25000	p31	eng_Latn	v5_target	-0.538359	0.023615	Is your watch correct?
v52_mean_conv5way_step25000	p32	dtp_Latn	v5_target	0.530114	-0.418036	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.
v52_mean_conv5way_step25000	p33	eng_Latn	v5_target	-0.301899	0.383516	Some scientists predict that the world oil reserves will be used up within a century.
v52_mean_conv5way_step25000	p34	dtp_Latn	v5_target	-0.153167	-0.490183	Manu ko' do apol?
v52_mean_conv5way_step25000	p35	eng_Latn	v5_target	-0.535834	0.094223	Do you like apples?
v52_mean_conv5way_step25000	p36	dtp_Latn	v5_target	-0.188549	-0.519711	Mada oku dii.
v52_mean_conv5way_step25000	p37	eng_Latn	v5_target	-0.487646	0.118032	I don't think so.
v52_mean_conv5way_step25000	p38	dtp_Latn	v5_target	-0.236095	-0.577517	Olumis ilo wotik.
v52_mean_conv5way_step25000	p39	eng_Latn	v5_target	-0.548219	0.124729	That's a pretty colour.
v52_mean_conv5way_step25000	p40	dtp_Latn	v5_target	0.145215	-0.567556	Au oku nokoilo nunu o taakan ku kosodop.
v52_mean_conv5way_step25000	p41	eng_Latn	v5_target	-0.472651	0.262397	I can't remember what I ate last night.
v52_mean_conv5way_step25000	p42	dtp_Latn	v5_target	0.244072	-0.457924	Nokoumbal ko' minoi hilo'd Paris di gulu?
v52_mean_conv5way_step25000	p43	eng_Latn	v5_target	-0.466030	0.152803	Have you ever been to Paris?
v52_mean_conv5way_step25000	p44	dtp_Latn	v5_target	0.161799	-0.611587	Kikaraja isido dot oruhai sabaagi do mananaip.
v52_mean_conv5way_step25000	p45	eng_Latn	v5_target	-0.367245	0.212516	She got a part-time job as a typist.
v52_mean_conv5way_step25000	p46	dtp_Latn	v5_target	0.426479	-0.355724	Manahak nopo do tunturu tokoro nga onuan disio do tunturu ngai iso longon.
v52_mean_conv5way_step25000	p47	eng_Latn	v5_target	-0.354983	0.426460	Give someone the little finger, and he will take the whole hand.
v52_mean_conv5way_step25000	p48	dtp_Latn	v5_target	-0.154089	-0.567878	Muhot oku diya po toruhai kio.
v52_mean_conv5way_step25000	p49	eng_Latn	v5_target	-0.485196	0.236307	I want to ask you one last favor.
v52_mean_conv5way_step25000	p50	dtp_Latn	v5_target	0.209323	-0.389273	Ih singa nopo nga wowoyoon hiri'd gowuton.
v52_mean_conv5way_step25000	p51	eng_Latn	v5_target	-0.388037	0.275742	The lion is the king of the jungle.
v52_mean_conv5way_step25000	p52	dtp_Latn	v5_target	-0.006401	-0.592382	Au tagal tikit.
v52_mean_conv5way_step25000	p53	eng_Latn	v5_target	-0.507119	0.013148	No tickets are needed.
v52_mean_conv5way_step25000	p54	dtp_Latn	v5_target	0.111149	-0.605690	Au tagal yahai ponongkiboros diolo.
v52_mean_conv5way_step25000	p55	eng_Latn	v5_target	-0.535187	0.237694	We don't need to talk to them.
v52_mean_conv5way_step25000	p56	dtp_Latn	v5_target	-0.125881	-0.601677	Nunu binoli nu?
v52_mean_conv5way_step25000	p57	eng_Latn	v5_target	-0.483973	0.062792	What did you buy?
v52_mean_conv5way_step25000	p58	dtp_Latn	v5_target	-0.164304	-0.562057	Obulou ilo tawan.
v52_mean_conv5way_step25000	p59	eng_Latn	v5_target	-0.618509	-0.022467	The sky is blue.
v52_mean_conv5way_step25000	p60	dtp_Latn	v5_target	0.372213	-0.284671	Orohian nogi mintong do pulitik tulun Amorika kokomoi do timpu pomilian do pirisidion.
v52_mean_conv5way_step25000	p61	eng_Latn	v5_target	-0.346478	0.354523	It's interesting to observe American politics, especially during a presidential election.
v52_mean_conv5way_step25000	p62	dtp_Latn	v5_target	0.068835	-0.481910	Iti nopo nga bunsiling di Mike.
v52_mean_conv5way_step25000	p63	eng_Latn	v5_target	-0.494093	0.113845	This is Mike's bicycle.
v52_mean_conv5way_step25000	p64	dtp_Latn	v5_target	0.545995	-0.277693	I Tom nopo nga tambalut di tosonong, nga miagal do bakas kokitanan dau om iri no sabap au oku songkuro muhang dau.
v52_mean_conv5way_step25000	p65	eng_Latn	v5_target	-0.206827	0.555131	Tom is very good friend, but he looks like a wild boar so I don't consider him a potential love interest.
v52_mean_conv5way_step25000	p66	dtp_Latn	v5_target	0.169072	-0.553752	I Andi Smith songulun mongigia boros Inggilis?
v52_mean_conv5way_step25000	p67	eng_Latn	v5_target	-0.464372	0.093602	Is Mrs. Smith an English teacher?
v52_mean_conv5way_step25000	p68	dtp_Latn	v5_target	0.272987	-0.292329	Papapanau i Tom korita di Mary montok pakayaan hilo'd id Boston.
v52_mean_conv5way_step25000	p69	eng_Latn	v5_target	-0.464478	0.145232	Tom drove Mary's car to Boston.
v52_mean_conv5way_step25000	p70	dtp_Latn	v5_target	0.111111	-0.485639	Nokuro tu apatut yahai maan dilo?
v52_mean_conv5way_step25000	p71	eng_Latn	v5_target	-0.476986	0.262452	Why would we need to do that?
v52_mean_conv5way_step25000	p72	dtp_Latn	v5_target	0.176613	-0.395553	Apatut no korikot i Tom hilo'd pogun Australia dinondo.
v52_mean_conv5way_step25000	p73	eng_Latn	v5_target	-0.501798	0.192052	Tom should already be in Australia by now.
v52_mean_conv5way_step25000	p74	dtp_Latn	v5_target	-0.246438	-0.531897	Maan oku do tosikap kio.
v52_mean_conv5way_step25000	p75	eng_Latn	v5_target	-0.496358	-0.123748	I have to hurry!
v52_mean_conv5way_step25000	p76	dtp_Latn	v5_target	-0.220321	-0.515662	Umbalan ku no koti.
v52_mean_conv5way_step25000	p77	eng_Latn	v5_target	-0.589279	0.055635	I have to try.
v52_mean_conv5way_step25000	p78	dtp_Latn	v5_target	-0.001751	-0.548211	Rongoho no sawo nu oi Tom.
v52_mean_conv5way_step25000	p79	eng_Latn	v5_target	-0.560096	0.174716	Listen to your wife, Tom.
v52_mean_conv5way_step25000	p80	dtp_Latn	v5_target	0.086889	-0.562084	Atuukoi, iti nopo nga tangaraat nodi!
v52_mean_conv5way_step25000	p81	eng_Latn	v5_target	-0.388438	0.177417	Oh my god, it's complete chaos!
v52_mean_conv5way_step25000	p82	dtp_Latn	v5_target	-0.146318	-0.611207	Ongotumbayaan i toinsanan.
v52_mean_conv5way_step25000	p83	eng_Latn	v5_target	-0.604529	0.144309	Everybody believes it.
v52_mean_conv5way_step25000	p84	dtp_Latn	v5_target	-0.014350	-0.685231	Amu kopunong sisimbar nu.
v52_mean_conv5way_step25000	p85	eng_Latn	v5_target	-0.584512	0.065589	Your answer is wrong.
v52_mean_conv5way_step25000	p86	dtp_Latn	v5_target	-0.014148	-0.607250	Poopio ilo rinomos id labus.
v52_mean_conv5way_step25000	p87	eng_Latn	v5_target	-0.516177	-0.134119	Put the garbage outside.
v52_mean_conv5way_step25000	p88	dtp_Latn	v5_target	-0.050006	-0.622316	Otopot ko diti?
