phase	metric	summary_group	score_name	status	direction	delta_fvt_minus_random	relative_delta_pct	fvt_better_raw	materiality_band	practical_winner	claim_use	threshold_note
zero_step	mlm_proxy	head	weighted_mean_nll	measured	lower_is_better	-6.273844	-48.65	yes	large	fvt	supports_intrinsic_initialization_claim	NLL bands: tie if abs(delta)<0.01 or abs(relative)<0.1%; small<1%; moderate<5%; large>=5%
zero_step	mlm_proxy	head	weighted_pseudo_perplexity	measured	lower_is_better	-397684.565864	-99.81	yes	large	fvt	supports_intrinsic_initialization_claim	relative PPPL bands: tie<0.1%, small<1%, moderate<5%, large>=5%
zero_step	mlm_proxy	v5_target	weighted_mean_nll	measured	lower_is_better	-9.626238	-52.28	yes	large	fvt	supports_intrinsic_initialization_claim	NLL bands: tie if abs(delta)<0.01 or abs(relative)<0.1%; small<1%; moderate<5%; large>=5%
zero_step	mlm_proxy	v5_target	weighted_pseudo_perplexity	measured	lower_is_better	-99104957.546638	-99.99	yes	large	fvt	supports_intrinsic_initialization_claim	relative PPPL bands: tie<0.1%, small<1%, moderate<5%, large>=5%
zero_step	mlm_proxy	all	weighted_mean_nll	measured	lower_is_better	-8.471624	-51.31	yes	large	fvt	supports_intrinsic_initialization_claim	NLL bands: tie if abs(delta)<0.01 or abs(relative)<0.1%; small<1%; moderate<5%; large>=5%
zero_step	mlm_proxy	all	weighted_pseudo_perplexity	measured	lower_is_better	-14821619.507153	-99.98	yes	large	fvt	supports_intrinsic_initialization_claim	relative PPPL bands: tie<0.1%, small<1%, moderate<5%, large>=5%
after_mlm_or_downstream	retrieval_bible	all	top10_accuracy	measured	higher_is_better	0.042330	12.90	yes	large	fvt	eligible_for_final_method_decision	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	retrieval_bible	head	top10_accuracy	measured	higher_is_better	0.042330	12.90	yes	large	fvt	eligible_for_final_method_decision	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	retrieval_tatoeba	all	top10_accuracy	measured	higher_is_better	0.007154	1.17	yes	small	fvt	eligible_only_for_cautious_or_mixed_wording	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	retrieval_tatoeba	head	top10_accuracy	measured	higher_is_better	0.012384	1.77	yes	moderate	fvt	eligible_for_final_method_decision	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	text_classification	all	macro_f1	measured	higher_is_better	0.014840	2.11	yes	moderate	fvt	eligible_for_final_method_decision	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	text_classification	head	macro_f1	measured	higher_is_better	0.014840	2.11	yes	moderate	fvt	eligible_for_final_method_decision	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	pseudoperplexity	-	weighted_pseudo_perplexity	pending_result	lower_is_better				not_applicable	pending_or_blocked	not_claimable_until_measured	relative PPPL bands: tie<0.1%, small<1%, moderate<5%, large>=5%
after_mlm_or_downstream	ner	-	f1	pending_result	higher_is_better				not_applicable	pending_or_blocked	not_claimable_until_measured	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	pos	-	f1	pending_result	higher_is_better				not_applicable	pending_or_blocked	not_claimable_until_measured	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
after_mlm_or_downstream	roundtrip_alignment	-	accuracy	pending_result	higher_is_better				not_applicable	pending_or_blocked	not_claimable_until_measured	absolute score bands: tie<0.002, small<0.010, moderate<0.030, large>=0.030
