task	language_script	new_length	resource_bucket
NER	fur_Latn	30052	30k_50k
NER	ext_Latn	30605	30k_50k
NER	bih_Deva	31658	30k_50k
NER	jbo_Latn	32619	30k_50k
NER	csb_Latn	33743	30k_50k
NER	zea_Latn	34426	30k_50k
NER	ksh_Latn	38130	30k_50k
NER	crh_Latn	39896	30k_50k
NER	lij_Latn	42447	30k_50k
NER	sgs_Latn	42467	30k_50k
NER	vep_Latn	43076	30k_50k
NER	eml_Latn	44630	30k_50k
NER	frr_Latn	55254	50k_100k
NER	ace_Latn	59333	50k_100k
NER	nap_Latn	65826	50k_100k
NER	mzn_Arab	73719	50k_100k
NER	lzh_Hani	86035	50k_100k
NER	grn_Latn	87568	50k_100k
NER	mhr_Cyrl	100474	100k_300k
NER	vls_Latn	101900	100k_300k
NER	hsb_Latn	104802	100k_300k
NER	szl_Latn	112496	100k_300k
NER	cbk_Latn	118789	100k_300k
NER	diq_Latn	128908	100k_300k
NER	mwl_Latn	150054	100k_300k
NER	xmf_Geor	174994	100k_300k
NER	ina_Latn	197315	100k_300k
NER	scn_Latn	199068	100k_300k
NER	wuu_Hani	224088	100k_300k
NER	pms_Latn	227748	100k_300k
NER	bod_Tibt	273489	100k_300k
NER	vol_Latn	310399	300k_1M
NER	ido_Latn	331239	300k_1M
NER	lmo_Latn	348135	300k_1M
NER	sah_Cyrl	352697	300k_1M
NER	aym_Latn	373329	300k_1M
NER	roh_Latn	377067	300k_1M
NER	bar_Latn	387070	300k_1M
NER	arg_Latn	410683	300k_1M
NER	sco_Latn	411591	300k_1M
NER	yue_Hani	484700	300k_1M
NER	vec_Latn	514240	300k_1M
NER	min_Latn	609065	300k_1M
NER	tuk_Latn	649411	300k_1M
NER	lim_Latn	652078	300k_1M
NER	nan_Latn	656389	300k_1M
NER	oss_Cyrl	683517	300k_1M
NER	che_Cyrl	728201	300k_1M
NER	que_Latn	838486	300k_1M
NER	chv_Cyrl	859863	300k_1M
NER	ckb_Arab	874441	300k_1M
NER	pnb_Arab	899895	300k_1M
NER	nds_Latn	944715	300k_1M
NER	lin_Latn	1408460	1M_10M
NER	oci_Latn	1449128	1M_10M
NER	kin_Latn	1521612	1M_10M
NER	ibo_Latn	1543820	1M_10M
NER	mri_Latn	2046850	1M_10M
NER	ilo_Latn	2106531	1M_10M
NER	bak_Cyrl	2264196	1M_10M
NER	fao_Latn	2365271	1M_10M
NER	yor_Latn	2392359	1M_10M
NER	div_Thaa	2418687	1M_10M
NER	war_Latn	2584810	1M_10M
NER	als_Latn	2954874	1M_10M
NER	cos_Latn	3015055	1M_10M
NER	arz_Arab	3488224	1M_10M
NER	ast_Latn	4683554	1M_10M
NER	tat_Cyrl	4708088	1M_10M
NER	nno_Latn	4899103	1M_10M
NER	ltz_Latn	12997242	10M_plus
NER	ceb_Latn	18149215	10M_plus
NER	tgk_Cyrl	18659517	10M_plus
NER	mlt_Latn	40654838	10M_plus
NER	hbs_Latn	63411156	10M_plus
POS	xav_Latn	31765	30k_50k
POS	bam_Latn	32150	30k_50k
POS	myv_Cyrl	42147	30k_50k
POS	lij_Latn	42447	30k_50k
POS	glv_Latn	55641	50k_100k
POS	aln_Latn	60989	50k_100k
POS	nap_Latn	65826	50k_100k
POS	ajp_Arab	83297	50k_100k
POS	lzh_Hani	86035	50k_100k
POS	grn_Latn	87568	50k_100k
POS	hbo_Hebr	96484	50k_100k
POS	grc_Grek	96986	50k_100k
POS	hsb_Latn	104802	100k_300k
POS	sme_Latn	146803	100k_300k
POS	wol_Latn	146992	100k_300k
POS	quc_Latn	181559	100k_300k
POS	pcm_Latn	187594	100k_300k
POS	kmr_Latn	256677	100k_300k
POS	sah_Cyrl	352697	300k_1M
POS	gsw_Latn	449240	300k_1M
POS	yue_Hani	484700	300k_1M
POS	hyw_Armn	679819	300k_1M
POS	nds_Latn	944715	300k_1M
POS	fao_Latn	2365271	1M_10M
POS	yor_Latn	2392359	1M_10M
POS	tat_Cyrl	4708088	1M_10M
POS	ceb_Latn	18149215	10M_plus
POS	mlt_Latn	40654838	10M_plus
Sentence Retrieval Bible	kaa_Latn	30031	30k_50k
Sentence Retrieval Bible	rap_Latn	30102	30k_50k
Sentence Retrieval Bible	pls_Latn	30136	30k_50k
Sentence Retrieval Bible	mrw_Latn	30304	30k_50k
Sentence Retrieval Bible	tuc_Latn	30349	30k_50k
Sentence Retrieval Bible	krc_Cyrl	30353	30k_50k
Sentence Retrieval Bible	mwm_Latn	30432	30k_50k
Sentence Retrieval Bible	hra_Latn	30472	30k_50k
Sentence Retrieval Bible	mzh_Latn	30517	30k_50k
Sentence Retrieval Bible	ksd_Latn	30550	30k_50k
Sentence Retrieval Bible	dln_Latn	30620	30k_50k
Sentence Retrieval Bible	ifa_Latn	30621	30k_50k
Sentence Retrieval Bible	mcn_Latn	30666	30k_50k
Sentence Retrieval Bible	kmm_Latn	30671	30k_50k
Sentence Retrieval Bible	pxm_Latn	30698	30k_50k
Sentence Retrieval Bible	aka_Latn	30704	30k_50k
Sentence Retrieval Bible	rug_Latn	30857	30k_50k
Sentence Retrieval Bible	izz_Latn	30894	30k_50k
Sentence Retrieval Bible	ifb_Latn	30980	30k_50k
Sentence Retrieval Bible	tui_Latn	31161	30k_50k
Sentence Retrieval Bible	zlm_Latn	31345	30k_50k
Sentence Retrieval Bible	wbm_Latn	31394	30k_50k
Sentence Retrieval Bible	hne_Deva	31465	30k_50k
Sentence Retrieval Bible	kjb_Latn	31471	30k_50k
Sentence Retrieval Bible	cuk_Latn	31612	30k_50k
Sentence Retrieval Bible	xav_Latn	31765	30k_50k
Sentence Retrieval Bible	yan_Latn	31775	30k_50k
Sentence Retrieval Bible	tca_Latn	31852	30k_50k
Sentence Retrieval Bible	rop_Latn	31889	30k_50k
Sentence Retrieval Bible	caq_Latn	31903	30k_50k
