slide	title	status	primary_assets	asset_exists	primary_sources	source_exists	assembly_note	final_gate
1	Title	ready	none	none=not_applicable	4_reporting/03_final_report/claim_ledger.md; 4_reporting/03_final_report/paper_draft.md	4_reporting/03_final_report/claim_ledger.md=yes; 4_reporting/03_final_report/paper_draft.md=yes	Use controlled 102-language reproduction wording.	scope unchanged
2	Motivation And Contributions	ready	none	none=not_applicable	4_reporting/03_final_report/contribution_summary.md	4_reporting/03_final_report/contribution_summary.md=yes	Introduce uneven coverage plus reproduction, initialization, and metric-fidelity contributions.	none
3	Reproduction Boundary	ready	figure_01_experiment_pipeline.png	figure_01_experiment_pipeline.png=yes	goal_readiness.md; 4_reporting/03_final_report/claim_ledger.md; 4_reporting/00_tables/table_15_glot500_reproduction_fidelity.md	goal_readiness.md=yes; 4_reporting/03_final_report/claim_ledger.md=yes; 4_reporting/00_tables/table_15_glot500_reproduction_fidelity.md=yes	Say Glot500-style controlled subset, not full 511-language reproduction.	boundary wording locked
4	Target10 Selection	ready	table	table=not_applicable	0_tokenizer/miscellaneous/glot50010_selected_manifest.tsv; Report.md	0_tokenizer/miscellaneous/glot50010_selected_manifest.tsv=yes; Report.md=yes	Use compact language/region/script table.	target set unchanged
5	Corpus Construction	ready	table_01_data_scope.md	table_01_data_scope.md=yes	0_tokenizer/merge/Glot500_v5_glot50010_xlmr100.report.json	0_tokenizer/merge/Glot500_v5_glot50010_xlmr100.report.json=yes	Show 92+10, 92,452,251 merged lines, 0 missing dirs.	merge report unchanged
6	Tokenizer Method	ready_with_caveat	figure_02_tokenizer_fertility_delta.png; table_02_tokenizer_audit.md	figure_02_tokenizer_fertility_delta.png=yes; table_02_tokenizer_audit.md=yes	0_tokenizer/03_audit/main/tokenization_comparison.tsv; 0_tokenizer/03_audit/main/vocab_audit.json	0_tokenizer/03_audit/main/tokenization_comparison.tsv=yes; 0_tokenizer/03_audit/main/vocab_audit.json=yes	Keep dzo_Tibt regression visible.	tokenizer unchanged or repaired
7	Novelty	ready	method table	method table=yes	4_reporting/03_final_report/contribution_summary.md; 4_reporting/00_tables/table_03_initialization_zero_step.md	4_reporting/03_final_report/contribution_summary.md=yes; 4_reporting/00_tables/table_03_initialization_zero_step.md=yes	Novelty is initialization for appended vocabulary rows.	none
8	Initialization Audit	ready	none	none=not_applicable	1_embedding/05_audit/main/init_reports/fvt_init_report.json	1_embedding/05_audit/main/init_reports/fvt_init_report.json=yes	Show identity copy, mask remap, byte accounting, and LM-head tying.	none
9	Zero-Step Evidence	ready	figure_03_zero_step_initialization.png; table_03_initialization_zero_step.md	figure_03_zero_step_initialization.png=yes; table_03_initialization_zero_step.md=yes	1_embedding/04_zero_step_eval/main/summary.tsv; 4_reporting/method_comparison_summary.md	1_embedding/04_zero_step_eval/main/summary.tsv=yes; 4_reporting/method_comparison_summary.md=yes	Show FVT zero-step target NLL advantage as intrinsic evidence only.	matched PPPL rows for v5_random and v5_fvt
10	Training Setup	execution_in_progress	table_05_training_status.md	table_05_training_status.md=yes	3_evaluation/running_status.md; 2_training/README.md	3_evaluation/running_status.md=yes; 2_training/README.md=yes	Use running status only as progress, not final result.	selected v5_random and v5_fvt checkpoints exist
11	Glot500 Metrics	ready_with_coverage_caveat	figure_05_evaluation_coverage.png; table_04_evaluation_coverage.md; table_13_metric_fidelity_matrix.md; current_result_snapshot.md	figure_05_evaluation_coverage.png=yes; table_04_evaluation_coverage.md=yes; table_13_metric_fidelity_matrix.md=yes; current_result_snapshot.md=yes	3_evaluation/metric_mapping.md; 3_evaluation/00_coverage/coverage_summary.tsv; 4_reporting/current_result_snapshot.md	3_evaluation/metric_mapping.md=yes; 3_evaluation/00_coverage/coverage_summary.tsv=yes; 4_reporting/current_result_snapshot.md=yes	Retain all metric families and show coverage/status explicitly.	update only if coverage changes or v5 rows parse
12	Current Measured Rows	partial	tables 06-14; current_result_snapshot.md	tables 06-14=yes; current_result_snapshot.md=yes	3_evaluation/09_aggregation/main_head_tail_all.tsv; 4_reporting/current_result_snapshot.md	3_evaluation/09_aggregation/main_head_tail_all.tsv=yes; 4_reporting/current_result_snapshot.md=yes	Use measured baseline/reference rows; v5 method rows wait for checkpoints.	v5_random/v5_fvt outputs parsed or explicit blocker recorded
