requirement	status	evidence	final_gate	next_action
controlled 92+10 Glot500-style replay scope	proven	merge=PASS; seen=92; target=10; samples=92452251; missing_dirs=0	scope frozen	none
Glot500-style tokenizer expansion evidence	proven_with_caveat	target_len=368687; appended=118685; target10_improved=9/10; dzo_Tibt_regression=documented	tokenizer audit complete	keep dzo_Tibt visible in report/PPT
vocabulary-extension initialization novelty	intrinsic_result_ready	fvt_rows=118427; mask_diff=0.0; lm_head_tied=True; target_nll_delta_fvt_minus_random=-9.626238	after-MLM method claim waits for matched checkpoints	after checkpoints and post-checkpoint preflight, evaluate PPPL and available downstream rows
matched training parity contract	ready	training_parity_audit=training_parity_ready	v5_random and v5_fvt differ only by initialization before method claims	none
matched continued-MLM comparison	ready	matched MLM checkpoint gate=ready	v5_random and v5_fvt selected checkpoints exist	wait for both 10K checkpoints, then run `bash scripts/run_v5_post_checkpoint_evals.sh status`; long evaluation still requires post-checkpoint preflight ready-to-launch
after-MLM PPPL result	pending_result	after-MLM PPPL gate=pending	PPPL parsed for v5_random and v5_fvt	prefer `SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh pppl` or `all` after checkpoints and post-checkpoint preflight are ready; canonical full rerun remains available without `SKIP_MEASURED=1`
Glot500 downstream task replay	pending_result	downstream gate=pending; metric_statuses=pseudoperplexity=partial; retrieval_tatoeba=measured; retrieval_bible=measured; text_classification=measured; ner=partial; pos=partial; roundtrip_alignment=partial	available downstream rows parsed for v5_random and v5_fvt	prefer `SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh downstream` or `all` after checkpoints and post-checkpoint preflight are ready; canonical full rerun remains available without `SKIP_MEASURED=1`
roundtrip metric accounting	accepted_or_pending	roundtrip_gate=pending; metric_status=partial	Roundtrip data/runner materialized or explicit pending/blocker row retained	run v5 Roundtrip rows after matched checkpoints and post-checkpoint preflight; keep target10 0/10 caveat
paper-style report package	execution_draft_ready	Report.md; 4_reporting/03_final_report/paper_draft.md; 4_reporting/03_final_report/paper_draft.html; 4_reporting/03_final_report/paper_draft.pdf; 4_reporting/03_final_report/paper_draft_ko.md; 4_reporting/03_final_report/paper_draft_ko.html; 4_reporting/03_final_report/paper_draft_ko.pdf; 4_reporting/03_final_report/paper_build_spec.md; 4_reporting/03_final_report/manuscript_completion_matrix.md; 4_reporting/03_final_report/reproducibility_appendix.md; 4_reporting/03_final_report/claim_ledger.md; 4_reporting/03_final_report/references.bib; 4_reporting/03_final_report/citation_source_map.md; 4_reporting/03_final_report/external_source_verification.md; 4_reporting/final_freeze_protocol_ko.md; 4_reporting/final_submission_handoff_ko.md; 4_reporting/final_goal_acceptance_rubric_ko.md; 4_reporting/final_result_update_checklist_ko.md; 4_reporting/submission_file_index_ko.md	final result gates and narrative audit	replace pending result language only from aggregation outputs
PPT content and presenter package	execution_draft_ready	4_reporting/02_slides/ppt_content.md; 4_reporting/02_slides/final_deck_ko.md; 4_reporting/02_slides/v5_final_deck_ko.html; 4_reporting/02_slides/v5_final_deck_ko.pptx; 4_reporting/02_slides/v5_final_deck_ko.pdf; 4_reporting/02_slides/presenter_script_ko.md; 4_reporting/02_slides/rehearsal_plan_ko.md; 4_reporting/02_slides/deck_build_spec.md; 4_reporting/02_slides/slide_completion_matrix.md; 4_reporting/02_slides/defense_qa.md; 4_reporting/02_slides/defense_qa_ko.md; 4_reporting/02_slides/novelty_defense_matrix_ko.md	final result gates and claim promotion matrix	update slides 11-14 and presenter script after parsed v5 rows
