kind	metric	group	model	score	value	aux	status	source
metric_completion	pseudoperplexity		glot500_base,v5_random,xlmr_base	weighted_pseudo_perplexity	102/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/01_pseudoperplexity
metric_completion	retrieval_tatoeba		glot500_base,v5_fvt,v5_random,xlmr_base	top10_accuracy	63/102	missing=-	measured	docs/exp/v5/3_evaluation/02_retrieval_tatoeba
metric_completion	retrieval_bible		glot500_base,v5_fvt,v5_random,xlmr_base	top10_accuracy	74/102	missing=-	measured	docs/exp/v5/3_evaluation/03_retrieval_bible
metric_completion	text_classification		glot500_base,v5_fvt,v5_random,xlmr_base	macro_f1	1/102	missing=-	measured	docs/exp/v5/3_evaluation/04_text_classification
metric_completion	ner		glot500_base,v5_random,xlmr_base	f1	78/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/05_ner
metric_completion	pos		glot500_base,v5_random,xlmr_base	f1	58/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/06_pos
metric_completion	roundtrip_alignment		glot500_base,v5_random,xlmr_base	accuracy	74/102	missing=v5_fvt	partial	docs/exp/v5/3_evaluation/07_roundtrip_alignment
measured_score	pseudoperplexity	all	glot500_base	weighted_pseudo_perplexity	10.640353	weighted_mean_nll=2.364654	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	head	glot500_base	weighted_pseudo_perplexity	10.213100	weighted_mean_nll=2.323671	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	v5_target	glot500_base	weighted_pseudo_perplexity	15.102934	weighted_mean_nll=2.714889	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
measured_score	pseudoperplexity	all	v5_random	weighted_pseudo_perplexity	20.138927	weighted_mean_nll=3.002655	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	head	v5_random	weighted_pseudo_perplexity	18.726452	weighted_mean_nll=2.929937	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	v5_target	v5_random	weighted_pseudo_perplexity	39.222875	weighted_mean_nll=3.669260	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
measured_score	pseudoperplexity	all	xlmr_base	weighted_pseudo_perplexity	9.986271	weighted_mean_nll=2.301211	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	pseudoperplexity	head	xlmr_base	weighted_pseudo_perplexity	8.117338	weighted_mean_nll=2.094002	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	pseudoperplexity	v5_target	xlmr_base	weighted_pseudo_perplexity	61.980216	weighted_mean_nll=4.126815	measured	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
measured_score	retrieval_tatoeba	all	glot500_base	top10_accuracy	0.706649	languages=98	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
measured_score	retrieval_tatoeba	head	glot500_base	top10_accuracy	0.743755	languages=63	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
