language_script	stats_source_examples	arrow_source_examples	delta_arrow_minus_stats	stats_dev_examples	arrow_dev_examples	stats_test_examples	arrow_test_examples	status	notes
lao_Laoo	66966	56337	-10629	1000	1000	1000	1000	PASS	count_source=arrow
mya_Mymr	945180	911018	-34162	1000	1000	1000	1000	PASS	count_source=arrow
ara_Arab	24524122	24521525	-2597	1000	1000	1000	1000	PASS	count_source=arrow
mar_Deva	28748897	28749662	765	1000	1000	1000	1000	PASS	count_source=arrow
hau_Latn	4368483	4361657	-6826	1000	1000	1000	1000	PASS	count_source=arrow
uzb_Latn	3223485	3182187	-41298	1000	1000	1000	1000	PASS	count_source=arrow
slv_Latn	15719210	15718268	-942	1000	1000	1000	1000	PASS	count_source=arrow
fin_Latn	16730388	16729345	-1043	1000	1000	1000	1000	PASS	count_source=arrow
hun_Latn	18800025	18798712	-1313	1000	1000	1000	1000	PASS	count_source=arrow
cmn_Hani	80745	57500	-23245	1000	1000	1000	1000	PASS	count_source=arrow
est_Latn	13600579	13598009	-2570	1000	1000	1000	1000	PASS	count_source=arrow
bre_Latn	748954	731939	-17015	1000	1000	1000	1000	PASS	count_source=arrow
hrv_Latn	17882932	17881552	-1380	1000	1000	1000	1000	PASS	count_source=arrow
jav_Latn	516833	447504	-69329	1000	1000	1000	1000	PASS	count_source=arrow
ron_Latn	19190217	19189651	-566	1000	1000	1000	1000	PASS	count_source=arrow
ell_Grek	22033282	22031905	-1377	1000	1000	1000	1000	PASS	count_source=arrow
nor_Latn	14576191	14528502	-47689	1000	1000	1000	1000	PASS	count_source=arrow
slk_Latn	14633631	14634178	547	1000	1000	1000	1000	PASS	count_source=arrow
vie_Latn	15697827	15587157	-110670	1000	1000	1000	1000	PASS	count_source=arrow
amh_Ethi	2862985	2835527	-27458	1000	1000	1000	1000	PASS	count_source=arrow
epo_Latn	8737198	8736217	-981	1000	1000	1000	1000	PASS	count_source=arrow
bel_Cyrl	5319675	5318656	-1019	1000	1000	1000	1000	PASS	count_source=arrow
xho_Latn	1262364	1201261	-61103	1000	1000	1000	1000	PASS	count_source=arrow
hin_Deva	7046700	7004172	-42528	1000	1000	1000	1000	PASS	count_source=arrow
tam_Taml	3388255	3364892	-23363	1000	1000	1000	1000	PASS	count_source=arrow
mon_Cyrl	4616960	4614949	-2011	1000	1000	1000	1000	PASS	count_source=arrow
ces_Latn	20376340	20374860	-1480	1000	1000	1000	1000	PASS	count_source=arrow
san_Deva	165616	155070	-10546	1000	1000	1000	1000	PASS	count_source=arrow
hye_Armn	1463123	1413139	-49984	1000	1000	1000	1000	PASS	count_source=arrow
pus_Arab	731992	730035	-1957	1000	1000	1000	1000	PASS	count_source=arrow
som_Arab	14199	12203	-1996	1000	1000	1000	1000	PASS	count_source=arrow
kan_Knda	41836495	41805904	-30591	1000	1000	1000	1000	PASS	count_source=arrow
isl_Latn	19547941	19546858	-1083	1000	1000	1000	1000	PASS	count_source=arrow
ori_Orya	410827	402076	-8751	1000	1000	1000	1000	PASS	count_source=arrow
afr_Latn	5157787	5156807	-980	1000	1000	1000	1000	PASS	count_source=arrow
deu_Latn	31015993	31015917	-76	1000	1000	1000	1000	PASS	count_source=arrow
urd_Arab	6009594	6008751	-843	1000	1000	1000	1000	PASS	count_source=arrow
bul_Cyrl	21823004	21822051	-953	1000	1000	1000	1000	PASS	count_source=arrow
tgl_Latn	7411064	7409827	-1237	1000	1000	1000	1000	PASS	count_source=arrow
eus_Latn	12775959	12774851	-1108	1000	1000	1000	1000	PASS	count_source=arrow
pol_Latn	19339945	19338808	-1137	1000	1000	1000	1000	PASS	count_source=arrow
lat_Latn	1179913	1149896	-30017	1000	1000	1000	1000	PASS	count_source=arrow
