item	status	evidence	next_line
summary:verdict	goal_readiness_ready_for_post_checkpoint_eval	machine-readable companion for goal_readiness.md	follow status/ready-to-launch gate before long evaluation
summary:novelty	positioned	v5-target weighted NLL delta fvt-random = -9.626238	promote method claim only after matched after-MLM/downstream rows are parsed
summary:evaluation_coverage	recorded	pseudoperplexity 102/102; retrieval_tatoeba 63/102; retrieval_bible 74/102; text_classification 1/102; ner 78/102; pos 58/102; roundtrip_alignment 74/102	retain all Glot500 metric families with measured/pending/blocked accounting
summary:target10_downstream_coverage	coverage_limited	pseudoperplexity 10/10; retrieval_tatoeba 0/10; retrieval_bible 0/10; text_classification 0/10; ner 0/10; pos 0/10; roundtrip_alignment 0/10	do not claim target10 downstream improvement while retained downstream target coverage is 0/10
stage:data scope freeze	ready	target10 manifest exists; dry-run missing_language_dirs=0	scope is frozen; use this manifest for all main runs
stage:corpus merge	ready	main corpus exists: /home/axt/mnt2/jongha/v5_glot50010/data/Glot500_v5_glot50010_xlmr100.txt; report status=PASS; actual_total_samples=92452251	main tokenizer training may start
stage:tokenizer expansion	ready	main tokenizer exists: /home/axt/mnt2/jongha/v5_glot50010/tokenization/output/Glot500_extended_spm; target_len=368687; novel_tokens=118685; mask_id=368686; main audit exists	full initialization checkpoints may start
stage:embedding initialization	ready	full random/mean/fvt init reports exist; FVT rows=118427; fallback=2; mask diff=0.0; tied=True; main zero-step exists	MLM training may start
stage:training parity contract	ready	training_parity_audit=training_parity_ready; v5_random/v5_fvt share corpus, tokenizer, schedule, checkpoint rule, and downstream eligibility	none
stage:continued MLM	ready	random_state=ready; fvt_state=ready; paired 10K checkpoints exist	checkpoint selection and downstream evaluation may start
stage:Glot500 metric evaluation	partial_baselines_measured	measured model outputs exist: pseudoperplexity=glot500_base,v5_random,xlmr_base; retrieval_tatoeba=glot500_base,v5_fvt,v5_random,xlmr_base; retrieval_bible=glot500_base,v5_fvt,v5_random,xlmr_base; text_classification=glot500_base,v5_fvt,v5_random,xlmr_base; ner=glot500_base,v5_random,xlmr_base; pos=glot500_base,v5_random,xlmr_base; roundtrip_alignment=glot500_base,v5_random,xlmr_base; coverage: pseudoperplexity 102/102; retrieval_tatoeba 63/102; retrieval_bible 74/102; text_classification 1/102; ner 78/102; pos 58/102; roundtrip_alignment 74/102	after matched v5 checkpoints, run `bash scripts/run_v5_post_checkpoint_evals.sh status`, then confirm `post_checkpoint_preflight_ready_to_launch`, then `SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh all` for the current measured-row queue; canonical full rerun command is `WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh all`; keep pending/blocked metric status explicit
stage:reporting and aggregation	skeleton_ready	Report/PPT drafts exist; aggregation skeleton can mark measured/blocked/pending	replace unresolved result slots only from measured artifacts
