phase	metric	summary_group	score_name	direction	random_score	fvt_score	delta_fvt_minus_random	relative_delta_pct	fvt_better	status	evidence	action
zero_step	mlm_proxy	head	weighted_mean_nll	lower_is_better	12.895301	6.621457	-6.273844	-48.65	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
zero_step	mlm_proxy	head	weighted_pseudo_perplexity	lower_is_better	398435.604683	751.038819	-397684.565864	-99.81	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
zero_step	mlm_proxy	v5_target	weighted_mean_nll	lower_is_better	18.411756	8.785518	-9.626238	-52.28	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
zero_step	mlm_proxy	v5_target	weighted_pseudo_perplexity	lower_is_better	99111496.403139	6538.856501	-99104957.546638	-99.99	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
zero_step	mlm_proxy	all	weighted_mean_nll	lower_is_better	16.511807	8.040183	-8.471624	-51.31	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
zero_step	mlm_proxy	all	weighted_pseudo_perplexity	lower_is_better	14824722.688186	3103.181033	-14821619.507153	-99.98	yes	measured	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5/1_embedding/04_zero_step_eval/main/summary.tsv	use as intrinsic initialization evidence only; after-MLM/downstream claims still need v5 rows
after_mlm_or_downstream	retrieval_bible	all	top10_accuracy	higher_is_better	0.328019	0.370349	0.042330	12.90	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt; /home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt	promote only after both rows are parsed by aggregation
after_mlm_or_downstream	retrieval_bible	head	top10_accuracy	higher_is_better	0.328019	0.370349	0.042330	12.90	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt; /home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt	promote only after both rows are parsed by aggregation
after_mlm_or_downstream	retrieval_tatoeba	all	top10_accuracy	higher_is_better	0.610353	0.617507	0.007154	1.17	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt; /home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt	promote only after both rows are parsed by aggregation
after_mlm_or_downstream	retrieval_tatoeba	head	top10_accuracy	higher_is_better	0.700285	0.712669	0.012384	1.77	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt; /home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt	promote only after both rows are parsed by aggregation
after_mlm_or_downstream	text_classification	all	macro_f1	higher_is_better	0.702956	0.717796	0.014840	2.11	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json; /home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json	promote only after both rows are parsed by aggregation
after_mlm_or_downstream	text_classification	head	macro_f1	higher_is_better	0.702956	0.717796	0.014840	2.11	yes	measured	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json; /home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json	promote only after both rows are parsed by aggregation
