language_script	example_id	words	chars	base_tokens	target_tokens	delta_tokens	base_tokens_per_word	target_tokens_per_word	delta_tokens_per_word	base_single_char_tokens	target_single_char_tokens	base_byte_tokens	target_byte_tokens	target_new_tokens	target_base_tokens	base_unk_tokens	target_unk_tokens	text_preview	base_token_preview	target_token_preview
dzo_Tibt	0	1	12	2	8	6	2.0	8.0	6.0	0	4	0	0	8	0	0	0	བུ་ད་པེསིཊི།	▁ བུ་ད་པེསིཊི།	▁བ ུ་ ད་ པ ེ སི ཊི །
dzo_Tibt	1	1	57	10	27	17	10.0	27.0	17.0	4	10	0	0	25	2	0	0	དང་པ་ཕས་རྒོལ་ཟིལ་གྱིས་གནོན་ཏེ་ཞི་བདེའི་གོ་སྐབས་བཟོ་གནང་བ།	▁ དང་པ་ཕས་རྒ ོ ལ་ཟིལ་གྱིས་གན ོ ན་ཏེ་ཞི་བདེའི་ག ོ ་སྐབས་བཟ ོ ་གནང་བ།	▁ དང་ པ་ ཕ ས་ ར ྒ ོ ལ་ ཟ ི ལ་ གྱིས་ གན ོན་ ཏེ་ ཞ ི་ བ ད ེ འི་ གོ་ སྐབས་ བཟོ་ གནང་ བ།
dzo_Tibt	2	6	91	22	36	14	3.6666666666666665	6.0	2.3333333333333335	6	8	0	0	30	6	0	0	གེལེཌི་ཡིག་སྣོད་ མངོན་གསལ་འབད་མ་ཚུགས། ཌེ་མཱོན་འདི་ ཚུལ་ལྡན་སྦེ་ གཞི་བཙུགས་འབད་ཡོདཔ་ ངེས་གཏན་བཟོ།	▁ གེལེཌི་ཡིག་སྣ ོ ད་ ▁ མང ོ ན་གསལ་འབད་མ་ཚུགས། ▁ ཌེ་མཱ ོ ན་འདི་ ▁ ཚུལ་ལྡན་སྦེ་ ▁ གཞི་བཙུགས་འབད་ཡ ོ དཔ་ ▁ ངེས་གཏན་བཟ ོ །	▁ ག ེ ལེ ཌི་ ཡིག་སྣོད་ ▁ མ ང ོན་ གསལ་ འབད་ མ་ཚུགས། ▁ ཌ ེ་ མ ཱ ོན་ འདི་ ▁ ཚུ ལ་ ལྡན་ སྦེ་ ▁ གཞི་ བཙུགས་ འབད་ ཡོདཔ་ ▁ ངེས་ གཏ ན་ བཟོ །
dzo_Tibt	3	10	196	42	84	42	4.2	8.4	4.2	11	15	0	0	73	11	0	0	གནད་དོན་གཞན་ འཕོ་སོར་མི་ཆོས་བཟུང་མི་གི་ ཞིབ་འཚོལ་འདི་ འགྲོ་བ་མི་ཚུ་ འགྲོ་བ་མིའི་གནས་ལུགས་དང་འབྲེལ་བའི་ གནོད་ཉེན་ རྡུལ་ཕྲན་གོ་མཚོན་དམག་འཁྲུག་ ཡང་ཅིན་ ཨེསི་ཊི་རོའིཌ་ཁ་ཐུག་རྐྱབ་མི་...	▁ གནད་ད ོ ན་གཞན་ ▁ འཕ ོ ་ས ོ ར་མི་ཆ ོ ས་བཟུང་མི་གི་ ▁ ཞིབ་འཚ ོ ལ་འདི་ ▁ འགྲ ོ ་བ་མི་ཚུ་ ▁ འགྲ ོ ་བ་མིའི་གནས་ལུགས་དང་འབྲེལ་བའི་ ▁ གན ོ ད་ཉེན་ ▁ རྡུལ་ཕྲན་ག ོ ་མཚ ོ ན་དམག་འཁྲུག་ ▁ ཡང་ཅིན་ ▁ ཨེསི་ཊི་ར ོ འིཌ་ཁ་ཐུག་རྐྱབ་མི་ལས་ ▁ ཉེན་སྲུང་འབད་ནི་འདི་ཨིན།	▁ གན ད་ དོན་ གཞན་ ▁ འཕ ོ་ སོ ར་ མི་ ཆོས་ བ ཟ ུང་ མི་ གི་ ▁ ཞིབ་ འཚོལ་ འདི་ ▁ འགྲ ོ་ བ་ མི་ ཚུ་ ▁ འགྲ ོ་ བ་ མི འི་ གནས་ ལུགས་ དང་ འབྲེལ་ བའི་ ▁ གན ོད་ ཉེན་ ▁ ར ྡ ུལ་ ཕྲ ན་ གོ་ མ ཚོ ན་ ད མ ག་ འ ཁ ྲ ུག་ ▁ ཡང་ ཅི ན་ ▁ ཨེ སི་ ཊི་ ར ོ འི ཌ ་ ཁ་ ཐ ུག་ རྐྱབ་ མི་ ལས་ ▁ ཉེན་
dzo_Tibt	4	7	148	30	62	32	4.285714285714286	8.857142857142858	4.571428571428571	8	13	0	0	53	9	0	0	དུས་རབས་༡༥པའི་ནང་ལུ་ ཡུ་རོབ་ལས་ གྲུ་བཏང་འགྱོ་མི་ཚུ་ ས་སྒོ་དེ་ཁ་ལས་འགྱོ་བའི་སྐབས་ལུ་ མཚོ་གླིང་འདི་གི་མིང་ལུ་ མཚོ་གླིང་འཇའ་ཆི་ཆི་ ཨིལྷ་ཕོར་མོ་ས་ཟེར་བཏགས་ནུག	▁ དུས་རབས་༡༥པའི་ནང་ལུ་ ▁ ཡུ་ར ོ བ་ལས་ ▁ གྲུ་བཏང་འགྱ ོ ་མི་ཚུ་ ▁ ས་སྒ ོ ་དེ་ཁ་ལས་འགྱ ོ ་བའི་སྐབས་ལུ་ ▁ མཚ ོ ་གླིང་འདི་གི་མིང་ལུ་ ▁ མཚ ོ ་གླིང་འཇའ་ཆི་ཆི་ ▁ ཨིལྷ་ཕ ོ ར་མ ོ ་ས་ཟེར་བཏགས་ནུག	▁ དུས་ རབས་ ༡ ༥ པའི་ ནང་ལུ་ ▁ ཡུ་ ར ོ བ་ ལས་ ▁ གྲ ུ་ བཏང་ འགྱོ་ མི་ ཚུ་ ▁ ས་ སྒོ་ དེ་ ཁ་ ལས་ འགྱོ་ བའི་ སྐབས་ ལུ་ ▁ མ ཚ ོ་ གླིང་ འདི་གི་ མིང་ ལུ་ ▁ མ ཚ ོ་ གླིང་ འཇ འ་ ཆ ི་ ཆ ི་ ▁ ཨི ལྷ ་ ཕ ོ ར་ མོ་ ས་ ཟེར་ བཏ གས་ ནུག
dzo_Tibt	5	4	58	15	22	7	3.75	5.5	1.75	7	10	0	0	15	7	0	0	གཟུགས་བརྙན་མངོན་གསལ་རྩ་སྒྲིག་ %s:%s དེ་ མངོན་གསལ་འབད་མ་ཚུགས།།	▁ གཟུགས་བརྙན་མང ོ ན་གསལ་རྩ་སྒྲིག་ ▁% s : % s ▁ དེ་ ▁ མང ོ ན་གསལ་འབད་མ་ཚུགས།།	▁ གཟུགས་བརྙན་ མ ང ོན་ གསལ་ རྩ་ སྒྲིག་ ▁% s : % s ▁དེ་ ▁ མ ང ོན་ གསལ་ འབད་ མ་ཚུགས། །
dzo_Tibt	6	13	1086	134	510	376	10.307692307692308	39.23076923076923	28.923076923076923	58	167	0	0	496	14	0	0	དེ་ཡང་སྔོན་རྒྱ་གར་དུ་སྙན་ངག་གི་བསྟན་བཅོས་བྷ་ར་ཏ་ཞེས་བྱ་བ་ཞིག་བརྩམས་པ་ཚོགས་བདག་གིས་ཡིན་མཁན་བྱས་ནས་བྲིས་པར་གྲགས་པའི་གཞུང་ཤོ་ལོ་ཀ་འབུམ་ལྷག་ཡོད་པ་དང༌། དྲང་སྲོང་མེ་བཞིན་འཇུག་གི་བུ་མོ...	▁ དེ་ཡང་སྔ ོ ན་རྒྱ་གར་དུ་སྙན་ངག་གི་བསྟན་བཅ ོ ས་བྷ་ར་ཏ་ཞེས་བྱ་བ་ཞིག་བརྩམས་པ་ཚ ོ གས་བདག་གིས་ཡིན་མཁན་བྱས་ནས་བྲིས་པར་གྲགས་པའི་གཞུང་ཤ ོ ་ལ ོ ་ ཀ ་འབུམ་ལྷག་ཡ ོ ད་པ་དང་། ▁ དྲང་སྲ ོ ང་མེ་བཞིན་འཇུག་གི་བུ་མ ོ ས་སྙན་ངག་རཱ་མ་ཡ་ན་ཞེས་པ་ཞིག་བརྩམས་པ་དེ་ནི་རྒྱལ་པ ོ ་རཱ་མ་ན་དང་དེའི་བཙུན་པ ོ ་ར ོ ལ་རྙེད་མའི་ལ ོ ་རྒྱུས་སྙན་ངག་ཏུ་སྦྱར་བ་ཤ ོ ་ལ ོ ་ ཀ ་འབུམ་ཡ ོ ད་པ་ཞིག་དང་། ▁ མརྐེ་ཎ་ཊ་ཡིས་བརྩམས་པའི་སྙན་ངག་གི་བསྟན་བཅ ོ ས་ཁྱབ་འཇུག་གི་འཇུག་པ་བཅུ་ས ོ གས་གཙ ོ ་བ ོ ར་སྟ ོ ན་པ་ཤ ོ ་ལ ོ ་ ཀ ་འབུམ་ལྷག་ཡ ོ ད་པ་ཞིག་དང་། ▁ རཱ་མ་ཤརྨས་མཛད་པའི་སྙན་ངག་གི་བསྟན་བཅ ོ ས་ཤ ོ ་ལ ོ ་ ཀ ་སྟ ོ ང་ཕྲག་བརྒྱད་ཅུ་ཅན་དང་། ▁ ནག་མ ོ ་ཁ ོ ལ་གྱིས་མཛད་པའི་སྙན་ངག་གཞ ོ ན་ནུ་འབྱུང་བ་དང་། ▁ གཞན་སྙན་ངག་གི་བསྟན་བཅ	▁དེ་ ཡང་ སྔོན་ རྒྱ་ ག ར་ དུ་ ས ྙ ན་ ང ག་ གི་ བ སྟ ན་ བཅོས་ བ ྷ ་ ར་ ཏ ་ ཞ ེ ས་ བྱ་ བ་ ཞི ག་ བ རྩ མས་ པ་ ཚོགས་ བདག་ གིས་ ཡི ན་ མ ཁ ན་ བྱ ས་ ན ས་ བྲ ི ས་ པར་ གྲ གས་ པའི་ གཞུང་ ཤ ོ་ ལོ་ ཀ་ འབ ུམ་ ལྷག་ ཡོད་ པ་ དང་ ། ▁ དྲ ང་ སྲ ོང་ མ ེ་ བ ཞི ན་ འཇ ུག་ གི་ བ ུ་
dzo_Tibt	7	7	64	12	25	13	1.7142857142857142	3.5714285714285716	1.8571428571428572	3	7	0	0	15	10	0	0	ཨེ་སུ་ལན་ཌི་ – ཨེ་སུ་ལན་ཌི་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Iceland 冰岛共和国	▁ ཨེ་སུ་ལན་ཌི་ ▁– ▁ ཨེ་སུ་ལན་ཌི་སྤྱི་མཐུན་རྒྱལ་ཁབ ▁Republic ▁of ▁Iceland ▁ 冰 岛 共和国	▁ ཨེ་ སུ་ ལ ན་ ཌི་ ▁– ▁ ཨེ་ སུ་ ལ ན་ ཌི་ སྤྱི་ མཐུན་ རྒྱལ་ ཁ བ ▁Republic ▁of ▁Iceland ▁ 冰 岛 共和国
dzo_Tibt	8	3	85	20	38	18	6.666666666666667	12.666666666666666	6.0	8	11	0	0	34	4	0	0	གྲོང་གསེབ་ས་ཁོངས་ཟེརཝ་ད་ལུ་ མི་རློབས་ཀྱི་ཤོང་ཚད་དང་ ས་གནས་ནང་གཞི་ཆགས་མི་ཉུང་སུ་འོང་དགོ།	▁ གྲ ོ ང་གསེབ་ས་ཁ ོ ངས་ཟེརཝ་ད་ལུ་ ▁ མི་རླ ོ བས་ ཀ ྱི་ཤ ོ ང་ཚད་དང་ ▁ ས་གནས་ནང་གཞི་ཆགས་མི་ཉུང་སུ་འ ོ ང་དག ོ །	▁ གྲ ོང་ གས ེ བ་ ས་ཁོངས་ ཟ ེ ར ཝ་ ད་ ལུ་ ▁ མི་ ར ླ ོ བས་ ཀྱི་ ཤ ོང་ ཚད་ དང་ ▁ ས་ གནས་ ནང་ གཞི་ ཆ གས་ མི་ ཉ ུང་ སུ་ འོང་ དགོ །
dzo_Tibt	9	2	21	5	8	3	2.5	4.0	1.5	2	1	0	0	6	2	0	0	_ འདྲ་བ་ཤུགས་ལ་སྟོན་པ།	▁_ ▁ འདྲ་བ་ཤུགས་ལ་སྟ ོ ན་པ།	▁_ ▁ འདྲ་ བ་ ཤུགས་ ལ་ སྟོན་ པ།
