model_key	point_id	language_script	group	x	y	text_preview
v52_family_mean_conv5way_step49000	p0	dtp_Latn	v5_target	-0.150720	-0.552117	Songkuro ginayo lo?
v52_family_mean_conv5way_step49000	p1	eng_Latn	v5_target	-0.494045	0.149462	How big will it be?
v52_family_mean_conv5way_step49000	p2	dtp_Latn	v5_target	-0.066502	-0.550471	Langad-langadon ku diya!
v52_family_mean_conv5way_step49000	p3	eng_Latn	v5_target	-0.413468	0.211152	My longing for you is killing me!
v52_family_mean_conv5way_step49000	p4	dtp_Latn	v5_target	0.464818	-0.407530	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_family_mean_conv5way_step49000	p5	eng_Latn	v5_target	-0.446513	0.267852	I recently broke up with my boyfriend of three years.
v52_family_mean_conv5way_step49000	p6	dtp_Latn	v5_target	0.378783	-0.538055	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_family_mean_conv5way_step49000	p7	eng_Latn	v5_target	-0.381535	0.386991	I've been able to drive for more than twenty years.
v52_family_mean_conv5way_step49000	p8	dtp_Latn	v5_target	-0.388503	-0.252364	Luminabus i Tom.
v52_family_mean_conv5way_step49000	p9	eng_Latn	v5_target	-0.516070	-0.122499	Tom was out.
v52_family_mean_conv5way_step49000	p10	dtp_Latn	v5_target	-0.197103	-0.570977	Manu oku poposolon di Tom.
v52_family_mean_conv5way_step49000	p11	eng_Latn	v5_target	-0.559136	0.038068	I want to make Tom jealous.
v52_family_mean_conv5way_step49000	p12	dtp_Latn	v5_target	-0.015062	-0.654450	Orohian ko' do kumaau.
v52_family_mean_conv5way_step49000	p13	eng_Latn	v5_target	-0.536103	0.033951	You like swimming.
v52_family_mean_conv5way_step49000	p14	dtp_Latn	v5_target	0.045584	-0.665665	Au kou mangandad no sominggu?
v52_family_mean_conv5way_step49000	p15	eng_Latn	v5_target	-0.397365	0.284851	Couldn't you have just waited a week?
v52_family_mean_conv5way_step49000	p16	dtp_Latn	v5_target	0.102569	-0.592566	Osonong tomod ura tinan nu mantad doho.
v52_family_mean_conv5way_step49000	p17	eng_Latn	v5_target	-0.484113	0.303315	You're in better shape than I am.
v52_family_mean_conv5way_step49000	p18	dtp_Latn	v5_target	-0.220163	-0.549619	Mamadil oku kama dau.
v52_family_mean_conv5way_step49000	p19	eng_Latn	v5_target	-0.488980	0.115540	I'm gonna shoot him.
v52_family_mean_conv5way_step49000	p20	dtp_Latn	v5_target	0.106684	-0.668093	Nokoumbal kou nokorongou diti tangon no?
v52_family_mean_conv5way_step49000	p21	eng_Latn	v5_target	-0.483896	0.179126	Have you heard this story already?
v52_family_mean_conv5way_step49000	p22	dtp_Latn	v5_target	0.122746	-0.599829	Obuli ko' daa lumisok kaka ri?
v52_family_mean_conv5way_step49000	p23	eng_Latn	v5_target	-0.560288	0.142365	Can you keep a secret?
v52_family_mean_conv5way_step49000	p24	dtp_Latn	v5_target	0.274072	-0.458129	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_family_mean_conv5way_step49000	p25	eng_Latn	v5_target	-0.405837	0.354695	A piano is expensive, but a car is more expensive.
v52_family_mean_conv5way_step49000	p26	dtp_Latn	v5_target	0.095349	-0.550944	Minsingilo' ko' nangku boros Inggilis?
v52_family_mean_conv5way_step49000	p27	eng_Latn	v5_target	-0.464292	0.004773	Do you study English?
v52_family_mean_conv5way_step49000	p28	dtp_Latn	v5_target	0.043327	-0.537345	Milo' oku daa mokianu kamus nu?
v52_family_mean_conv5way_step49000	p29	eng_Latn	v5_target	-0.519857	-0.170725	May I borrow your dictionary?
v52_family_mean_conv5way_step49000	p30	dtp_Latn	v5_target	-0.015118	-0.640627	Otopot toi maso id jam nu?
v52_family_mean_conv5way_step49000	p31	eng_Latn	v5_target	-0.503280	0.025276	Is your watch correct?
v52_family_mean_conv5way_step49000	p32	dtp_Latn	v5_target	0.526369	-0.474552	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.
v52_family_mean_conv5way_step49000	p33	eng_Latn	v5_target	-0.287556	0.394224	Some scientists predict that the world oil reserves will be used up within a century.
v52_family_mean_conv5way_step49000	p34	dtp_Latn	v5_target	-0.161614	-0.527394	Manu ko' do apol?
v52_family_mean_conv5way_step49000	p35	eng_Latn	v5_target	-0.548790	0.099993	Do you like apples?
v52_family_mean_conv5way_step49000	p36	dtp_Latn	v5_target	-0.243219	-0.446568	Mada oku dii.
v52_family_mean_conv5way_step49000	p37	eng_Latn	v5_target	-0.436840	0.128073	I don't think so.
v52_family_mean_conv5way_step49000	p38	dtp_Latn	v5_target	-0.239451	-0.594731	Olumis ilo wotik.
v52_family_mean_conv5way_step49000	p39	eng_Latn	v5_target	-0.533122	0.138120	That's a pretty colour.
v52_family_mean_conv5way_step49000	p40	dtp_Latn	v5_target	0.149858	-0.638286	Au oku nokoilo nunu o taakan ku kosodop.
v52_family_mean_conv5way_step49000	p41	eng_Latn	v5_target	-0.465701	0.266186	I can't remember what I ate last night.
v52_family_mean_conv5way_step49000	p42	dtp_Latn	v5_target	0.170077	-0.556970	Nokoumbal ko' minoi hilo'd Paris di gulu?
v52_family_mean_conv5way_step49000	p43	eng_Latn	v5_target	-0.467545	0.150334	Have you ever been to Paris?
v52_family_mean_conv5way_step49000	p44	dtp_Latn	v5_target	0.124809	-0.662870	Kikaraja isido dot oruhai sabaagi do mananaip.
v52_family_mean_conv5way_step49000	p45	eng_Latn	v5_target	-0.398014	0.180449	She got a part-time job as a typist.
v52_family_mean_conv5way_step49000	p46	dtp_Latn	v5_target	0.434804	-0.369005	Manahak nopo do tunturu tokoro nga onuan disio do tunturu ngai iso longon.
v52_family_mean_conv5way_step49000	p47	eng_Latn	v5_target	-0.321859	0.436647	Give someone the little finger, and he will take the whole hand.
v52_family_mean_conv5way_step49000	p48	dtp_Latn	v5_target	-0.166639	-0.578859	Muhot oku diya po toruhai kio.
v52_family_mean_conv5way_step49000	p49	eng_Latn	v5_target	-0.430449	0.271142	I want to ask you one last favor.
v52_family_mean_conv5way_step49000	p50	dtp_Latn	v5_target	0.210744	-0.531679	Ih singa nopo nga wowoyoon hiri'd gowuton.
v52_family_mean_conv5way_step49000	p51	eng_Latn	v5_target	-0.343682	0.294136	The lion is the king of the jungle.
v52_family_mean_conv5way_step49000	p52	dtp_Latn	v5_target	-0.153212	-0.642220	Au tagal tikit.
v52_family_mean_conv5way_step49000	p53	eng_Latn	v5_target	-0.517789	0.019247	No tickets are needed.
v52_family_mean_conv5way_step49000	p54	dtp_Latn	v5_target	-0.020375	-0.662202	Au tagal yahai ponongkiboros diolo.
v52_family_mean_conv5way_step49000	p55	eng_Latn	v5_target	-0.491705	0.259562	We don't need to talk to them.
v52_family_mean_conv5way_step49000	p56	dtp_Latn	v5_target	-0.247762	-0.595491	Nunu binoli nu?
v52_family_mean_conv5way_step49000	p57	eng_Latn	v5_target	-0.467532	0.086102	What did you buy?
v52_family_mean_conv5way_step49000	p58	dtp_Latn	v5_target	-0.205814	-0.533585	Obulou ilo tawan.
v52_family_mean_conv5way_step49000	p59	eng_Latn	v5_target	-0.538698	-0.001730	The sky is blue.
v52_family_mean_conv5way_step49000	p60	dtp_Latn	v5_target	0.438798	-0.386648	Orohian nogi mintong do pulitik tulun Amorika kokomoi do timpu pomilian do pirisidion.
v52_family_mean_conv5way_step49000	p61	eng_Latn	v5_target	-0.342051	0.314996	It's interesting to observe American politics, especially during a presidential election.
v52_family_mean_conv5way_step49000	p62	dtp_Latn	v5_target	-0.002863	-0.557809	Iti nopo nga bunsiling di Mike.
