category	experiment	condition	scope	metric	value	notes
tokenization	glot500_to_target10_merged	cop	Coptic	tokens_per_word	5.274 -> 1.779	66.3% reduction; merged target10 tokenizer
tokenization	glot500_to_target10_merged	syr	Syriac	tokens_per_word	5.089 -> 1.601	68.5% reduction; merged target10 tokenizer
tokenization	glot500_to_target10_merged	chr	Cherokee	tokens_per_word	5.254 -> 2.001	61.9% reduction; merged target10 tokenizer
tokenization	glot500_to_target10_merged	oji	Ojibwa	tokens_per_word	5.021 -> 2.205	56.1% reduction; merged target10 tokenizer
mlm	target10_pilot10k	random	target10 dev stable fp32 bsz16	eval_loss	7.0169	stable perplexity 1115.29
mlm	target10_pilot10k	mean	target10 dev stable fp32 bsz16	eval_loss	5.8343	stable perplexity 341.84; selected checkpoint
nmt	full1epoch_mean10k	cop_to_syr	full test	test_chrfpp	5.7982	direct NMT remains repetitive
nmt	full1epoch_mean10k	syr_to_cop	full test	test_chrfpp	9.9340	metric inflated by max-length Coptic repetition
nmt	direct_control_mean10k	syr_to_cop 512 train, 300 steps	64-test slice	test_chrfpp	8.7360	short formulaic Coptic fragments
retrieval	retrieval_char345	eng_to_cop	full test	test_chrfpp	22.3584	strong non-neural baseline, valid Coptic retrieval
retrieval	retrieval_char345	syr_to_cop	full test	test_chrfpp	22.2083	strong non-neural baseline, valid Coptic retrieval
retrieval_oracle	top8_char345	eng_to_cop	full test	oracle_chrfpp	28.3327	top1 was 22.5362; reranking headroom exists
reranker	top8_feature_reranker	gradient_boosting	eng_to_cop full test	selected_chrfpp	24.5921	first full-test selector above top1 without gold labels
reranker	source_grounding_10b	validation-selected gradient_boosting	eng_to_cop full test	selected_chrfpp	24.6862	CPU-only 10B selector; slight gain over existing feature reranker; oracle@8 remains 28.3327
reranker	source_grounding_10b_pairwise	logistic_regression pairwise	eng_to_cop full test	selected_chrfpp	24.7438	current best CPU retrieval selector; still below oracle@8 28.3327
neural_retrieval	byt5_retrieval_aug_cop_auto	normal hint	64-test slice	test_chrfpp	19.6952	copy-heavy; 17/64 exact retrieved copies
neural_retrieval	byt5_retrieval_aug_cop_auto	feature-selected top8 hint	64-test slice	test_chrfpp	19.9182	small gain, still copy-heavy and cap-heavy
neural_retrieval	byt5_pairwise_selected_edit_gate	train512 step120 fp32 nosave	64-test slice	test_chrfpp	18.3574	negative 10C gate; selected retrieval candidate itself is 26.6235 chrF++; pred-vs-retrieved chrF++ 52.6372
neural_retrieval_control	byt5_same_checkpoint_10c	source-only	64-test slice	test_chrfpp	0.2729	English source alone collapses; 59/64 high-repeat predictions
neural_retrieval_control	byt5_same_checkpoint_10c	retrieved-only	64-test slice	test_chrfpp	18.6220	retrieved Coptic alone slightly beats correct source+retrieval 18.3574
neural_retrieval_control	byt5_same_checkpoint_10c	wrong-shift1 retrieval	64-test slice	test_chrfpp	12.8253	wrong retrieval hurts, but output remains close to wrong hint; pred-vs-retrieved chrF++ 53.2999
neural_retrieval_control	byt5_same_checkpoint_10c	feature-selected top8	64-test slice	test_chrfpp	19.1558	best 10C neural control but still below selected candidate 26.7484
pivot_gate	byt5_syr_to_grc	256 train, 50 steps	32-test slice	test_chrfpp	3.5930	Greek-script but max-length repetition
pivot_gate	byt5_grc_to_cop	256 train, 50 steps	32-test slice	test_chrfpp	0.0000	fails target script; 0/32 Coptic prediction lines
