point_id	language_script	language_name	status	script	family	macro_family	region	sample_idx	text
dtp_Latn:0	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	0	Mongoi oku mantad do Chicago id tadau koonom kawagu dongkosuabon.
dtp_Latn:1	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	1	Orohian nogi mintong do pulitik tulun Amorika kokomoi do timpu pomilian do pirisidion.
dtp_Latn:2	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	2	Au oku oilaan nunu nopo pomomonsoyon diolo.
dtp_Latn:3	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	3	Oilaan ko di Tom tu au otood iyau hiti?
dtp_Latn:4	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	4	Ogumu i Tom mangakan mantad ko di Mary.
dtp_Latn:5	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	5	Amu osonong kolidasan tinan disido id piipiro tulan.
dtp_Latn:6	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	6	Ih nopo tosorou ku nga kokomoi do paganakan ku, okon ko tangambalut ku.
dtp_Latn:7	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	7	Nokoumbal kou nokorongou diti tangon no?
dtp_Latn:8	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	8	Mimboros iyau do nunu nopo di noilaan dau do ngawi.
dtp_Latn:9	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	9	Moi i Tom ruba dotokou hiti id jaam 2:30.
dtp_Latn:10	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	10	Pobolio do uwai gatang, poinsawato' do dagang
dtp_Latn:11	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	11	Poingiyon isio po hilo'd Tokyo id piipiro minggu.
dtp_Latn:12	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	12	Apatut no noilaan i Tom mantad ko mumboyo di Mary.
dtp_Latn:13	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	13	Monuduk i Gundoling Jones dahai kaka o pibabarasan boros Inggilis.
dtp_Latn:14	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	14	Intang-intangan dokoyu modsu hilo bawang kio.
dtp_Latn:15	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	15	Olumis ko' tomod nopo sorohon ku.
dtp_Latn:16	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	16	Ondos di kogumuan tulun daa om noulau oku ih.
dtp_Latn:17	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	17	Haro tinan di Tom hilo'd wayaan do tindal.
dtp_Latn:18	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	18	Manu ko mongoruhang paganakan nu id Jorman?
dtp_Latn:19	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	19	Kada no kagangau, pinsingilo oku po.
dtp_Latn:20	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	20	Kada kou pinpodsu hilo baang amu kou no koilo kumaau.
dtp_Latn:21	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	21	Osorou ku pama osonong no do misugku kito mirikau.
dtp_Latn:22	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	22	Nasangkat yahai minuli kampung ontok tadau tagayo do kapawantayan do taasok.
dtp_Latn:23	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	23	Haro oku do tambalut muhang maya doho.
dtp_Latn:24	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	24	Yoho okon ko akanon do kinotuan nodi.
dtp_Latn:25	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	25	Isido okon ko songulun mongugusap nga songulun monunuduk.
dtp_Latn:26	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	26	Soira tongoyon ilo koritapui do kawagu?
dtp_Latn:27	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	27	Apatut ko yahai maan do kawawagu?
dtp_Latn:28	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	28	Tuwa' pangi posonginan om suang dau.
dtp_Latn:29	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	29	Sansagan do ngawi katalib di otopot.
dtp_Latn:30	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	30	Osorou ku om osonong mitorungak toh.
dtp_Latn:31	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	31	Osonong daa kopiruba kito kio oi Gundoling Ito.
dtp_Latn:32	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	32	Alaid nodi au oku minangakan do nunu miampai do rinapa mastad.
dtp_Latn:33	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	33	Aiso timpu mangakan baino ka di Tom.
dtp_Latn:34	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	34	Pinoposodia iyolo do taakanon montok tulun di poimpasi mantad do pisangadan.
dtp_Latn:35	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	35	Aadahan ilo bas do hopod minit.
dtp_Latn:36	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	36	Ih apagon nopo pisingilaan do boros nga popohondom do piipiro boros-boros.
dtp_Latn:37	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	37	Aiso nodi saapan diolo lolobi do apat nohopod toun.
dtp_Latn:38	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	38	Nakaanu maso do karaja sikul id duo minggu mantad baino.
dtp_Latn:39	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	39	Au oku kosorou do nunu nopo sala ku.
dtp_Latn:40	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	40	Kasasari nopo naharo tulun do korikot, sikog ka do asapou kopio tulun nokorikot baino.
dtp_Latn:41	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	41	I manangaki ku doti songulun kumoiso do tumulud hiri id planet Mars.
dtp_Latn:42	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	42	Honggo tiso dot aramai: mokinongou do loyuk sosongulun toi ko maya di tulun?
dtp_Latn:43	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	43	Au oku kointutun di Tom, nga kointutun oku di taka dau.
dtp_Latn:44	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	44	Manu oku mangakan sokirim maya kupang sasomi toitom.
dtp_Latn:45	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	45	Ingaa nopo pinapaakan oku do tasu ku do daging taata.
dtp_Latn:46	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	46	Ingaa no iyau hilo'd dualai dau soira tinolipoun ku dau.
dtp_Latn:47	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	47	Au oku koilo' honggo tiso rasuk lo hodi, tam pilion id taragang toi ko otomou nopo?
dtp_Latn:48	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	48	Tehran nopo nga id pogun Iran.
dtp_Latn:49	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	49	Iso kubong tokoro poinsusui tanga do gana.
dtp_Latn:50	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	50	Nung louson tian nu, ongoi no akan.
dtp_Latn:51	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	51	Piro akaun Youtube id sompomogunan gisom baino diti?
dtp_Latn:52	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	52	Asaga oku do pataaman do tusin mantad ko manahak dau.
dtp_Latn:53	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	53	Noiyon isido hilo'd kinoiyonon dot oruhai.
dtp_Latn:54	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	54	Monolipon i John nopo doho nga poiloo po iyau tu muli ku'ndo id jaam koturu.
dtp_Latn:55	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	55	Apatut no i Tom korikot hiti'd baino.
dtp_Latn:56	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	56	Minuli i Mary do walai sondiri.
dtp_Latn:57	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	57	Okuri tulun koilo poingkuro momoguno do sindata sangod id dau.
dtp_Latn:58	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	58	Lapakan di Doni i taki dau dilo sadur.
dtp_Latn:59	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	59	Noukadan do tumo ku mantad do bakas.
dtp_Latn:60	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	60	Ruhangai po takanu nu, okoro no lo topod hodi lansang.
dtp_Latn:61	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	61	Noipion ku do buragang minamain diri pais.
dtp_Latn:62	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	62	Koligaganan nopo ginumuan kogiu mantad pulou Borneo dot osusuan id lolobi po walu toun.
dtp_Latn:63	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	63	Tumongob i komolohingan nu do kosonong-sonong nu.
dtp_Latn:64	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	64	Mamarayou i Marie do kobulunan nu.
dtp_Latn:65	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	65	Mada i Tom moninduol ginawo di Mary.
dtp_Latn:66	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	66	Mamain i John do tungau om biik miampai di Dick.
dtp_Latn:67	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	67	Suai ko ilo', di laid nogi nga' gunoon o karabau diti montok mamagayat do kayu di agayo om nogii montok mangangkat do tongobarang-barang.
dtp_Latn:68	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	68	Kotumbaya ko' po nangku di rogon?
dtp_Latn:69	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	69	Nakalantoi i Tom do numbur soginumu 10,000.
dtp_Latn:70	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	70	Minoi i Tom supping hilo'd talun-alun.
dtp_Latn:71	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	71	Kuroyon no pakayaan om tombuluyon dahai nga tumanud moti tadau dau.
dtp_Latn:72	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	72	Momuhondom tanak wagu do sisindiron do nointutunan kalapas do mambasa yau.
dtp_Latn:73	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	73	Nunu mangan nu id ontok timpu do tadau kinosusuon nu?
dtp_Latn:74	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	74	Au oku songkuro oilaan dilo kaantakan.
dtp_Latn:75	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	75	Au isido doho papabasa diri surat.
dtp_Latn:76	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	76	Ada' dati dalaan gumompi' kuasa dati, nga dalaan ogumu kowowoyoon dati.
dtp_Latn:77	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	77	Sigog ka om minonolipoun i tulun dot au ointutunan kumaa doho kosodop.
dtp_Latn:78	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	78	Haro gorija poinsomok do walai ku.
dtp_Latn:79	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	79	Tumongob tomod di i mogigion id puru' tu' koligogon nodii poingion id puru' tu' haro' mangasou. I Aki Kayu nga' tumongob, andasan dau do i Okid om Tapako no o korohian di tulun nga korongou nopo di Aki Kayu do i kayu tangagyo nga' onuon nogi do tulun montok pomonsoi walai om milo' nogi' do padagangon.
dtp_Latn:80	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	80	Ih rombituon tokoro nopo atalang kopio.
dtp_Latn:81	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	81	Langadon oku do paganakan ku, om gowoi poddi moi uli.
dtp_Latn:82	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	82	Ih Harry nopo nga 40 toun nodi.
dtp_Latn:83	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	83	Oubas isido moi panangkus tintod do taakanon dongkosuabon.
dtp_Latn:84	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	84	Yoho nopo nga tulun sompogunan hiti.
dtp_Latn:85	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	85	Nakasawo oku om duo kitanak ku.
dtp_Latn:86	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	86	Nunu nopo kaakan toi ko koposion do poingiyon nu nga pilion nu sondiri.
dtp_Latn:87	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	87	Orohian oku do kowowoyoon nu dit otimistik.
dtp_Latn:88	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	88	Natagak i Tom id suang gouton.
dtp_Latn:89	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	89	Mimpanau nopo nga osonong montok kolidasan.
dtp_Latn:90	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	90	Siou kumaa dikoyu, alansan kou daa popogirot sampaganakan do toguangon iti pogumbalaan.
dtp_Latn:91	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	91	Tulun di lowong asaru mongunsarap lobi aba'al diyolo mantad tulun suai.
dtp_Latn:92	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	92	Naralak no todung dilo tanganak tu ogorot tomod minsarap.
dtp_Latn:93	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	93	Iso, duo, tolu', apat, limo, onom, turu', walu', siam, hopod.
dtp_Latn:94	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	94	Hiti no walai sambayang dot iyonon dau.
dtp_Latn:95	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	95	Kologos i Tom do boros kad Mary.
dtp_Latn:96	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	96	Au oku nokoilo di Tom kosorou doho.
