model_key	point_id	language_script	group	x	y	text_preview
v52_random_conv5way_step32000	p0	dtp_Latn	v5_target	0.042229	-0.448068	Songkuro ginayo lo?
v52_random_conv5way_step32000	p1	eng_Latn	v5_target	0.530842	0.110774	How big will it be?
v52_random_conv5way_step32000	p2	dtp_Latn	v5_target	0.007292	-0.446933	Langad-langadon ku diya!
v52_random_conv5way_step32000	p3	eng_Latn	v5_target	0.458049	0.244835	My longing for you is killing me!
v52_random_conv5way_step32000	p4	dtp_Latn	v5_target	-0.533539	-0.336096	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_random_conv5way_step32000	p5	eng_Latn	v5_target	0.441229	0.203314	I recently broke up with my boyfriend of three years.
v52_random_conv5way_step32000	p6	dtp_Latn	v5_target	-0.443879	-0.472018	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_random_conv5way_step32000	p7	eng_Latn	v5_target	0.444895	0.323843	I've been able to drive for more than twenty years.
v52_random_conv5way_step32000	p8	dtp_Latn	v5_target	0.360701	-0.329614	Luminabus i Tom.
v52_random_conv5way_step32000	p9	eng_Latn	v5_target	0.556545	-0.125447	Tom was out.
v52_random_conv5way_step32000	p10	dtp_Latn	v5_target	0.303352	-0.388450	Manu oku poposolon di Tom.
v52_random_conv5way_step32000	p11	eng_Latn	v5_target	0.533227	0.061110	I want to make Tom jealous.
v52_random_conv5way_step32000	p12	dtp_Latn	v5_target	0.050641	-0.572383	Orohian ko' do kumaau.
v52_random_conv5way_step32000	p13	eng_Latn	v5_target	0.571604	-0.010183	You like swimming.
v52_random_conv5way_step32000	p14	dtp_Latn	v5_target	-0.117171	-0.626491	Au kou mangandad no sominggu?
v52_random_conv5way_step32000	p15	eng_Latn	v5_target	0.465367	0.229502	Couldn't you have just waited a week?
v52_random_conv5way_step32000	p16	dtp_Latn	v5_target	-0.246171	-0.530821	Osonong tomod ura tinan nu mantad doho.
v52_random_conv5way_step32000	p17	eng_Latn	v5_target	0.577608	0.250636	You're in better shape than I am.
v52_random_conv5way_step32000	p18	dtp_Latn	v5_target	0.166340	-0.429757	Mamadil oku kama dau.
v52_random_conv5way_step32000	p19	eng_Latn	v5_target	0.556581	0.143602	I'm gonna shoot him.
v52_random_conv5way_step32000	p20	dtp_Latn	v5_target	-0.271804	-0.487512	Nokoumbal kou nokorongou diti tangon no?
v52_random_conv5way_step32000	p21	eng_Latn	v5_target	0.483915	0.178486	Have you heard this story already?
v52_random_conv5way_step32000	p22	dtp_Latn	v5_target	-0.135610	-0.490744	Obuli ko' daa lumisok kaka ri?
v52_random_conv5way_step32000	p23	eng_Latn	v5_target	0.564375	0.099506	Can you keep a secret?
v52_random_conv5way_step32000	p24	dtp_Latn	v5_target	-0.353281	-0.385437	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_random_conv5way_step32000	p25	eng_Latn	v5_target	0.459569	0.309785	A piano is expensive, but a car is more expensive.
v52_random_conv5way_step32000	p26	dtp_Latn	v5_target	-0.147540	-0.417431	Minsingilo' ko' nangku boros Inggilis?
v52_random_conv5way_step32000	p27	eng_Latn	v5_target	0.442870	0.012894	Do you study English?
v52_random_conv5way_step32000	p28	dtp_Latn	v5_target	-0.120837	-0.485760	Milo' oku daa mokianu kamus nu?
v52_random_conv5way_step32000	p29	eng_Latn	v5_target	0.418293	-0.069677	May I borrow your dictionary?
v52_random_conv5way_step32000	p30	dtp_Latn	v5_target	-0.015380	-0.583489	Otopot toi maso id jam nu?
v52_random_conv5way_step32000	p31	eng_Latn	v5_target	0.548477	0.011563	Is your watch correct?
v52_random_conv5way_step32000	p32	dtp_Latn	v5_target	-0.582310	-0.336414	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.
v52_random_conv5way_step32000	p33	eng_Latn	v5_target	0.333040	0.321970	Some scientists predict that the world oil reserves will be used up within a century.
v52_random_conv5way_step32000	p34	dtp_Latn	v5_target	0.172690	-0.429227	Manu ko' do apol?
v52_random_conv5way_step32000	p35	eng_Latn	v5_target	0.539270	0.044022	Do you like apples?
v52_random_conv5way_step32000	p36	dtp_Latn	v5_target	0.120030	-0.483220	Mada oku dii.
v52_random_conv5way_step32000	p37	eng_Latn	v5_target	0.525411	0.071225	I don't think so.
