language_script	language	group	flag	status	source_file	english_file	shared_verses	src_output	eng_output
lao_Laoo	lao	seen	1	too_few_shared_verses	/disk3/moon/paralleltext/bibles/corpus/lao-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.lao_Laoo-eng_Latn.lao_Laoo	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.lao_Laoo-eng_Latn.eng_Latn
mya_Mymr	mya	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/mya-x-bible-1835.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7912	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mya_Mymr-eng_Latn.mya_Mymr	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mya_Mymr-eng_Latn.eng_Latn
ara_Arab	ara	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
mar_Deva	mar	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/mar-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7898	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mar_Deva-eng_Latn.mar_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mar_Deva-eng_Latn.eng_Latn
hau_Latn	hau	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/hau-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hau_Latn-eng_Latn.hau_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hau_Latn-eng_Latn.eng_Latn
uzb_Latn	uzb	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/uzb-x-bible-latin2008.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7917	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uzb_Latn-eng_Latn.uzb_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uzb_Latn-eng_Latn.eng_Latn
slv_Latn	slv	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/slv-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.slv_Latn-eng_Latn.slv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.slv_Latn-eng_Latn.eng_Latn
fin_Latn	fin	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/fin-x-bible-1766.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fin_Latn-eng_Latn.fin_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fin_Latn-eng_Latn.eng_Latn
hun_Latn	hun	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/hun-x-bible-2003.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7936	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hun_Latn-eng_Latn.hun_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hun_Latn-eng_Latn.eng_Latn
cmn_Hani	cmn	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/cmn-x-bible-new.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7916	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.cmn_Hani-eng_Latn.cmn_Hani	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.cmn_Hani-eng_Latn.eng_Latn
est_Latn	est	seen	1	missing_source_bible		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
bre_Latn	bre	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/bre-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7935	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bre_Latn-eng_Latn.bre_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bre_Latn-eng_Latn.eng_Latn
hrv_Latn	hrv	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/hrv-x-bible-2000.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hrv_Latn-eng_Latn.hrv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hrv_Latn-eng_Latn.eng_Latn
jav_Latn	jav	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/jav-x-bible-1981.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7938	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.jav_Latn-eng_Latn.jav_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.jav_Latn-eng_Latn.eng_Latn
ron_Latn	ron	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/ron-x-bible-2006.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ron_Latn-eng_Latn.ron_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ron_Latn-eng_Latn.eng_Latn
ell_Grek	ell	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/ell-x-bible-karalis.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ell_Grek-eng_Latn.ell_Grek	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ell_Grek-eng_Latn.eng_Latn
nor_Latn	nor	seen	1	missing_source_bible		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
slk_Latn	slk	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/slk-x-bible-catholic.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.slk_Latn-eng_Latn.slk_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.slk_Latn-eng_Latn.eng_Latn
vie_Latn	vie	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/vie-x-bible-2002.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7935	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.vie_Latn-eng_Latn.vie_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.vie_Latn-eng_Latn.eng_Latn
