rank	language_script	language	script	group	xlm_r_training_language	region	source_examples	train_examples	dev_examples	test_examples	has_pppl	has_tatoeba	has_bible	has_roundtrip	has_ner	has_pos	has_taxi1500	split_status	split_notes	selection_note
1	lao_Laoo	lao	Laoo	seen92	yes		56337	54337	1000	1000	yes	no	no	no	no	no	no	PASS	count_source=arrow	
2	mya_Mymr	mya	Mymr	seen92	yes		911018	909018	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
3	ara_Arab	ara	Arab	seen92	yes		24521525	24519525	1000	1000	yes	yes	no	no	yes	yes	no	PASS	count_source=arrow	
4	mar_Deva	mar	Deva	seen92	yes		28749662	28747662	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
5	hau_Latn	hau	Latn	seen92	yes		4361657	4359657	1000	1000	yes	no	yes	yes	no	no	no	PASS	count_source=arrow	
6	uzb_Latn	uzb	Latn	seen92	yes		3182187	3180187	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
7	slv_Latn	slv	Latn	seen92	yes		15718268	15716268	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
8	fin_Latn	fin	Latn	seen92	yes		16729345	16727345	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
9	hun_Latn	hun	Latn	seen92	yes		18798712	18796712	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
10	cmn_Hani	cmn	Hani	seen92	yes		57500	55500	1000	1000	yes	yes	yes	yes	no	no	no	PASS	count_source=arrow	
11	est_Latn	est	Latn	seen92	yes		13598009	13596009	1000	1000	yes	yes	no	no	yes	yes	no	PASS	count_source=arrow	
12	bre_Latn	bre	Latn	seen92	yes		731939	729939	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
13	hrv_Latn	hrv	Latn	seen92	yes		17881552	17879552	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
14	jav_Latn	jav	Latn	seen92	yes		447504	445504	1000	1000	yes	no	yes	yes	yes	yes	no	PASS	count_source=arrow	
15	ron_Latn	ron	Latn	seen92	yes		19189651	19187651	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
16	ell_Grek	ell	Grek	seen92	yes		22031905	22029905	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
17	nor_Latn	nor	Latn	seen92	yes		14528502	14526502	1000	1000	yes	no	no	no	yes	yes	no	PASS	count_source=arrow	
18	slk_Latn	slk	Latn	seen92	yes		14634178	14632178	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
19	vie_Latn	vie	Latn	seen92	yes		15587157	15585157	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
20	amh_Ethi	amh	Ethi	seen92	yes		2835527	2833527	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
21	epo_Latn	epo	Latn	seen92	yes		8736217	8734217	1000	1000	yes	yes	yes	yes	yes	no	no	PASS	count_source=arrow	
22	bel_Cyrl	bel	Cyrl	seen92	yes		5318656	5316656	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
23	xho_Latn	xho	Latn	seen92	yes		1201261	1199261	1000	1000	yes	yes	yes	yes	no	no	no	PASS	count_source=arrow	
24	hin_Deva	hin	Deva	seen92	yes		7004172	7002172	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
25	tam_Taml	tam	Taml	seen92	yes		3364892	3362892	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
26	mon_Cyrl	mon	Cyrl	seen92	yes		4614949	4612949	1000	1000	yes	yes	no	no	yes	no	no	PASS	count_source=arrow	
27	ces_Latn	ces	Latn	seen92	yes		20374860	20372860	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
28	san_Deva	san	Deva	seen92	yes		155070	153070	1000	1000	yes	no	yes	yes	yes	yes	no	PASS	count_source=arrow	
29	hye_Armn	hye	Armn	seen92	yes		1413139	1411139	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
30	pus_Arab	pus	Arab	seen92	yes		730035	728035	1000	1000	yes	no	no	no	yes	no	no	PASS	count_source=arrow	
31	som_Arab	som	Arab	seen92	yes		12203	10203	1000	1000	yes	no	no	no	no	no	no	PASS	count_source=arrow	
32	kan_Knda	kan	Knda	seen92	yes		41805904	41803904	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
33	isl_Latn	isl	Latn	seen92	yes		19546858	19544858	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
34	ori_Orya	ori	Orya	seen92	yes		402076	400076	1000	1000	yes	no	no	no	yes	no	no	PASS	count_source=arrow	
35	afr_Latn	afr	Latn	seen92	yes		5156807	5154807	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
36	deu_Latn	deu	Latn	seen92	yes		31015917	31013917	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
37	urd_Arab	urd	Arab	seen92	yes		6008751	6006751	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
38	bul_Cyrl	bul	Cyrl	seen92	yes		21822051	21820051	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
39	tgl_Latn	tgl	Latn	seen92	yes		7409827	7407827	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
40	eus_Latn	eus	Latn	seen92	yes		12774851	12772851	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
41	pol_Latn	pol	Latn	seen92	yes		19338808	19336808	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
42	lat_Latn	lat	Latn	seen92	yes		1149896	1147896	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
