metric	summary_group	model_key	score_name	score_value	aux_score_name	aux_score_value	direction	source_file
pseudoperplexity	all	glot500_base	weighted_pseudo_perplexity	10.640353	weighted_mean_nll	2.364654	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
pseudoperplexity	head	glot500_base	weighted_pseudo_perplexity	10.213100	weighted_mean_nll	2.323671	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
pseudoperplexity	v5_target	glot500_base	weighted_pseudo_perplexity	15.102934	weighted_mean_nll	2.714889	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/glot500_base/summary.tsv
pseudoperplexity	all	v5_random	weighted_pseudo_perplexity	20.138927	weighted_mean_nll	3.002655	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
pseudoperplexity	head	v5_random	weighted_pseudo_perplexity	18.726452	weighted_mean_nll	2.929937	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
pseudoperplexity	v5_target	v5_random	weighted_pseudo_perplexity	39.222875	weighted_mean_nll	3.669260	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/v5_random/summary.tsv
pseudoperplexity	all	xlmr_base	weighted_pseudo_perplexity	9.986271	weighted_mean_nll	2.301211	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
pseudoperplexity	head	xlmr_base	weighted_pseudo_perplexity	8.117338	weighted_mean_nll	2.094002	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
pseudoperplexity	v5_target	xlmr_base	weighted_pseudo_perplexity	61.980216	weighted_mean_nll	4.126815	lower_is_better	docs/exp/v5/3_evaluation/01_pseudoperplexity/xlmr_base/summary.tsv
retrieval_tatoeba	all	glot500_base	top10_accuracy	0.706649	languages	98	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
retrieval_tatoeba	head	glot500_base	top10_accuracy	0.743755	languages	63	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt
retrieval_tatoeba	all	v5_fvt	top10_accuracy	0.617507	languages	98	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
retrieval_tatoeba	head	v5_fvt	top10_accuracy	0.712669	languages	63	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
retrieval_tatoeba	all	v5_random	top10_accuracy	0.610353	languages	98	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
retrieval_tatoeba	head	v5_random	top10_accuracy	0.700285	languages	63	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
retrieval_tatoeba	all	xlmr_base	top10_accuracy	0.566067	languages	98	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt
