task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
retrieval_bible	lao_Laoo	lao	head	yes	1	no	no	missing_local_materialization	evaluation/download_data/download/retrieval_bible
retrieval_bible	mya_Mymr	mya	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	ara_Arab	ara	head	no		no	no	not_in_task_or_flag_zero	evaluation/download_data/download/retrieval_bible
retrieval_bible	mar_Deva	mar	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	hau_Latn	hau	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	uzb_Latn	uzb	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	slv_Latn	slv	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	fin_Latn	fin	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	hun_Latn	hun	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	cmn_Hani	cmn	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	est_Latn	est	head	yes	1	no	no	missing_local_materialization	evaluation/download_data/download/retrieval_bible
retrieval_bible	bre_Latn	bre	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	hrv_Latn	hrv	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	jav_Latn	jav	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	ron_Latn	ron	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	ell_Grek	ell	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	nor_Latn	nor	head	yes	1	no	no	missing_local_materialization	evaluation/download_data/download/retrieval_bible
retrieval_bible	slk_Latn	slk	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	vie_Latn	vie	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	amh_Ethi	amh	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	epo_Latn	epo	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	bel_Cyrl	bel	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	xho_Latn	xho	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	hin_Deva	hin	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	tam_Taml	tam	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	mon_Cyrl	mon	head	no		no	no	not_in_task_or_flag_zero	evaluation/download_data/download/retrieval_bible
retrieval_bible	ces_Latn	ces	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	san_Deva	san	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	hye_Armn	hye	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	pus_Arab	pus	head	no		no	no	not_in_task_or_flag_zero	evaluation/download_data/download/retrieval_bible
retrieval_bible	som_Arab	som	head	no		no	no	not_in_task_or_flag_zero	evaluation/download_data/download/retrieval_bible
retrieval_bible	kan_Knda	kan	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	isl_Latn	isl	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	ori_Orya	ori	head	yes	1	no	no	missing_local_materialization	evaluation/download_data/download/retrieval_bible
retrieval_bible	afr_Latn	afr	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	deu_Latn	deu	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	urd_Arab	urd	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	bul_Cyrl	bul	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	tgl_Latn	tgl	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	eus_Latn	eus	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	pol_Latn	pol	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
retrieval_bible	lat_Latn	lat	head	yes	1	yes	yes	available	evaluation/download_data/download/retrieval_bible
