scope	language_id	split	count
language_split	acu	burned_excluded	864
language_split	acu	dev	1318
language_split	acu	final_test	1906
language_split	acu	train	5170
language_split	ake	burned_excluded	879
language_split	ake	dev	1346
language_split	ake	final_test	2006
language_split	ake	train	5179
language_split	bsn	burned_excluded	857
language_split	bsn	dev	1258
language_split	bsn	final_test	1918
language_split	bsn	train	5103
language_split	chr	burned_excluded	879
language_split	chr	dev	1356
language_split	chr	final_test	2014
language_split	chr	train	5393
language_split	cop	burned_excluded	879
language_split	cop	dev	1356
language_split	cop	final_test	2009
language_split	cop	train	5394
language_split	deu	dev	678
language_split	deu	final_test	1007
language_split	deu	train	29417
language_split	eng	dev	678
language_split	eng	final_test	1007
language_split	eng	train	29417
language_split	jpn	dev	678
language_split	jpn	final_test	1007
language_split	jpn	train	29402
language_split	kbh	burned_excluded	657
language_split	kbh	dev	1002
language_split	kbh	final_test	1704
language_split	kbh	train	4511
language_split	kor	dev	678
language_split	kor	final_test	1007
language_split	kor	train	29416
language_split	nhg	burned_excluded	870
language_split	nhg	dev	1346
language_split	nhg	final_test	2012
language_split	nhg	train	5273
language_split	oji	burned_excluded	878
language_split	oji	dev	1348
language_split	oji	final_test	2014
language_split	oji	train	5384
language_split	syr	burned_excluded	879
language_split	syr	dev	1356
language_split	syr	final_test	2014
language_split	syr	train	5390
language_split	usp	burned_excluded	878
language_split	usp	dev	1356
language_split	usp	final_test	2014
language_split	usp	train	5327
target10_shared_overlap	target10	burned_excluded	625
target10_shared_overlap	target10	dev	456
target10_shared_overlap	target10	final_test	782
target10_shared_overlap	target10	train	3029
