model_key	point_id	language_script	group	x	y	text_preview
v52_fvt_conv5way_step26000	p0	dtp_Latn	v5_target	-0.184094	-0.503369	Songkuro ginayo lo?
v52_fvt_conv5way_step26000	p1	eng_Latn	v5_target	-0.500023	0.169092	How big will it be?
v52_fvt_conv5way_step26000	p2	dtp_Latn	v5_target	-0.133607	-0.436557	Langad-langadon ku diya!
v52_fvt_conv5way_step26000	p3	eng_Latn	v5_target	-0.403677	0.259304	My longing for you is killing me!
v52_fvt_conv5way_step26000	p4	dtp_Latn	v5_target	0.384335	-0.474016	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_fvt_conv5way_step26000	p5	eng_Latn	v5_target	-0.376055	0.302259	I recently broke up with my boyfriend of three years.
v52_fvt_conv5way_step26000	p6	dtp_Latn	v5_target	0.346092	-0.621507	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_fvt_conv5way_step26000	p7	eng_Latn	v5_target	-0.354066	0.415308	I've been able to drive for more than twenty years.
v52_fvt_conv5way_step26000	p8	dtp_Latn	v5_target	-0.367729	-0.287590	Luminabus i Tom.
v52_fvt_conv5way_step26000	p9	eng_Latn	v5_target	-0.558424	-0.101136	Tom was out.
v52_fvt_conv5way_step26000	p10	dtp_Latn	v5_target	-0.168530	-0.640301	Manu oku poposolon di Tom.
v52_fvt_conv5way_step26000	p11	eng_Latn	v5_target	-0.478289	0.150028	I want to make Tom jealous.
v52_fvt_conv5way_step26000	p12	dtp_Latn	v5_target	-0.135172	-0.619549	Orohian ko' do kumaau.
v52_fvt_conv5way_step26000	p13	eng_Latn	v5_target	-0.574668	0.048621	You like swimming.
v52_fvt_conv5way_step26000	p14	dtp_Latn	v5_target	-0.032383	-0.552985	Au kou mangandad no sominggu?
v52_fvt_conv5way_step26000	p15	eng_Latn	v5_target	-0.374529	0.318166	Couldn't you have just waited a week?
v52_fvt_conv5way_step26000	p16	dtp_Latn	v5_target	-0.034708	-0.544478	Osonong tomod ura tinan nu mantad doho.
v52_fvt_conv5way_step26000	p17	eng_Latn	v5_target	-0.467010	0.334043	You're in better shape than I am.
