model	fold	source	examples	corpus_bleu	corpus_chrfpp	sentence_mean_chrfpp	gain_vs_top1_sentence_mean	gap_to_oracle_sentence_mean	better_than_top1	tie_with_top1	worse_than_top1	oracle_rank_match	rank_counts	decision_counts
ridge	1	validation_cv_fold	136	17.035766	42.813380	44.132466	0.880495	3.068233	23	99	14	85	1:99,2:22,3:4,4:2,5:1,6:4,7:2,8:2	KEEP_TOP1:99,SWAP_TO_RANK_2:22,SWAP_TO_RANK_3:4,SWAP_TO_RANK_4:2,SWAP_TO_RANK_5:1,SWAP_TO_RANK_6:4,SWAP_TO_RANK_7:2,SWAP_TO_RANK_8:2
ridge	2	validation_cv_fold	136	16.319808	43.848240	43.785212	0.754159	2.583561	19	108	9	92	1:107,2:14,3:3,4:5,5:1,6:1,7:2,8:3	KEEP_TOP1:107,SWAP_TO_RANK_2:14,SWAP_TO_RANK_3:3,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:1,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:2,SWAP_TO_RANK_8:3
ridge	3	validation_cv_fold	136	17.737677	45.800218	44.341134	1.726760	2.323095	28	103	5	98	1:103,2:16,3:4,4:5,5:4,6:2,8:2	KEEP_TOP1:103,SWAP_TO_RANK_2:16,SWAP_TO_RANK_3:4,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:4,SWAP_TO_RANK_6:2,SWAP_TO_RANK_8:2
ridge	4	validation_cv_fold	135	15.726154	42.566155	42.662972	1.155985	3.273142	22	102	11	83	1:101,2:11,3:8,4:1,5:5,6:3,7:3,8:3	KEEP_TOP1:101,SWAP_TO_RANK_2:11,SWAP_TO_RANK_3:8,SWAP_TO_RANK_4:1,SWAP_TO_RANK_5:5,SWAP_TO_RANK_6:3,SWAP_TO_RANK_7:3,SWAP_TO_RANK_8:3
ridge	5	validation_cv_fold	135	13.432978	41.139659	40.875584	0.246786	3.364555	14	105	16	82	1:105,2:17,3:6,5:2,6:2,7:2,8:1	KEEP_TOP1:105,SWAP_TO_RANK_2:17,SWAP_TO_RANK_3:6,SWAP_TO_RANK_5:2,SWAP_TO_RANK_6:2,SWAP_TO_RANK_7:2,SWAP_TO_RANK_8:1
ridge	oof	validation_oof	678	16.054835	43.253252	43.163575	0.953579	2.921348	106	517	55	440	1:515,2:80,3:25,4:13,5:13,6:12,7:9,8:11	KEEP_TOP1:515,SWAP_TO_RANK_2:80,SWAP_TO_RANK_3:25,SWAP_TO_RANK_4:13,SWAP_TO_RANK_5:13,SWAP_TO_RANK_6:12,SWAP_TO_RANK_7:9,SWAP_TO_RANK_8:11
random_forest	1	validation_cv_fold	136	17.276593	42.744660	43.671397	0.419426	3.529303	26	92	18	82	1:92,2:24,3:8,4:1,5:2,6:3,7:3,8:3	KEEP_TOP1:92,SWAP_TO_RANK_2:24,SWAP_TO_RANK_3:8,SWAP_TO_RANK_4:1,SWAP_TO_RANK_5:2,SWAP_TO_RANK_6:3,SWAP_TO_RANK_7:3,SWAP_TO_RANK_8:3
random_forest	2	validation_cv_fold	136	16.157837	43.443865	43.239201	0.208147	3.129572	18	104	14	87	1:103,2:17,3:7,4:5,5:1,7:2,8:1	KEEP_TOP1:103,REJECT_POOL:1,SWAP_TO_RANK_2:17,SWAP_TO_RANK_3:7,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:1,SWAP_TO_RANK_7:1,SWAP_TO_RANK_8:1
random_forest	3	validation_cv_fold	136	18.372761	45.837401	44.382584	1.768209	2.281646	28	103	5	95	1:103,2:18,3:4,4:3,5:3,6:2,8:3	KEEP_TOP1:103,SWAP_TO_RANK_2:18,SWAP_TO_RANK_3:4,SWAP_TO_RANK_4:3,SWAP_TO_RANK_5:3,SWAP_TO_RANK_6:2,SWAP_TO_RANK_8:3
random_forest	4	validation_cv_fold	135	15.928587	42.576812	42.437960	0.930973	3.498155	19	97	19	80	1:96,2:20,3:11,4:2,5:4,6:1,8:1	KEEP_TOP1:96,REJECT_POOL:1,SWAP_TO_RANK_2:20,SWAP_TO_RANK_3:11,SWAP_TO_RANK_4:2,SWAP_TO_RANK_5:4,SWAP_TO_RANK_8:1
