language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo	yes	PASS	
mya_Mymr	seen	945180		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr	yes	PASS	
ara_Arab	seen	24524122		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab	yes	PASS	
mar_Deva	seen	28748897		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva	yes	PASS	
hau_Latn	seen	4368483		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn	yes	PASS	
uzb_Latn	seen	3223485		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn	yes	PASS	
slv_Latn	seen	15719210		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn	yes	PASS	
fin_Latn	seen	16730388		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn	yes	PASS	
hun_Latn	seen	18800025		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn	yes	PASS	
cmn_Hani	seen	80745		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani	yes	PASS	
est_Latn	seen	13600579		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn	yes	PASS	
bre_Latn	seen	748954		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn	yes	PASS	
hrv_Latn	seen	17882932		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn	yes	PASS	
jav_Latn	seen	516833		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn	yes	PASS	
ron_Latn	seen	19190217		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn	yes	PASS	
ell_Grek	seen	22033282		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek	yes	PASS	
nor_Latn	seen	14576191		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn	yes	PASS	
slk_Latn	seen	14633631		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn	yes	PASS	
vie_Latn	seen	15697827		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn	yes	PASS	
amh_Ethi	seen	2862985		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi	yes	PASS	
epo_Latn	seen	8737198		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn	yes	PASS	
bel_Cyrl	seen	5319675		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl	yes	PASS	
xho_Latn	seen	1262364		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn	yes	PASS	
hin_Deva	seen	7046700		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva	yes	PASS	
tam_Taml	seen	3388255		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml	yes	PASS	
mon_Cyrl	seen	4616960		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl	yes	PASS	
ces_Latn	seen	20376340		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn	yes	PASS	
san_Deva	seen	165616		59421	59421	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva	yes	PASS	
