source_step	third_try_axis	third_try_role	evidence_artifact	reusable_finding	blocked_overclaim
2026-06-02_init_project	reference_grounding	prototype_context	../../first_try/2026-06-02_init_project/01_survey_synthesis.md	Initial survey and experiment matrix motivate tokenizer-extension direction	Not a final experiment protocol
2026-06-03_01_data_and_splits	data_scope	prototype_data_inventory	../../first_try/2026-06-03_01_data_and_splits/results.md	Establishes target10 data handling and early splits	Not the final high-resource replay mixture
2026-06-03_02_tokenization_audit	tokenizer_baseline	fragmentation_prototype	../../first_try/2026-06-03_02_tokenization_audit/target10_tokenization_metrics.tsv	Documents strong overfragmentation in Coptic/Syriac/Cherokee/Ojibwa	Tokenization audit is not model improvement
2026-06-03_03_vocab_extension	tokenizer_extension	prototype_vocab_ablation	../../first_try/2026-06-03_03_vocab_extension/glot500_target10_merged_metrics.tsv	Target10 merged tokenizer greatly reduces tokens/word for affected scripts	Early merged tokenizer is not id-preserving third_try main evidence
2026-06-03_04_embedding_init	init_method	prototype_init_ablation	../../first_try/2026-06-03_04_embedding_init/embedding_init_metrics.tsv	Mean initialization is more stable than random in early pilot	Does not supersede third_try fvt/zero-step selection
2026-06-03_08_evaluation_analysis	translation_generation	negative_generation_ablation	../../first_try/2026-06-03_08_evaluation_analysis/final_metrics.tsv	Direct Coptic/Syriac NMT is low-quality or repetition-prone	Do not claim solved Coptic/Syriac translation
2026-06-03_07_pivot_backtranslation	pivot_backtranslation	negative_pivot_gate	../../first_try/2026-06-03_07_pivot_backtranslation/results.md	Greek pivot/back-translation gate fails target script or repetition checks	Do not scale pivot/backtranslation from current evidence
2026-06-03_08_evaluation_analysis	error_analysis	failure_taxonomy	../../first_try/2026-06-03_08_evaluation_analysis/error_taxonomy.md	Identifies formulaic collapse, max-length repetition, script failure, retrieval-copy dependence	chrF++ alone cannot be used as quality proof
2026-06-04_10_source_grounding_editing	retrieval_editing	downstream_proxy_ablation	../../first_try/2026-06-04_10_source_grounding_editing/retrieval_edit_control_results.tsv	Retrieved-only control beats correct source+retrieval in one neural edit gate	Neural retrieval editing is not source-grounded enough for main claim
2026-06-03_09_report_release	claim_wording	claim_guardrail	../../first_try/2026-06-03_09_report_release/claim_evidence_map.md	Separates allowed tokenizer/retrieval claims from blocked translation claims	Do not import first_try positive wording into third_try main claim
2026-06-04_11_release_audit	release_audit	artifact_guardrail	../../first_try/2026-06-04_11_release_audit/release_audit_summary.md	Records release blockers and cautious claim boundaries	Release readiness is separate from scientific main-claim readiness
