source	pair_type	group	pairs
bible	aligned_bible_src_eng	head	3700
bible	aligned_bible_src_eng	v5_target	300
bible	same_language_bible_adjacent	head	3700
bible	same_language_bible_adjacent	v5_target	300
roundtrip	roundtrip_src_eng	head	3700
roundtrip	roundtrip_src_eng	v5_target	300
roundtrip	roundtrip_src_pivot	head	3700
roundtrip	roundtrip_src_pivot	v5_target	300
tatoeba	aligned_tatoeba_src_eng	head	3150
tatoeba	aligned_tatoeba_src_eng	v5_target	150
tatoeba	same_language_tatoeba_adjacent	head	3150
tatoeba	same_language_tatoeba_adjacent	v5_target	150
