iso	language	script	split	verse_id	words	chars	tokens	tokens_per_word	single_char_token_pct	unk_tokens	degenerate	text	token_preview
acu	Achuar-Shiwiar	Latin	train	b.MAT.8.25	7	72	32	4.571	34.375	0	no	Kanuramtai Jesúsan shintinak: —Apurua, uwemtikiarturta. Ukantatji, —tiarmiayi.	▁Kan u ram tai ▁Jesús an ▁shin ti nak : ▁— A puru a , ▁uw em tik iar tur ta . ▁U kan tat ji , ▁— tia rmi ayi .
acu	Achuar-Shiwiar	Latin	train	b.MAT.9.32	7	65	28	4.000	17.857	0	no	Nunia jiinkiaramtai, aints chichachun iwianchrukun Jesúsnum itaarmiayi.	▁Nu nia ▁ji in ki aram tai , ▁a int s ▁chi ch ach un ▁i wi an ch ru kun ▁Jesús num ▁ita ar mi ayi .
acu	Achuar-Shiwiar	Latin	train	b.MAT.11.28	10	104	39	3.900	15.385	0	no	“Mash pimpikniutirmesha, tura itiurkachmin pujautirmesha wini winitaram. Turakrumningkia wikia ayamtiksatatjarme.	▁“ Mas h ▁pimp ik niu tir me sha , ▁ tura ▁iti ur kach min ▁puja uti rme sha ▁ wini ▁win ita ram . ▁Tur ak rum ning kia ▁wiki a ▁ayam tik sata tja rme .
acu	Achuar-Shiwiar	Latin	train	b.MAT.11.3	15	136	57	3.800	22.807	0	no	Akupkamu asar Jesúsan jeariar iniinak: —¿Yus uwemtikiartinun akupkatnuitjai tímia nuka amekitam? ¿Amechuitkumningkia chikichash nakastaij? —tiarmiayi.	▁Aku pka mu ▁as ar ▁Jesús an ▁je ari ar ▁ini inak : ▁— ¿ Y us ▁uw em tik i arti nun ▁a kup kat nu it jai ▁tím ia ▁nuk a ▁ame kita m ? ▁¿ Am ech uit kum ning kia ▁chi ki cha sh ▁na kasta ij ? ▁— tia rmi ayi .
acu	Achuar-Shiwiar	Latin	train	b.MAT.8.30	6	55	22	3.667	9.091	0	no	Tinamtai arakchichu kúchi untsuri shushungminak wajaarmiayi.	▁Tin am tai ▁ arak chi chu ▁kú chi ▁un ts uri ▁shu s hung mi nak ▁wa jaar mi ayi .
ake	Akawaio	Latin	train	b.MAT.5.43	6	59	40	6.667	62.500	0	no	“Eta'pʉ auya'nokon; ‘Ɨtonpa i'nʉnkakɨ, ɨyeyaton ewaruma'tɨi'ma.’	▁“ E ta ' p ʉ ▁au ya ' no kon ; ▁‘ Ɨ ton pa ▁i ' n ʉ n kak ɨ , ▁ ɨ ye ya ton ▁e war uma ' t ɨ i ' ma . ’
ake	Akawaio	Latin	train	b.MAT.8.15	14	106	76	5.429	76.316	0	no	Mɨrɨpan uya itemiyatʉ pɨ' a'pɨtʉ'pʉ. Mɨrɨ a'tai rɨ, iye'kɨɨi'mato' ereuta'pʉ, mɨrɨpan e'mʉ'sa'ka'pʉ to' mʉta'napase'na.	▁M ɨ r ɨ pan ▁u ya ▁item iyat ʉ ▁p ɨ ' ▁a ' p ɨ t ʉ ' p ʉ . ▁M ɨ r ɨ ▁a ' tai ▁r ɨ , ▁ iye ' k ɨ ɨ i ' mato ' ▁ere uta ' p ʉ , ▁m ɨ r ɨ pan ▁e ' m ʉ ' sa ' ka ' p ʉ ▁to ' ▁m ʉ ta ' nap ase ' na .
ake	Akawaio	Latin	train	b.MAT.5.42	11	89	59	5.364	59.322	0	no	Ɨyekama'poyai'ne'nokon irepatɨ', mɨrɨ awonsi'kɨ kera'tɨi ɨnʉ' rɨ ɨyekama'ponin ɨiwano' pɨ' piyapai.	▁ Ɨ ye kama ' po ya i ' ne ' no kon ▁i re pat ɨ ' , ▁m ɨ r ɨ ▁a won si ' k ɨ ▁kera ' t ɨ i ▁ ɨ n ʉ ' ▁r ɨ ▁ ɨ ye kama ' ponin ▁ ɨ iwa no ' ▁p ɨ ' ▁pi ya pai .
ake	Akawaio	Latin	train	b.MAT.7.7	17	132	91	5.353	65.934	0	no	“Ekama'potɨ'; mɨrɨ a'tai, ɨyena'nokon nɨ iye'tʉrʉ. Iwarinpatɨ'; mɨrɨ a'tai, eporo auya'nokon. Mʉra'ta iwɨpɨ'tɨ', mɨrɨpan uta'kokato' pe ɨyena'nokon.	▁“ E kama ' pot ɨ ' ; ▁m ɨ r ɨ ▁a ' tai , ▁ ɨ ye na ' no kon ▁n ɨ ▁ iye ' t ʉ r ʉ . ▁I war in pat ɨ ' ; ▁m ɨ r ɨ ▁a ' tai , ▁e poro ▁au ya ' no kon . ▁M ʉ ra ' ta ▁i w ɨ p ɨ ' t ɨ ' , ▁m ɨ r ɨ pan ▁ut a ' kok
ake	Akawaio	Latin	train	b.MAT.2.17	6	49	32	5.333	68.750	0	no	Mɨrɨ a'tai, pu'kena' Iseremaya nekama'pʉ uta'ku'tɨ'pʉ:	▁M ɨ r ɨ ▁a ' tai , ▁pu ' ken a ' ▁Is ere maya ▁ne kama ' p ʉ ▁ut a ' ku ' t ɨ ' p ʉ :
