task	model	seed	accuracy	macro_f1	auc	recall_at_1	recall_at_5	mrr	hard_negative_score	per_language_avg	beats_original_xlmr	status	notes
book_genre_classification	majority	0	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	random	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.010000	0.050000	0.010000	0.010000	0.010000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	random	0	0.500000	0.500000	0.500000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.500000	0.500000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
book_genre_classification	original_xlmr	0	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	original_xlmr	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.021778	0.087556	0.075813	0.021778	0.021778	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	original_xlmr	0	0.570222	1.000000	0.572111	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.570222	0.570222	NOT_APPLICABLE	PASS	frozen_encoder_proxy
language_identification	diagnostic_original_xlmr	0	0.916000	0.909170	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.913787	NOT_APPLICABLE	PASS	diagnostic_only
book_genre_classification	selected_adapted	0	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	no	PASS	frozen_encoder_proxy
verse_retrieval	selected_adapted	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.026222	0.101444	0.085354	0.026222	0.026222	yes	PASS	frozen_encoder_proxy
parallel_verse_matching	selected_adapted	0	0.617667	1.000000	0.617667	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.617667	0.617667	yes	PASS	frozen_encoder_proxy
language_identification	diagnostic_selected_adapted	0	0.764000	0.754105	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.759022	NOT_APPLICABLE	PASS	diagnostic_only
book_genre_classification	majority	1	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	random	1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.010000	0.050000	0.010000	0.010000	0.010000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	random	1	0.500000	0.500000	0.500000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.500000	0.500000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
book_genre_classification	original_xlmr	1	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	original_xlmr	1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.022111	0.088444	0.076250	0.022111	0.022111	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	original_xlmr	1	0.568444	1.000000	0.569389	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.568444	0.568444	NOT_APPLICABLE	PASS	frozen_encoder_proxy
language_identification	diagnostic_original_xlmr	1	0.900000	0.899295	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.903469	NOT_APPLICABLE	PASS	diagnostic_only
book_genre_classification	selected_adapted	1	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	no	PASS	frozen_encoder_proxy
verse_retrieval	selected_adapted	1	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.026222	0.101444	0.085354	0.026222	0.026222	yes	PASS	frozen_encoder_proxy
parallel_verse_matching	selected_adapted	1	0.615222	1.000000	0.615222	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.615222	0.615222	yes	PASS	frozen_encoder_proxy
language_identification	diagnostic_selected_adapted	1	0.750000	0.737345	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.748816	NOT_APPLICABLE	PASS	diagnostic_only
book_genre_classification	majority	2	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	random	2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.010000	0.050000	0.010000	0.010000	0.010000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	random	2	0.500000	0.500000	0.500000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.500000	0.500000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
book_genre_classification	original_xlmr	2	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	NOT_APPLICABLE	PASS	frozen_encoder_proxy
verse_retrieval	original_xlmr	2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.021889	0.088222	0.076013	0.021889	0.021889	NOT_APPLICABLE	PASS	frozen_encoder_proxy
parallel_verse_matching	original_xlmr	2	0.566111	1.000000	0.567778	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.566111	0.566111	NOT_APPLICABLE	PASS	frozen_encoder_proxy
language_identification	diagnostic_original_xlmr	2	0.916000	0.901999	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.904936	NOT_APPLICABLE	PASS	diagnostic_only
book_genre_classification	selected_adapted	2	1.000000	1.000000	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	1.000000	no	PASS	frozen_encoder_proxy
verse_retrieval	selected_adapted	2	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.026222	0.101444	0.085352	0.026222	0.026222	yes	PASS	frozen_encoder_proxy
parallel_verse_matching	selected_adapted	2	0.599333	1.000000	0.599389	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.599333	0.599333	yes	PASS	frozen_encoder_proxy
language_identification	diagnostic_selected_adapted	2	0.776000	0.760959	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0.760843	NOT_APPLICABLE	PASS	diagnostic_only
