model_key	point_id	language_script	group	x	y	text_preview
v52_weighted_fvt_conv5way_step1000	p0	dtp_Latn	v5_target	-0.064587	-0.568236	Songkuro ginayo lo?
v52_weighted_fvt_conv5way_step1000	p1	eng_Latn	v5_target	-0.528517	0.109822	How big will it be?
v52_weighted_fvt_conv5way_step1000	p2	dtp_Latn	v5_target	-0.084929	-0.424573	Langad-langadon ku diya!
v52_weighted_fvt_conv5way_step1000	p3	eng_Latn	v5_target	-0.519530	0.250542	My longing for you is killing me!
v52_weighted_fvt_conv5way_step1000	p4	dtp_Latn	v5_target	0.482444	-0.403706	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
v52_weighted_fvt_conv5way_step1000	p5	eng_Latn	v5_target	-0.527533	0.178720	I recently broke up with my boyfriend of three years.
v52_weighted_fvt_conv5way_step1000	p6	dtp_Latn	v5_target	0.441725	-0.553797	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
v52_weighted_fvt_conv5way_step1000	p7	eng_Latn	v5_target	-0.521725	0.318648	I've been able to drive for more than twenty years.
v52_weighted_fvt_conv5way_step1000	p8	dtp_Latn	v5_target	-0.233113	-0.423399	Luminabus i Tom.
v52_weighted_fvt_conv5way_step1000	p9	eng_Latn	v5_target	-0.516218	-0.176776	Tom was out.
v52_weighted_fvt_conv5way_step1000	p10	dtp_Latn	v5_target	-0.000034	-0.717978	Manu oku poposolon di Tom.
v52_weighted_fvt_conv5way_step1000	p11	eng_Latn	v5_target	-0.508821	0.074312	I want to make Tom jealous.
v52_weighted_fvt_conv5way_step1000	p12	dtp_Latn	v5_target	0.070802	-0.633309	Orohian ko' do kumaau.
v52_weighted_fvt_conv5way_step1000	p13	eng_Latn	v5_target	-0.622618	-0.024209	You like swimming.
v52_weighted_fvt_conv5way_step1000	p14	dtp_Latn	v5_target	0.106090	-0.543328	Au kou mangandad no sominggu?
v52_weighted_fvt_conv5way_step1000	p15	eng_Latn	v5_target	-0.469543	0.260647	Couldn't you have just waited a week?
v52_weighted_fvt_conv5way_step1000	p16	dtp_Latn	v5_target	0.217736	-0.595507	Osonong tomod ura tinan nu mantad doho.
v52_weighted_fvt_conv5way_step1000	p17	eng_Latn	v5_target	-0.589871	0.281910	You're in better shape than I am.
v52_weighted_fvt_conv5way_step1000	p18	dtp_Latn	v5_target	-0.117446	-0.545417	Mamadil oku kama dau.
v52_weighted_fvt_conv5way_step1000	p19	eng_Latn	v5_target	-0.469987	0.189551	I'm gonna shoot him.
v52_weighted_fvt_conv5way_step1000	p20	dtp_Latn	v5_target	0.302335	-0.555572	Nokoumbal kou nokorongou diti tangon no?
v52_weighted_fvt_conv5way_step1000	p21	eng_Latn	v5_target	-0.603262	0.170912	Have you heard this story already?
v52_weighted_fvt_conv5way_step1000	p22	dtp_Latn	v5_target	0.237503	-0.556593	Obuli ko' daa lumisok kaka ri?
v52_weighted_fvt_conv5way_step1000	p23	eng_Latn	v5_target	-0.564040	0.099743	Can you keep a secret?
v52_weighted_fvt_conv5way_step1000	p24	dtp_Latn	v5_target	0.298812	-0.438415	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
v52_weighted_fvt_conv5way_step1000	p25	eng_Latn	v5_target	-0.485806	0.341691	A piano is expensive, but a car is more expensive.
v52_weighted_fvt_conv5way_step1000	p26	dtp_Latn	v5_target	0.154381	-0.558247	Minsingilo' ko' nangku boros Inggilis?
v52_weighted_fvt_conv5way_step1000	p27	eng_Latn	v5_target	-0.559508	-0.003946	Do you study English?
v52_weighted_fvt_conv5way_step1000	p28	dtp_Latn	v5_target	0.179042	-0.562317	Milo' oku daa mokianu kamus nu?
v52_weighted_fvt_conv5way_step1000	p29	eng_Latn	v5_target	-0.511633	-0.135003	May I borrow your dictionary?
