metric	method	step	model_key	summary_group	score_name	score_value	languages	expected_tail_languages	tail_languages_scored	direction	status	source_file
pppl	xlmr_base	baseline	xlmr_base	head	weighted_pseudo_perplexity	8.052377	92	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn		lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_base/scores.tsv
pppl	xlmr_base	baseline	xlmr_base	tail	weighted_pseudo_perplexity	98.239305	7	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn	bam_Latn,csb_Latn,dtp_Latn,fur_Latn,ile_Latn,lij_Latn,xav_Latn	lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_base/scores.tsv
pppl	xlmr_base	baseline	xlmr_base	all	weighted_pseudo_perplexity	10.193684	99	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn	bam_Latn,csb_Latn,dtp_Latn,fur_Latn,ile_Latn,lij_Latn,xav_Latn	lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_base/scores.tsv
pppl	xlmr_large	baseline	xlmr_large	head	weighted_pseudo_perplexity	4.906473	92	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn		lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_large/scores.tsv
pppl	xlmr_large	baseline	xlmr_large	tail	weighted_pseudo_perplexity	63.715695	7	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn	bam_Latn,csb_Latn,dtp_Latn,fur_Latn,ile_Latn,lij_Latn,xav_Latn	lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_large/scores.tsv
pppl	xlmr_large	baseline	xlmr_large	all	weighted_pseudo_perplexity	6.247878	99	dtp_Latn,xav_Latn,bam_Latn,csb_Latn,ile_Latn,lij_Latn,fur_Latn	bam_Latn,csb_Latn,dtp_Latn,fur_Latn,ile_Latn,lij_Latn,xav_Latn	lower_is_better	complete	docs/exp/v5.2/3_evaluation/01_pseudoperplexity/xlmr_large/scores.tsv
retrieval_tatoeba	xlmr_base	baseline	xlmr_base	head	top10_accuracy	0.656309	63	csb_Latn,dtp_Latn,ile_Latn		higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_base/test_results.txt
retrieval_tatoeba	xlmr_base	baseline	xlmr_base	tail	top10_accuracy	0.205146	3	csb_Latn,dtp_Latn,ile_Latn	csb_Latn,dtp_Latn,ile_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_base/test_results.txt
retrieval_tatoeba	xlmr_base	baseline	xlmr_base	all	top10_accuracy	0.635802	66	csb_Latn,dtp_Latn,ile_Latn	csb_Latn,dtp_Latn,ile_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_base/test_results.txt
retrieval_tatoeba	xlmr_large	baseline	xlmr_large	head	top10_accuracy	0.543256	63	csb_Latn,dtp_Latn,ile_Latn		higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_large/test_results.txt
retrieval_tatoeba	xlmr_large	baseline	xlmr_large	tail	top10_accuracy	0.216225	3	csb_Latn,dtp_Latn,ile_Latn	csb_Latn,dtp_Latn,ile_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_large/test_results.txt
retrieval_tatoeba	xlmr_large	baseline	xlmr_large	all	top10_accuracy	0.528391	66	csb_Latn,dtp_Latn,ile_Latn	csb_Latn,dtp_Latn,ile_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba_head/xlmr_large/test_results.txt
retrieval_bible	xlmr_base	baseline	xlmr_base	head	top10_accuracy	0.381150	74	dtp_Latn,xav_Latn,bam_Latn		higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_base/test_results.txt
retrieval_bible	xlmr_base	baseline	xlmr_base	tail	top10_accuracy	0.005197	3	dtp_Latn,xav_Latn,bam_Latn	bam_Latn,dtp_Latn,xav_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_base/test_results.txt
retrieval_bible	xlmr_base	baseline	xlmr_base	all	top10_accuracy	0.366503	77	dtp_Latn,xav_Latn,bam_Latn	bam_Latn,dtp_Latn,xav_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_base/test_results.txt
retrieval_bible	xlmr_large	baseline	xlmr_large	head	top10_accuracy	0.172682	74	dtp_Latn,xav_Latn,bam_Latn		higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_large/test_results.txt
retrieval_bible	xlmr_large	baseline	xlmr_large	tail	top10_accuracy	0.003383	3	dtp_Latn,xav_Latn,bam_Latn	bam_Latn,dtp_Latn,xav_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_large/test_results.txt
retrieval_bible	xlmr_large	baseline	xlmr_large	all	top10_accuracy	0.166086	77	dtp_Latn,xav_Latn,bam_Latn	bam_Latn,dtp_Latn,xav_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/xlmr_large/test_results.txt;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible_head/xlmr_large/test_results.txt
roundtrip_alignment	xlmr_base	baseline	xlmr_base	head	accuracy	0.185300	74	dtp_Latn,xav_Latn,bam_Latn		higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/roundtrip_alignment/xlmr_base/summary.tsv;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/roundtrip_alignment_head/xlmr_base/summary.tsv
roundtrip_alignment	xlmr_base	baseline	xlmr_base	tail	accuracy	0.023833	3	dtp_Latn,xav_Latn,bam_Latn	bam_Latn,dtp_Latn,xav_Latn	higher_is_better	complete	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/roundtrip_alignment/xlmr_base/summary.tsv;/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/roundtrip_alignment_head/xlmr_base/summary.tsv
