language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo	yes	PASS	
mya_Mymr	seen	945180		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr	yes	PASS	
ara_Arab	seen	24524122		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab	yes	PASS	
mar_Deva	seen	28748897		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva	yes	PASS	
hau_Latn	seen	4368483		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn	yes	PASS	
uzb_Latn	seen	3223485		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn	yes	PASS	
slv_Latn	seen	15719210		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn	yes	PASS	
fin_Latn	seen	16730388		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn	yes	PASS	
hun_Latn	seen	18800025		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn	yes	PASS	
cmn_Hani	seen	80745		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani	yes	PASS	
est_Latn	seen	13600579		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn	yes	PASS	
bre_Latn	seen	748954		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn	yes	PASS	
hrv_Latn	seen	17882932		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn	yes	PASS	
jav_Latn	seen	516833		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn	yes	PASS	
ron_Latn	seen	19190217		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn	yes	PASS	
ell_Grek	seen	22033282		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek	yes	PASS	
nor_Latn	seen	14576191		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn	yes	PASS	
slk_Latn	seen	14633631		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn	yes	PASS	
vie_Latn	seen	15697827		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn	yes	PASS	
amh_Ethi	seen	2862985		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi	yes	PASS	
epo_Latn	seen	8737198		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn	yes	PASS	
bel_Cyrl	seen	5319675		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl	yes	PASS	
xho_Latn	seen	1262364		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn	yes	PASS	
hin_Deva	seen	7046700		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva	yes	PASS	
tam_Taml	seen	3388255		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml	yes	PASS	
mon_Cyrl	seen	4616960		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl	yes	PASS	
ces_Latn	seen	20376340		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn	yes	PASS	
san_Deva	seen	165616		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva	yes	PASS	
hye_Armn	seen	1463123		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hye_Armn	yes	PASS	
pus_Arab	seen	731992		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pus_Arab	yes	PASS	
som_Arab	seen	14199		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Arab	yes	PASS	
kan_Knda	seen	41836495		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kan_Knda	yes	PASS	
isl_Latn	seen	19547941		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/isl_Latn	yes	PASS	
ori_Orya	seen	410827		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ori_Orya	yes	PASS	
afr_Latn	seen	5157787		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/afr_Latn	yes	PASS	
deu_Latn	seen	31015993		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/deu_Latn	yes	PASS	
urd_Arab	seen	6009594		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/urd_Arab	yes	PASS	
bul_Cyrl	seen	21823004		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bul_Cyrl	yes	PASS	
tgl_Latn	seen	7411064		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tgl_Latn	yes	PASS	
eus_Latn	seen	12775959		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eus_Latn	yes	PASS	
pol_Latn	seen	19339945		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pol_Latn	yes	PASS	
lat_Latn	seen	1179913		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lat_Latn	yes	PASS	
tur_Latn	seen	29184662		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tur_Latn	yes	PASS	
fra_Latn	seen	39197581		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fra_Latn	yes	PASS	
cat_Latn	seen	8648271		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cat_Latn	yes	PASS	
uig_Arab	seen	307302		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Arab	yes	PASS	
arb_Arab	seen	159884		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/arb_Arab	yes	PASS	
sqi_Latn	seen	5526836		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sqi_Latn	yes	PASS	
sin_Sinh	seen	7293178		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sin_Sinh	yes	PASS	
msa_Latn	seen	3929084		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/msa_Latn	yes	PASS	
swh_Latn	seen	95776		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swh_Latn	yes	PASS	
kor_Hang	seen	6468444		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kor_Hang	yes	PASS	
ukr_Cyrl	seen	7462046		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ukr_Cyrl	yes	PASS	
kir_Cyrl	seen	1397566		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kir_Cyrl	yes	PASS	
yid_Hebr	seen	220214		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/yid_Hebr	yes	PASS	
heb_Hebr	seen	18128962		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/heb_Hebr	yes	PASS	
nld_Latn	seen	25061426		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nld_Latn	yes	PASS	
fry_Latn	seen	957422		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fry_Latn	yes	PASS	
azb_Arab	seen	33758		1	1	/home/axt/mnt2/jongha/v5_1_glot50010/raw/azb_Arab	yes	PASS	
