language_script	input_dir	source_split	source_examples	train_examples	dev_examples	test_examples	status	notes
lao_Laoo	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo	train	56337	54337	1000	1000	PASS	count_source=arrow
mya_Mymr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr	train	911018	909018	1000	1000	PASS	count_source=arrow
ara_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab	train	24521525	24519525	1000	1000	PASS	count_source=arrow
mar_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva	train	28749662	28747662	1000	1000	PASS	count_source=arrow
hau_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn	train	4361657	4359657	1000	1000	PASS	count_source=arrow
uzb_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn	train	3182187	3180187	1000	1000	PASS	count_source=arrow
slv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn	train	15718268	15716268	1000	1000	PASS	count_source=arrow
fin_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn	train	16729345	16727345	1000	1000	PASS	count_source=arrow
hun_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn	train	18798712	18796712	1000	1000	PASS	count_source=arrow
cmn_Hani	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani	train	57500	55500	1000	1000	PASS	count_source=arrow
est_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn	train	13598009	13596009	1000	1000	PASS	count_source=arrow
bre_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn	train	731939	729939	1000	1000	PASS	count_source=arrow
hrv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn	train	17881552	17879552	1000	1000	PASS	count_source=arrow
jav_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn	train	447504	445504	1000	1000	PASS	count_source=arrow
ron_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn	train	19189651	19187651	1000	1000	PASS	count_source=arrow
ell_Grek	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek	train	22031905	22029905	1000	1000	PASS	count_source=arrow
nor_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn	train	14528502	14526502	1000	1000	PASS	count_source=arrow
slk_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn	train	14634178	14632178	1000	1000	PASS	count_source=arrow
vie_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn	train	15587157	15585157	1000	1000	PASS	count_source=arrow
amh_Ethi	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi	train	2835527	2833527	1000	1000	PASS	count_source=arrow
epo_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn	train	8736217	8734217	1000	1000	PASS	count_source=arrow
bel_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl	train	5318656	5316656	1000	1000	PASS	count_source=arrow
xho_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn	train	1201261	1199261	1000	1000	PASS	count_source=arrow
hin_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva	train	7004172	7002172	1000	1000	PASS	count_source=arrow
tam_Taml	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml	train	3364892	3362892	1000	1000	PASS	count_source=arrow
mon_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl	train	4614949	4612949	1000	1000	PASS	count_source=arrow
ces_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn	train	20374860	20372860	1000	1000	PASS	count_source=arrow
san_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva	train	155070	153070	1000	1000	PASS	count_source=arrow
hye_Armn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hye_Armn	train	1413139	1411139	1000	1000	PASS	count_source=arrow
pus_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pus_Arab	train	730035	728035	1000	1000	PASS	count_source=arrow
som_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Arab	train	12203	10203	1000	1000	PASS	count_source=arrow
kan_Knda	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kan_Knda	train	41805904	41803904	1000	1000	PASS	count_source=arrow
isl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/isl_Latn	train	19546858	19544858	1000	1000	PASS	count_source=arrow
ori_Orya	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ori_Orya	train	402076	400076	1000	1000	PASS	count_source=arrow
afr_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/afr_Latn	train	5156807	5154807	1000	1000	PASS	count_source=arrow
deu_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/deu_Latn	train	31015917	31013917	1000	1000	PASS	count_source=arrow
urd_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/urd_Arab	train	6008751	6006751	1000	1000	PASS	count_source=arrow
