language_script	language	script	lines	dataset_dir	source_text	source_rows	status
acu_Latn	acu	Latn	5168	/home/axt/mnt2/jongha/v4_tokenizer/raw/acu_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
ake_Latn	ake	Latn	5178	/home/axt/mnt2/jongha/v4_tokenizer/raw/ake_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
bsn_Latn	bsn	Latn	5063	/home/axt/mnt2/jongha/v4_tokenizer/raw/bsn_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
chr_Cher	chr	Cher	5393	/home/axt/mnt2/jongha/v4_tokenizer/raw/chr_Cher	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
cop_Copt	cop	Copt	5388	/home/axt/mnt2/jongha/v4_tokenizer/raw/cop_Copt	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
kbh_Latn	kbh	Latn	4505	/home/axt/mnt2/jongha/v4_tokenizer/raw/kbh_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
nhg_Latn	nhg	Latn	5267	/home/axt/mnt2/jongha/v4_tokenizer/raw/nhg_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
oji_Cans	oji	Cans	5384	/home/axt/mnt2/jongha/v4_tokenizer/raw/oji_Cans	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
syr_Syrc	syr	Syrc	5376	/home/axt/mnt2/jongha/v4_tokenizer/raw/syr_Syrc	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
usp_Latn	usp	Latn	5294	/home/axt/mnt2/jongha/v4_tokenizer/raw/usp_Latn	/home/axt/mnt2/jongha/third_try/text/stage01_20260613_r1/target10_train_clean.txt	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
