src_lang	tgt_lang	pair_file	train_rows	dev_rows	final_test_rows	status
cop	syr	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	678	1006	PASS
syr	cop	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	678	1006	PASS
eng	acu	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_acu.tsv	4004	659	953	PASS
acu	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/acu_to_eng.tsv	4004	659	953	PASS
eng	ake	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_ake.tsv	4051	673	1003	PASS
ake	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/ake_to_eng.tsv	4051	673	1003	PASS
eng	bsn	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_bsn.tsv	3924	629	959	PASS
bsn	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/bsn_to_eng.tsv	3924	629	959	PASS
eng	chr	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_chr.tsv	5393	678	1007	PASS
chr	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/chr_to_eng.tsv	5393	678	1007	PASS
eng	cop	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_cop.tsv	5392	678	1006	PASS
cop	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_eng.tsv	5392	678	1006	PASS
eng	kbh	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_kbh.tsv	3469	501	852	PASS
kbh	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/kbh_to_eng.tsv	3469	501	852	PASS
eng	nhg	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_nhg.tsv	5272	673	1006	PASS
nhg	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/nhg_to_eng.tsv	5272	673	1006	PASS
eng	oji	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_oji.tsv	4174	674	1007	PASS
oji	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/oji_to_eng.tsv	4174	674	1007	PASS
eng	syr	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_syr.tsv	5390	678	1007	PASS
syr	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_eng.tsv	5390	678	1007	PASS
eng	usp	/home/axt/mnt2/jongha/v3_1/translation_pairs/eng_to_usp.tsv	5326	678	1007	PASS
usp	eng	/home/axt/mnt2/jongha/v3_1/translation_pairs/usp_to_eng.tsv	5326	678	1007	PASS
