evidence_id	requirement	source_artifact	observed_result	claim_status	claim_impact
base_model_protocol	Glot500-style experiment starts from XLM-R-base	../05_mlm/deviation_from_protocol.tsv	base_model is xlm-roberta-base; vocab operation is append-only id-preserving	SUPPORTS_PROTOCOL	Allows comparison against XLM-R-base rather than a from-scratch tokenizer/model.
id_preserving_append	Existing XLM-R vocab ids must be preserved	../03_tokenizer/id_preservation_audit.tsv	changed_existing_token_ids=0; changed_special_token_ids=0; appended_token_id_violations=0	SUPPORTS_PROTOCOL	Main tokenizer satisfies the structural requirement.
tokenizer_fragmentation	Tokenizer extension should reduce target10 fragmentation	../03_tokenizer/tokenization_before_after.tsv	avg tokens/word delta=-29.812358%; worst language delta=+1.504758%; chr and oji still worsen; avg single-char ratio delta=+37.402719%	MIXED_SUPPORT	Supports tokenizer-improvement wording only at average target10 level, not uniformly by language or single-char behavior.
fallback_axis	Byte fallback vs character fallback must be compared	../03_tokenizer/fallback_ablation_summary.tsv	byte_fallback avg append delta vs base=-30.215948%; char coverage=-29.812358%; byte-minus-char append delta=-0.599816%; byte fallback has append-only implementation limitation	DIAGNOSTIC_SUPPORT	Byte fallback is slightly better in tokenizer metrics but remains ablation-only because SentencePiece BYTE pieces are not faithfully activated by XLM-R add_tokens matching.
init_method	Initialization method must be justified	../04_init/init_candidate_summary.tsv	fvt zero-step dev loss=7.925527; mean=10.910376; random=17.998567; align=8.700895; focus=16.760191	SUPPORTS_SELECTION	Supports selecting fvt for pilot training, but does not prove downstream superiority over all init methods.
mlm_training	Full-model MLM continued pretraining should run across seeds	../05_mlm/replay_safe_seed_summary.tsv	fvt seeds 13/17/23 completed both 200-step pilot and replay-safe 1000-step retry; replay-safe final eval loss mean=3.903145	RETRY_CANDIDATE_COMPLETE	Shows a stronger compute-bounded 3-seed candidate, but still not full Glot500 budget reproduction.
protocol_deviation	Deviation impact must be explicit	../05_mlm/deviation_from_protocol.tsv	effective batch=32 vs Glot500 384; 200-step pilot vs full continued pretraining; materialized mixture vs online sampler; fvt-only training pilot	DEVIATION_LIMITS_CLAIM	Prevents broad final positive wording and requires diagnostic/pilot wording.
target10_mlm_proxy	Target10 MLM proxy should improve or at least not degrade broadly	../06_eval/replay_safe_candidate_summary.tsv	replay-safe fvt mean loss=5.245928 vs XLM-R 3.472837; 5/10 languages have lower loss than XLM-R; 10/10 improve vs 200-step fvt	BLOCKS_POSITIVE_RETRY_IMPROVES	Replay-safe retry improves the failed pilot but still does not beat XLM-R broadly on target10 MLM proxy.
coptic_downstream	Coptic downstream should improve seed-stably	../06_eval/coptic_pos_summary_replay_safe.tsv	replay-safe token accuracy improves by +0.006781 mean and 3/3 checkpoint seeds; macro F1 delta is -0.002656	WEAK_SUPPORT	Supports narrow Coptic token-accuracy improvement, but macro F1 and target10-wide downstream remain insufficient.
target10_proxy_downstream	Target10 proxy downstream should be stable across seeds	../06_eval/frozen_proxy_seed_summary.tsv	verse retrieval mean delta=+0.000593 with 2/3 positive seeds; parallel AUC mean delta=-0.000649 with 1/3 positive seeds	MIXED_OR_NEGATIVE	Proxy downstream evidence is too mixed for positive target10 wording.
high_resource_control	High-resource replay/control should not collapse	../06_eval/high_resource_control_summary_replay_safe.tsv	replay-safe mean high-resource loss delta=+0.675539 vs XLM-R; languages_without_large_collapse=0/4; max language delta=+0.764262	BLOCKS_POSITIVE	Positive claim remains blocked by high-resource control proxy failure even after lower-LR retry.
checkpoint_selection	Retained checkpoint selection should be checked before blaming the final checkpoint only	../06_eval/checkpoint_selection_proxy_summary.tsv	checkpoint-150 is worse than checkpoint-200 on target10 MLM proxy and high-resource control proxy; both have 0/4 no-large-collapse languages	DIAGNOSTIC_SUPPORT	Available retained earlier checkpoint selection does not rescue the current candidate.
task_coverage	Downstream task coverage must include target10 including Coptic/Syriac	../06_eval/target10_downstream_availability.tsv	only Coptic has a locally confirmed official-style supervised task; Syriac has proxy/legacy parallel coverage only	BLOCKS_BROAD_DOWNSTREAM	Target10 downstream claim cannot be proven with current local official tasks.
coptic_syriac_language_evidence	Coptic/Syriac must be explicit in the target10 claim audit	../06_eval/coptic_syriac_evidence.md; ../06_eval/target10_language_evidence.tsv; ../06_eval/syriac_downstream_search.tsv	Coptic has weak POS token-accuracy gain but bad MLM proxy; Syriac has strong tokenizer gain but proxy-only model evidence and bad MLM proxy	BLOCKS_COPTIC_SYRIAC_POSITIVE_PAIR	Supports inclusion of both languages in the diagnostic claim while blocking wording that both improved downstream.
replay_safe_retry	Retry schedule should be checked before closing the failure as only a short-pilot artifact	../06_eval/replay_safe_candidate_summary.tsv	replay-safe retry improves Stage05 dev loss, target10 MLM proxy, and Coptic POS token accuracy, but high-resource control remains 0/4 no-large-collapse and target10 supervised coverage remains sparse	DIAGNOSTIC_SUPPORT	Strengthens the diagnostic negative claim: more conservative training reduces but does not remove the failure mode.
seed_stability	Target10 downstream improvement should hold across at least 3 seeds	../06_eval/target10_seed_summary.tsv	target10_downstream_seed_stability=NOT_RUN; Coptic-only checkpoint-seed pilot is available	BLOCKS_POSITIVE	Positive claim requiring target10 seed-stable downstream improvement is not satisfied.
final_claim_route	Choose positive or diagnostic negative claim	combined_current_evidence	positive route blocked by MLM proxy, high-resource control, task coverage, and protocol deviations; diagnostic route supported by tokenizer/ablation/failure evidence	DIAGNOSTIC_NEGATIVE_READY	Allowed final wording should be diagnostic for the current candidate, with full-budget limitations stated.
