task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
ner	lao_Laoo	lao	head	no		no	no	not_in_task_or_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	mya_Mymr	mya	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	ara_Arab	ara	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	mar_Deva	mar	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	hau_Latn	hau	head	no		no	no	not_in_task_or_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	uzb_Latn	uzb	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	slv_Latn	slv	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	fin_Latn	fin	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	hun_Latn	hun	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	cmn_Hani	cmn	head	no		no	no	not_in_task_or_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	est_Latn	est	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	bre_Latn	bre	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	hrv_Latn	hrv	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	jav_Latn	jav	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	ron_Latn	ron	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	ell_Grek	ell	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	nor_Latn	nor	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	slk_Latn	slk	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	vie_Latn	vie	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	amh_Ethi	amh	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	epo_Latn	epo	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	bel_Cyrl	bel	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	xho_Latn	xho	head	no		no	no	not_in_task_or_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	hin_Deva	hin	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	tam_Taml	tam	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	mon_Cyrl	mon	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	ces_Latn	ces	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	san_Deva	san	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	hye_Armn	hye	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	pus_Arab	pus	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	som_Arab	som	head	no		no	no	not_in_task_or_flag_zero	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
ner	kan_Knda	kan	head	yes	1	yes	yes	available	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download/ner
