claim	evidence_file	evidence_metric	evidence_value	evidence_status	final_wording	status	notes
tokenizer_bottleneck_exists	docs/exp/second_try/02_tokenization_audit/score_table.tsv	max_tokens_per_word;max_single_char_token_pct	syr tokens_per_word=4.854; syr single_char_token_pct=74.251	SUPPORTED	Original XLM-R has a measurable target10 tokenizer bottleneck.	PASS	all target languages have tokens_per_word >= 2.0
vocab_extension_reduces_fragmentation	docs/exp/second_try/03_vocab_extension/score_table.tsv	selected_32000_delta	avg_tokens_per_word_delta_pct=-31.766; single_char_delta_pct=-42.365	SUPPORTED	Appending target10 pieces while preserving XLM-R ids reduces fragmentation.	PASS	32000 added-token tokenizer selected
embedding_init_affects_mlm	docs/exp/second_try/04_embedding_init/score_table.tsv	zero_step_dev_loss	best=fvt 8.490678; random=20.809267	SUPPORTED	New-token initialization strongly changes zero-step MLM behavior.	PASS	all shape and weight-tying checks passed
mlm_adaptation_improves_dev_loss	docs/exp/second_try/05_mlm_adaptation/score_table.tsv	selected_zero_to_adapted_loss	fvt zero_step=8.490678; fvt adapted=7.134023; original_xlmr=6.330356	PARTIAL_SUPPORT	MLM adaptation improves the selected extended checkpoint from zero-step, but does not beat original XLM-R dev loss.	PASS_LIMITED_CLAIM	claim is limited to adapted extended-tokenizer recovery
downstream_retrieval_or_matching_improves	docs/exp/second_try/06_downstream_tasks/score_table.tsv	recall_at_1_and_auc	selected recall@1=0.026222 vs original avg=0.021926; selected matching=0.610759 vs original avg=0.569759	SUPPORTED	Selected adapted checkpoint improves the nontrivial frozen retrieval/matching proxies.	PASS	book/genre is trivial and not used as main evidence
translation_reaches_80_percent_reference	docs/exp/second_try/09_top_tier_validation/score_table.tsv	method_matched_ratio	selected_adapted_xlmr=0.638034; labse_csls_upper_bound=0.567179; threshold=0.800000	UNSUPPORTED	Method-matched validation does not support the 80% translation reference claim.	PASS_NEGATIVE_RESULT	Step 07 Branch 001 is exploratory only because the original pass used a mixed-method reference comparison
v2_mlm_control_competitive	docs/exp/second_try/15_v2_mlm_control/score_table.tsv	adapted_original_ratio	adapted_mean=4.946829; original_mean=2.518008; ratio=1.964580; threshold=1.100000; token_ratio=1.000798	UNSUPPORTED	V2 token-matched MLM control artifacts pass, but the adapted checkpoint is not competitive with the original continued-pretraining control.	FAIL_CLAIM	Return to Step 15 or Step 14 before positive model-dependent claims
v2_normalized_mlm_competitive	docs/exp/second_try/16_v2_mlm_metric_fairness/score_table.tsv	estimated_nll_word_char_ratio	word_ratio=1.438660; char_ratio=1.438660; threshold=1.100000	UNSUPPORTED	V2 normalized MLM metric audit does not support adapted competitiveness.	FAIL_CLAIM	Return to Step 15 or Step 14 before positive model-dependent claims
v2_added_token_failure_source	docs/exp/second_try/17_v2_added_token_failure_analysis/score_table.tsv	added_base_loss_ratio	added_mean=7.267345; base_mean=2.562618; ratio=2.835906; added_loss_share=74.269955	DIAGNOSTIC_SUPPORTED	V2 adapted failure is concentrated in added-token prediction.	PASS_DIAGNOSTIC	Repair added-token learning/init/objective before rerunning Step 15
v2_added_token_weighted_repair	docs/exp/second_try/18_v2_added_token_repair/score_table.tsv	repair_gate	added_improved=3/3; all_nonworse=0/3; mean_added_delta=-0.508373; mean_all_delta=0.122137	UNSUPPORTED	Simple added-token weighting improves added loss but worsens all-token loss.	FAIL_REPAIR	Try base-preserving frozen/new-row-only or staged repair
v2_new_row_only_repair	docs/exp/second_try/19_v2_new_row_only_repair/score_table.tsv	repair_gate	trainable_pass=3/3; added_improved=0/3; base_nonworse=3/3; all_nonworse=0/3; mean_added_delta=0.240600	UNSUPPORTED	New-row-only repair preserves base rows and base-token loss but worsens added-token loss.	FAIL_REPAIR	Try staged/lower-rate objective or revisit initialization before rerunning Step 15
v2_staged_added_repair	docs/exp/second_try/20_v2_staged_added_token_repair/score_table.tsv	repair_gate	9/9 runs complete; trainable_failures=0; passing_variants=0/3; best_mean_added_delta=-0.004565	UNSUPPORTED	Staged/lower-rate variants are closer but no variant is seed-stable.	FAIL_REPAIR	Revisit initialization/objective or downgrade model-dependent claim
v2_alt_init_probe	docs/exp/second_try/21_v2_alt_init_mlm_probe/score_table.tsv	probe_gate	6/6 runs complete; passing_methods=0/2; best=align; raw_delta_vs_fvt=0.139823; category gates added/base/all=0/3	UNSUPPORTED	Mean and align initializations do not beat fvt after matched MLM adaptation.	FAIL_PROBE	Revisit tokenizer/objective or downgrade model-dependent claim
v2_vocab_size_probe	docs/exp/second_try/23_v2_vocab_size_objective_probe/score_table.tsv	probe_gate	6/6 runs complete; passing_variants=2/2; best=8000; raw_delta_vs_32k=-0.405544; raw_ratio_vs_original=1.803523	PARTIAL_SUPPORT	Smaller 8k/16k vocab branches repair the 32k tokenizer-size failure mode but still require Step15/16 control reruns.	PASS_PROBE	Rerun MLM control and normalized metric audits with selected 8k branch before positive model-dependent claims
v2_8k_mlm_control	docs/exp/second_try/24_v2_8k_mlm_control/score_table.tsv	normalized_control_gate	artifact=PASS; raw_ratio=1.803523; word_ratio=1.472019; char_ratio=1.472019; threshold=1.100000	UNSUPPORTED	Selected 8k branch improves over 32k but remains not competitive with original continued-pretraining control.	FAIL_CLAIM	Redesign objective/data beyond smaller-vocab branch or downgrade model-dependent claim
v2_8k_continued_budget	docs/exp/second_try/25_v2_8k_continued_budget_probe/score_table.tsv	continued_budget_gate	artifact=PASS; raw_ratio=1.950296; word_ratio=1.587381; char_ratio=1.587381; threshold=1.100000	UNSUPPORTED	Extending 8k and original-control checkpoints to about 1M tokens worsens the normalized gap.	FAIL_PROBE	Redesign objective/data beyond longer 8k MLM or downgrade model-dependent claim
top_tier_diagnostic_claim_ready	docs/exp/second_try/26_top_tier_diagnostic_claim_synthesis/score_table.tsv	diagnostic_claim_gate	diagnostic_claim_ready=1; positive_claim_ready=0; evidence_rows=14; blocked_claim_rows=10	SUPPORTED_DIAGNOSTIC	Current top-tier-safe final claim is a diagnostic negative result, not a positive performance claim.	PASS_DIAGNOSTIC_CLAIM_READY	Use Step26 final claim contract for paper wording
diagnostic_manuscript_package_ready	docs/exp/second_try/27_final_manuscript_synthesis/score_table.tsv	manuscript_package_gate	diagnostic_package_ready=1; positive_package_ready=0; table_rows=8; risk_rows=10; checklist_rows=10	SUPPORTED_DIAGNOSTIC	Current diagnostic negative claim is packaged for manuscript writing.	PASS_MANUSCRIPT_READY	Use Step27 manuscript package for paper drafting
language_id_only_not_counted	docs/exp/second_try/06_downstream_tasks/score_table.tsv	diagnostic_accuracy	diagnostic_selected_adapted below original across seeds	SUPPORTED	Language identification is diagnostic only and is excluded from positive downstream claims.	PASS	prevents inflated claim from easy diagnostic task
limitations_documented	docs/exp/second_try/08_final_analysis/limitations.md	limitation_sections	proxy_task_limits; method_matched_translation_failure; bible_domain; short_mlm_pilot; external_embedding_branch	SUPPORTED	Limitations and post-audit translation failure are explicitly documented.	PASS	translation success claim is superseded by Step 09 method-matched failure
