language_script	input_dir	source_split	source_examples	train_examples	dev_examples	test_examples	status	notes
lao_Laoo	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo	train	66966	64966	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mya_Mymr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr	train	945180	943180	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ara_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab	train	24524122	24522122	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mar_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva	train	28748897	28746897	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hau_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn	train	4368483	4366483	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
uzb_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn	train	3223485	3221485	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
slv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn	train	15719210	15717210	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
fin_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn	train	16730388	16728388	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hun_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn	train	18800025	18798025	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
cmn_Hani	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani	train	80745	78745	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
est_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn	train	13600579	13598579	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
bre_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn	train	748954	746954	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hrv_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn	train	17882932	17880932	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
jav_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn	train	516833	514833	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ron_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn	train	19190217	19188217	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ell_Grek	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek	train	22033282	22031282	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
nor_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn	train	14576191	14574191	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
slk_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn	train	14633631	14631631	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
vie_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn	train	15697827	15695827	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
amh_Ethi	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi	train	2862985	2860985	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
epo_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn	train	8737198	8735198	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
bel_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl	train	5319675	5317675	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
xho_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn	train	1262364	1260364	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hin_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva	train	7046700	7044700	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
tam_Taml	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml	train	3388255	3386255	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mon_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl	train	4616960	4614960	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ces_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn	train	20376340	20374340	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
san_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva	train	165616	163616	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hye_Armn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hye_Armn	train	1463123	1461123	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
pus_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pus_Arab	train	731992	729992	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
som_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Arab	train	14199	12199	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kan_Knda	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kan_Knda	train	41836495	41834495	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
isl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/isl_Latn	train	19547941	19545941	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ori_Orya	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ori_Orya	train	410827	408827	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
afr_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/afr_Latn	train	5157787	5155787	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
deu_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/deu_Latn	train	31015993	31013993	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
urd_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/urd_Arab	train	6009594	6007594	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
bul_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bul_Cyrl	train	21823004	21821004	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
tgl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tgl_Latn	train	7411064	7409064	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
eus_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eus_Latn	train	12775959	12773959	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
pol_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pol_Latn	train	19339945	19337945	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
lat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lat_Latn	train	1179913	1177913	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
tur_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tur_Latn	train	29184662	29182662	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
fra_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fra_Latn	train	39197581	39195581	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
cat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cat_Latn	train	8648271	8646271	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
uig_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Arab	train	307302	305302	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
arb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/arb_Arab	train	159884	157884	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
sqi_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sqi_Latn	train	5526836	5524836	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
sin_Sinh	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sin_Sinh	train	7293178	7291178	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
msa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/msa_Latn	train	3929084	3927084	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
swh_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swh_Latn	train	95776	93776	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kor_Hang	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kor_Hang	train	6468444	6466444	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ukr_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ukr_Cyrl	train	7462046	7460046	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kir_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kir_Cyrl	train	1397566	1395566	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
yid_Hebr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/yid_Hebr	train	220214	218214	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
heb_Hebr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/heb_Hebr	train	18128962	18126962	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
nld_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nld_Latn	train	25061426	25059426	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
fry_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fry_Latn	train	957422	955422	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
azb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/azb_Arab	train	33758	31758	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
glg_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/glg_Latn	train	17852274	17850274	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
fas_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fas_Arab	train	18277593	18275593	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
eng_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eng_Latn	train	36122761	36120761	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mkd_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mkd_Cyrl	train	14717004	14715004	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ind_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ind_Latn	train	23018106	23016106	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
por_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/por_Latn	train	27824391	27822391	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
spa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/spa_Latn	train	37286756	37284756	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
dan_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dan_Latn	train	19174573	19172573	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
khm_Khmr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/khm_Khmr	train	590429	588429	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
gla_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gla_Latn	train	152563	150563	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
uig_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Latn	train	9637	7637	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kat_Geor	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kat_Geor	train	1004297	1002297	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mlg_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mlg_Latn	train	3715802	3713802	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
snd_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/snd_Arab	train	488730	486730	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
ita_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ita_Latn	train	23539857	23537857	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
hau_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Arab	train	9593	7593	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
cym_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cym_Latn	train	1244783	1242783	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
srp_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Latn	train	18371769	18369769	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
zho_Hani	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zho_Hani	train	24143786	24141786	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
tha_Thai	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tha_Thai	train	7735209	7733209	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
swe_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swe_Latn	train	20725883	20723883	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
pan_Guru	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pan_Guru	train	29052537	29050537	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
prs_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/prs_Arab	train	26823	24823	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
pes_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pes_Arab	train	57511	55511	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
san_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Latn	train	25742	23742	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kaz_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kaz_Cyrl	train	12378727	12376727	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
kur_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kur_Latn	train	407169	405169	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
mal_Mlym	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mal_Mlym	train	48098273	48096273	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
nep_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nep_Deva	train	1317291	1315291	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
gle_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gle_Latn	train	7225513	7223513	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
swa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swa_Latn	train	5989369	5987369	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
som_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Latn	train	3916769	3914769	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
lit_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lit_Latn	train	12479626	12477626	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
guj_Gujr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/guj_Gujr	train	45738685	45736685	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
asm_Beng	/home/axt/mnt2/jongha/v5_1_glot50010/raw/asm_Beng	train	1882353	1880353	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
srp_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Cyrl	train	3864091	3862091	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
sun_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sun_Latn	train	2586011	2584011	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
zsm_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zsm_Latn	train	859947	857947	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
aze_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/aze_Latn	train	46300705	46298705	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
fil_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fil_Latn	train	33493255	33491255	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
bos_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bos_Latn	train	11014744	11012744	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
dzo_Tibt	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dzo_Tibt	train	52732	50732	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
sat_Olck	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sat_Olck	train	39614	37614	1000	1000	PLAN_UNVERIFIED	count_source=stats_unverified
