language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/lao_Laoo	yes	PASS	
mya_Mymr	seen	945180		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/mya_Mymr	yes	PASS	
ara_Arab	seen	24524122		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/ara_Arab	yes	PASS	
mar_Deva	seen	28748897		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/mar_Deva	yes	PASS	
hau_Latn	seen	4368483		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/hau_Latn	yes	PASS	
uzb_Latn	seen	3223485		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/uzb_Latn	yes	PASS	
slv_Latn	seen	15719210		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/slv_Latn	yes	PASS	
fin_Latn	seen	16730388		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/fin_Latn	yes	PASS	
hun_Latn	seen	18800025		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/hun_Latn	yes	PASS	
cmn_Hani	seen	80745		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/cmn_Hani	yes	PASS	
est_Latn	seen	13600579		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/est_Latn	yes	PASS	
bre_Latn	seen	748954		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/bre_Latn	yes	PASS	
hrv_Latn	seen	17882932		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/hrv_Latn	yes	PASS	
jav_Latn	seen	516833		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/jav_Latn	yes	PASS	
ron_Latn	seen	19190217		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/ron_Latn	yes	PASS	
ell_Grek	seen	22033282		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/ell_Grek	yes	PASS	
nor_Latn	seen	14576191		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/nor_Latn	yes	PASS	
slk_Latn	seen	14633631		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/slk_Latn	yes	PASS	
vie_Latn	seen	15697827		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/vie_Latn	yes	PASS	
amh_Ethi	seen	2862985		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/amh_Ethi	yes	PASS	
epo_Latn	seen	8737198		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/epo_Latn	yes	PASS	
bel_Cyrl	seen	5319675		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/bel_Cyrl	yes	PASS	
xho_Latn	seen	1262364		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/xho_Latn	yes	PASS	
hin_Deva	seen	7046700		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/hin_Deva	yes	PASS	
tam_Taml	seen	3388255		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/tam_Taml	yes	PASS	
mon_Cyrl	seen	4616960		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/mon_Cyrl	yes	PASS	
ces_Latn	seen	20376340		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/ces_Latn	yes	PASS	
san_Deva	seen	165616		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/san_Deva	yes	PASS	
hye_Armn	seen	1463123		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/hye_Armn	yes	PASS	
pus_Arab	seen	731992		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/pus_Arab	yes	PASS	
som_Arab	seen	14199		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/som_Arab	yes	PASS	
kan_Knda	seen	41836495		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/kan_Knda	yes	PASS	
isl_Latn	seen	19547941		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/isl_Latn	yes	PASS	
ori_Orya	seen	410827		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/ori_Orya	yes	PASS	
afr_Latn	seen	5157787		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/afr_Latn	yes	PASS	
deu_Latn	seen	31015993		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/deu_Latn	yes	PASS	
urd_Arab	seen	6009594		135150	135150	/home/axt/mnt2/jongha/v4_tokenizer/raw/urd_Arab	yes	PASS	
