run_id	check_id	category	evidence	observed	expected	status	impact
step10_leakage_selection_20260611_150633	SPLIT_DUPLICATE_ISO_VERSE	split_integrity	target10_bible_verses.tsv	0	0	PASS	duplicate source rows can leak examples
step10_leakage_selection_20260611_150633	SPLIT_VERSE_ASSIGNED_TO_MULTIPLE_SPLITS	split_integrity	target10_bible_verses.tsv	0	0	PASS	same verse in train/dev/test invalidates held-out split
step10_leakage_selection_20260611_150633	SPLIT_DEV_BOOK_ONLY_MARK	split_integrity	target10_bible_verses.tsv	0	0	PASS	dev must remain Mark only
step10_leakage_selection_20260611_150633	SPLIT_TEST_BOOK_ONLY_JOHN	split_integrity	target10_bible_verses.tsv	0	0	PASS	test must remain John only
step10_leakage_selection_20260611_150633	SPLIT_TRAIN_EXCLUDES_MARK_JOHN	split_integrity	target10_bible_verses.tsv	0	0	PASS	train must exclude dev/test books
step10_leakage_selection_20260611_150633	TEXT_DUPLICATE_TRAIN_DEV	text_duplicate	acu:train:b.MAT.21.26,acu:dev:b.MAR.11.32	97	0 preferred	WARN_DISCLOSED	exact normalized text duplicates across splits can inflate text memorization but are not verse-id oracle leakage
step10_leakage_selection_20260611_150633	TEXT_DUPLICATE_TRAIN_TEST	text_duplicate	cop:train:b.MAT.26.11,cop:test:b.JOH.12.8	2	0 preferred	WARN_DISCLOSED	exact normalized text duplicates across splits can inflate text memorization but are not verse-id oracle leakage
step10_leakage_selection_20260611_150633	TEXT_DUPLICATE_DEV_TEST	text_duplicate	NO_EXAMPLE	0	0 preferred	PASS	exact normalized text duplicates across splits can inflate text memorization but are not verse-id oracle leakage
step10_leakage_selection_20260611_150633	SEL_STEP07_TARGET_PAIR_SELECTED_ON_TEST	selection	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/07_translation_benchmark/run_step07.py:270; /home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/07_translation_benchmark/run_step07.py:277; /home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/07_translation_benchmark/run_step07.py:299	target pair chosen by maximum chrF over John/test pairs	dev-only pair selection before test	FAIL_INVALIDATES_TRANSLATION_SELECTION	Step 07 original target pair cannot be used as an unbiased test result
step10_leakage_selection_20260611_150633	SEL_BRANCH_TEST_FEEDBACK_BEFORE_FINAL	selection	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/score_table.tsv	6	0 prior test attempts before final model-family decision	FAIL_INVALIDATES_BRANCH_SUCCESS	branch family/model search saw held-out John test feedback before final LaBSE success
step10_leakage_selection_20260611_150633	SEL_BRANCH_MIXED_METHOD_REFERENCE	selection	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/07_translation_benchmark/score_table.tsv	LaBSE target row compared to XLM-R high-resource reference	same method for high-resource and target ratio	FAIL_INVALIDATES_BRANCH_SUCCESS	mixed-method ratio cannot support top-tier translation threshold
step10_leakage_selection_20260611_150633	SEL_STEP09_METHOD_MATCHED_AUDIT	selection	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/09_top_tier_validation/score_table.tsv	method-matched rows present; selected adapted ratio=0.638034	same method for high-resource and target; dev-selected target pair	PASS_NEGATIVE_RESULT	Step 09 is the current authority for top-tier translation claims
