language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/lao_Laoo	yes	PASS	
mya_Mymr	seen	945180		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/mya_Mymr	yes	PASS	
ara_Arab	seen	24524122		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/ara_Arab	yes	PASS	
mar_Deva	seen	28748897		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/mar_Deva	yes	PASS	
hau_Latn	seen	4368483		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/hau_Latn	yes	PASS	
uzb_Latn	seen	3223485		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/uzb_Latn	yes	PASS	
slv_Latn	seen	15719210		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/slv_Latn	yes	PASS	
fin_Latn	seen	16730388		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/fin_Latn	yes	PASS	
hun_Latn	seen	18800025		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/hun_Latn	yes	PASS	
cmn_Hani	seen	80745		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/cmn_Hani	yes	PASS	
est_Latn	seen	13600579		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/est_Latn	yes	PASS	
bre_Latn	seen	748954		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/bre_Latn	yes	PASS	
hrv_Latn	seen	17882932		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/hrv_Latn	yes	PASS	
jav_Latn	seen	516833		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/jav_Latn	yes	PASS	
ron_Latn	seen	19190217		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/ron_Latn	yes	PASS	
ell_Grek	seen	22033282		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/ell_Grek	yes	PASS	
nor_Latn	seen	14576191		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/nor_Latn	yes	PASS	
slk_Latn	seen	14633631		10000	10000	/home/axt/mnt2/jongha/v5_glot50010/raw/slk_Latn	yes	PASS	
