rank	language_script	language	script	group	xlm_r_training_language	source_sentences_new_length	source_sentences_original	mlm_train_samples	mlm_valid_samples	mlm_test_samples	pppl_has_raw_text	tatoeba_test_pairs	bible_test_pairs	roundtrip_test_rows	taxi_train_rows	taxi_valid_rows	taxi_test_rows	ner_train_sentences	ner_valid_sentences	ner_test_sentences	pos_train_sentences	pos_valid_sentences	pos_test_sentences	has_tatoeba	has_bible	has_roundtrip	has_taxi1500	has_ner	has_pos	region_or_note
1	lao_Laoo	lao	Laoo	seen92	yes	66966	140387	901560	0	0	yes	0	0	0	0	0	0	0	0	0	0	0	0	no	no	no	no	no	no	
2	mya_Mymr	mya	Mymr	seen92	yes	945180	994258	901560	0	0	yes	0	7912	7910	0	0	0	100	100	100	0	0	0	no	yes	yes	no	yes	no	
3	ara_Arab	ara	Arab	seen92	yes	24524122	41328884	901560	0	0	yes	1000	0	0	0	0	0	20000	10000	10000	0	0	0	yes	no	no	no	yes	yes	
4	mar_Deva	mar	Deva	seen92	yes	28748897	38479563	901560	0	0	yes	1000	7898	7896	0	0	0	5000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
5	hau_Latn	hau	Latn	seen92	yes	4368483	4776310	901560	0	0	yes	0	7940	7938	0	0	0	0	0	0	0	0	0	no	yes	yes	no	no	no	
6	uzb_Latn	uzb	Latn	seen92	yes	3223485	3544751	901560	0	0	yes	0	7917	7917	0	0	0	1000	1000	1000	0	0	0	no	yes	yes	no	yes	no	
7	slv_Latn	slv	Latn	seen92	yes	15719210	25903901	901560	0	0	yes	823	7939	7939	0	0	0	15000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
8	fin_Latn	fin	Latn	seen92	yes	16730388	32826347	901560	0	0	yes	1000	7941	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
9	hun_Latn	hun	Latn	seen92	yes	18800025	33151080	901560	0	0	yes	1000	7936	7936	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
10	cmn_Hani	cmn	Hani	seen92	yes	80745	121437	901560	0	0	yes	1000	7916	7914	0	0	0	0	0	0	0	0	0	yes	yes	yes	no	no	no	
11	est_Latn	est	Latn	seen92	yes	13600579	22540376	901560	0	0	yes	1000	0	0	0	0	0	15000	10000	10000	0	0	0	yes	no	no	no	yes	yes	
12	bre_Latn	bre	Latn	seen92	yes	748954	1220088	901560	0	0	yes	1000	7935	7934	0	0	0	1000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
13	hrv_Latn	hrv	Latn	seen92	yes	17882932	30453350	901560	0	0	yes	1000	7940	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
14	jav_Latn	jav	Latn	seen92	yes	516833	1248518	901560	0	0	yes	0	7938	7938	0	0	0	100	100	100	0	0	0	no	yes	yes	no	yes	yes	
15	ron_Latn	ron	Latn	seen92	yes	19190217	28266518	901560	0	0	yes	1000	7940	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
16	ell_Grek	ell	Grek	seen92	yes	22033282	33991561	901560	0	0	yes	1000	7941	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
17	nor_Latn	nor	Latn	seen92	yes	14576191	21252518	901560	0	0	yes	0	0	0	0	0	0	20000	10000	10000	0	0	0	no	no	no	no	yes	yes	
18	slk_Latn	slk	Latn	seen92	yes	14633631	22523300	901560	0	0	yes	1000	7939	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
19	vie_Latn	vie	Latn	seen92	yes	15697827	19180235	901560	0	0	yes	1000	7935	7933	0	0	0	20000	10000	10000	1400	800	800	yes	yes	yes	no	yes	yes	
20	amh_Ethi	amh	Ethi	seen92	yes	2862985	3079659	901560	0	0	yes	168	7642	7640	0	0	0	100	100	100	0	0	0	yes	yes	yes	no	yes	yes	
21	epo_Latn	epo	Latn	seen92	yes	8737198	11987717	901560	0	0	yes	1000	7941	7939	0	0	0	15000	10000	10000	0	0	0	yes	yes	yes	no	yes	no	
22	bel_Cyrl	bel	Cyrl	seen92	yes	5319675	7215766	901560	0	0	yes	1000	7940	7939	0	0	0	15000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
23	xho_Latn	xho	Latn	seen92	yes	1262364	1593107	901560	0	0	yes	142	7814	7813	0	0	0	0	0	0	0	0	0	yes	yes	yes	no	no	no	
24	hin_Deva	hin	Deva	seen92	yes	7046700	10594346	901560	0	0	yes	1000	7902	7900	0	0	0	5000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
25	tam_Taml	tam	Taml	seen92	yes	3388255	5464555	901560	0	0	yes	307	7894	7893	0	0	0	15000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
26	mon_Cyrl	mon	Cyrl	seen92	yes	4616960	4910605	901560	0	0	yes	440	0	0	0	0	0	100	100	100	0	0	0	yes	no	no	no	yes	no	
27	ces_Latn	ces	Latn	seen92	yes	20376340	33181120	901560	0	0	yes	1000	7289	7288	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
28	san_Deva	san	Deva	seen92	yes	165616	203340	901560	0	0	yes	0	7712	7711	0	0	0	100	100	100	0	0	0	no	yes	yes	no	yes	yes	
29	hye_Armn	hye	Armn	seen92	yes	1463123	2277418	901560	0	0	yes	742	3732	3732	0	0	0	15000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
30	pus_Arab	pus	Arab	seen92	yes	731992	998462	901560	0	0	yes	0	0	0	0	0	0	100	100	100	0	0	0	no	no	no	no	yes	no	
31	som_Arab	som	Arab	seen92	yes	14199	25512	901560	0	0	yes	0	0	0	0	0	0	0	0	0	0	0	0	no	no	no	no	no	no	
32	kan_Knda	kan	Knda	seen92	yes	41836495	53453688	901560	0	0	yes	0	7831	7829	0	0	0	100	100	100	0	0	0	no	yes	yes	no	yes	no	
33	isl_Latn	isl	Latn	seen92	yes	19547941	24289191	901560	0	0	yes	1000	7874	7873	0	0	0	1000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
34	ori_Orya	ori	Orya	seen92	yes	410827	485894	901560	0	0	yes	0	0	0	0	0	0	100	100	100	0	0	0	no	no	no	no	yes	no	
35	afr_Latn	afr	Latn	seen92	yes	5157787	6495254	901560	0	0	yes	1000	7939	7939	0	0	0	5000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
36	deu_Latn	deu	Latn	seen92	yes	31015993	45413661	901560	0	0	yes	1000	7939	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
37	urd_Arab	urd	Arab	seen92	yes	6009594	7528948	901560	0	0	yes	1000	7894	7893	0	0	0	20000	1000	1000	4043	552	535	yes	yes	yes	no	yes	yes	
38	bul_Cyrl	bul	Cyrl	seen92	yes	21823004	32305846	901560	0	0	yes	1000	7941	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
39	tgl_Latn	tgl	Latn	seen92	yes	7411064	10389209	901560	0	0	yes	1000	7941	7939	0	0	0	10000	1000	1000	0	0	128	yes	yes	yes	no	yes	yes	
40	eus_Latn	eus	Latn	seen92	yes	12775959	18586815	901560	0	0	yes	1000	7852	7852	0	0	0	10000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
41	pol_Latn	pol	Latn	seen92	yes	19339945	30880605	901560	0	0	yes	1000	7934	7934	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
42	lat_Latn	lat	Latn	seen92	yes	1179913	1686696	901560	0	0	yes	1000	7939	7939	0	0	0	5000	1000	1000	0	0	0	yes	yes	yes	no	yes	yes	
43	tur_Latn	tur	Latn	seen92	yes	29184662	52229613	901560	0	0	yes	1000	7457	7455	0	0	0	20000	10000	10000	52286	5211	5549	yes	yes	yes	no	yes	yes	
44	fra_Latn	fra	Latn	seen92	yes	39197581	55515852	901560	0	0	yes	1000	7941	7939	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
45	cat_Latn	cat	Latn	seen92	yes	8648271	11720363	901560	0	0	yes	1000	7936	7936	0	0	0	20000	10000	10000	0	0	0	yes	yes	yes	no	yes	yes	
