pair_id	source	pair_type	language_script_a	language_script_b	group	item_index	text_a	text_b	note
tatoeba:dtp_Latn:0:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	0	Songkuro ginayo lo?	How big will it be?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:1:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	1	Langad-langadon ku diya!	My longing for you is killing me!	same_meaning_aligned_with_english
tatoeba:dtp_Latn:2:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	2	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.	I recently broke up with my boyfriend of three years.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:3:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	3	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.	I've been able to drive for more than twenty years.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:4:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	4	Luminabus i Tom.	Tom was out.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:5:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	5	Manu oku poposolon di Tom.	I want to make Tom jealous.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:6:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	6	Orohian ko' do kumaau.	You like swimming.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:7:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	7	Au kou mangandad no sominggu?	Couldn't you have just waited a week?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:8:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	8	Osonong tomod ura tinan nu mantad doho.	You're in better shape than I am.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:9:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	9	Mamadil oku kama dau.	I'm gonna shoot him.	same_meaning_aligned_with_english
