split	component	role	language_id	source_path	row_count	included_in_training	sampling_hint	row_manifest	status
train	target10_v2_train	low_resource_target	target10	docs/exp/second_try/12_v2_split_protocol/v2_split_manifest.tsv	52016	yes	always_include_low_resource; protect from high-resource dominance	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	glotcc_eng-Latn	high_resource_web_replay	eng-Latn	/home/axt/mnt2/jongha/third_try/high_resource/glotcc/glotcc_eng-Latn.jsonl	200000	yes	alpha_0.3_or_explicit_cap_in_dataloader	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	glotcc_deu-Latn	high_resource_web_replay	deu-Latn	/home/axt/mnt2/jongha/third_try/high_resource/glotcc/glotcc_deu-Latn.jsonl	200000	yes	alpha_0.3_or_explicit_cap_in_dataloader	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	glotcc_jpn-Jpan	high_resource_web_replay	jpn-Jpan	/home/axt/mnt2/jongha/third_try/high_resource/glotcc/glotcc_jpn-Jpan.jsonl	200000	yes	alpha_0.3_or_explicit_cap_in_dataloader	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	glotcc_kor-Hang	high_resource_web_replay	kor-Hang	/home/axt/mnt2/jongha/third_try/high_resource/glotcc/glotcc_kor-Hang.jsonl	200000	yes	alpha_0.3_or_explicit_cap_in_dataloader	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	bible_control_eng	domain_matched_control	eng	/home/axt/mnt2/jongha/Glot500-py39-eval/data/raw/bible-corpus/bibles/English.xml	28538	yes	control_replay; heldout_books_excluded	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	bible_control_deu	domain_matched_control	deu	/home/axt/mnt2/jongha/Glot500-py39-eval/data/raw/bible-corpus/bibles/German.xml	28538	yes	control_replay; heldout_books_excluded	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	bible_control_jpn	domain_matched_control	jpn	/home/axt/mnt2/jongha/Glot500-py39-eval/data/raw/bible-corpus/bibles/Japanese.xml	28523	yes	control_replay; heldout_books_excluded	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
train	bible_control_kor	domain_matched_control	kor	/home/axt/mnt2/jongha/Glot500-py39-eval/data/raw/bible-corpus/bibles/Korean.xml	28537	yes	control_replay; heldout_books_excluded	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_train_rows.tsv	PASS
dev	target10_v2_dev	low_resource_eval	target10	docs/exp/second_try/12_v2_split_protocol/v2_dev_manifest.tsv	6521	no	evaluation_only	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/mlm_dev_rows.tsv	PASS
final_test	target10_v2_final_test	low_resource_eval	target10	docs/exp/second_try/12_v2_split_protocol/v2_final_test_act_clean.tsv	9804	no	final_evaluation_only	/home/axt/mnt2/jongha/third_try/manifests/stage01_20260613_r1/final_eval_rows.tsv	PASS
