bundle_path	source_path	role	status	bytes
reports/paper_draft.pdf	4_reporting/03_final_report/paper_draft.pdf	English paper-style report PDF	copied	127722
reports/paper_draft_ko.pdf	4_reporting/03_final_report/paper_draft_ko.pdf	Korean paper-style report PDF	copied	210539
reports/paper_draft.html	4_reporting/03_final_report/paper_draft.html	English browser-readable report	copied	42091
reports/paper_draft_ko.html	4_reporting/03_final_report/paper_draft_ko.html	Korean browser-readable report	copied	30967
reports/paper_draft.md	4_reporting/03_final_report/paper_draft.md	English report source	copied	31375
reports/paper_draft_ko.md	4_reporting/03_final_report/paper_draft_ko.md	Korean report source	copied	23944
reports/contribution_summary.md	4_reporting/03_final_report/contribution_summary.md	Current contribution and novelty claim summary	copied	5087
reports/result_interpretation_blocks.md	4_reporting/03_final_report/result_interpretation_blocks.md	Outcome-conditioned final abstract/conclusion blocks	copied	20266
reports/manuscript_completion_matrix.md	4_reporting/03_final_report/manuscript_completion_matrix.md	Section-level manuscript completion and claim gates	copied	7460
reports/paper_build_spec.md	4_reporting/03_final_report/paper_build_spec.md	Paper assembly and rebuild specification	copied	11019
reports/references.bib	4_reporting/03_final_report/references.bib	BibTeX references for report/PPT citations	copied	1845
reports/citation_source_map.md	4_reporting/03_final_report/citation_source_map.md	Paper claim-to-citation boundary map	copied	3133
reports/external_source_verification.md	4_reporting/03_final_report/external_source_verification.md	Primary-source verification for bibliography and method-lineage wording	copied	4216
slides/v5_final_deck_ko.pptx	4_reporting/02_slides/v5_final_deck_ko.pptx	PowerPoint deck	copied	30236
slides/v5_final_deck_ko.pdf	4_reporting/02_slides/v5_final_deck_ko.pdf	PDF deck export	copied	80525
slides/v5_final_deck_ko.html	4_reporting/02_slides/v5_final_deck_ko.html	Browser rehearsal deck	copied	16259
slides/final_deck_ko.md	4_reporting/02_slides/final_deck_ko.md	Korean slide source	copied	9241
slides/presenter_script_ko.md	4_reporting/02_slides/presenter_script_ko.md	Korean presenter script	copied	18148
slides/rehearsal_plan_ko.md	4_reporting/02_slides/rehearsal_plan_ko.md	Korean rehearsal timing plan	copied	10075
slides/slide_claim_checklist.md	4_reporting/02_slides/slide_claim_checklist.md	Slide claim lock checklist	copied	3310
slides/slide_completion_matrix.md	4_reporting/02_slides/slide_completion_matrix.md	Slide-level completion and finalization gates	copied	5878
slides/deck_build_spec.md	4_reporting/02_slides/deck_build_spec.md	Deck assembly and rebuild specification	copied	8801
slides/slide_asset_manifest.md	4_reporting/02_slides/slide_asset_manifest.md	Slide-to-asset/source manifest	copied	7318
slides/slide_asset_manifest.tsv	4_reporting/02_slides/slide_asset_manifest.tsv	Machine-readable slide asset manifest	copied	6465
slides/slide_citation_map.md	4_reporting/02_slides/slide_citation_map.md	Slide-to-citation and slide-to-local-evidence map	copied	3993
slides/defense_qa_ko.md	4_reporting/02_slides/defense_qa_ko.md	Korean presentation Q&A card	copied	13909
slides/defense_qa.md	4_reporting/02_slides/defense_qa.md	English presentation Q&A	copied	11637
slides/novelty_defense_matrix_ko.md	4_reporting/02_slides/novelty_defense_matrix_ko.md	Korean novelty/reproduction Q&A defense matrix	copied	8651
handoff/one_page_summary_ko.md	4_reporting/one_page_summary_ko.md	Korean one-page summary	copied	9170
handoff/presentation_readiness_checklist_ko.md	4_reporting/presentation_readiness_checklist_ko.md	Korean five-minute pre-talk readiness checklist	copied	4904
handoff/submission_file_index_ko.md	4_reporting/submission_file_index_ko.md	Korean submission and presentation file index	copied	5632
handoff/reviewer_response_crosswalk_ko.md	4_reporting/reviewer_response_crosswalk_ko.md	Korean reviewer/presentation question-to-evidence crosswalk	copied	7985
handoff/final_submission_handoff_ko.md	4_reporting/final_submission_handoff_ko.md	Final assembly handoff	copied	11043
handoff/objective_requirement_trace_ko.md	4_reporting/objective_requirement_trace_ko.md	Korean active-goal requirement readiness trace	copied	9528
handoff/objective_requirement_trace_ko.tsv	4_reporting/objective_requirement_trace_ko.tsv	Machine-readable active-goal requirement trace	copied	7883
handoff/objective_completion_audit.md	4_reporting/objective_completion_audit.md	Strict active-goal completion audit	copied	10369
handoff/objective_completion_audit.tsv	4_reporting/objective_completion_audit.tsv	Machine-readable active-goal completion audit	copied	9098
handoff/goal_readiness.md	goal_readiness.md	Top-level v5 execution readiness audit	copied	5628
handoff/goal_readiness.tsv	goal_readiness.tsv	Machine-readable top-level v5 execution readiness audit	copied	3269
handoff/folder_readme_audit.md	folder_readme_audit.md	Per-folder README and next-step audit	copied	19870
handoff/folder_readme_audit.tsv	folder_readme_audit.tsv	Machine-readable per-folder README audit	copied	17876
handoff/final_goal_acceptance_rubric_ko.md	4_reporting/final_goal_acceptance_rubric_ko.md	Korean final goal acceptance rubric	copied	10819
handoff/final_result_update_checklist_ko.md	4_reporting/final_result_update_checklist_ko.md	Korean post-result update checklist	copied	13268
handoff/post_checkpoint_trigger_card_ko.md	4_reporting/post_checkpoint_trigger_card_ko.md	One-page post-checkpoint Go/No-Go trigger card	copied	5288
handoff/post_checkpoint_outcome_matrix_ko.md	4_reporting/post_checkpoint_outcome_matrix_ko.md	Korean post-checkpoint outcome matrix	copied	11938
handoff/post_result_patch_plan_ko.md	4_reporting/post_result_patch_plan_ko.md	Korean file-by-file post-result report/PPT patch plan	copied	11971
handoff/post_result_patch_plan.tsv	4_reporting/post_result_patch_plan.tsv	Machine-readable post-result report/PPT patch plan	copied	8463
handoff/final_freeze_protocol_ko.md	4_reporting/final_freeze_protocol_ko.md	Freeze/no-freeze protocol	copied	9817
handoff/final_freeze_evidence_checklist_ko.md	4_reporting/final_freeze_evidence_checklist_ko.md	Korean final freeze evidence checklist	copied	4643
handoff/final_handoff_runbook.md	4_reporting/final_handoff_runbook.md	Dynamic post-checkpoint runbook	copied	7420
handoff/final_action_dashboard_ko.md	4_reporting/final_action_dashboard_ko.md	Korean final next-action dashboard	copied	10092
handoff/final_action_dashboard_ko.tsv	4_reporting/final_action_dashboard_ko.tsv	Machine-readable final next-action dashboard	copied	7790
handoff/final_assembly_manifest.md	4_reporting/final_assembly_manifest.md	Final report/PPT assembly manifest	copied	3934
handoff/final_assembly_manifest.tsv	4_reporting/final_assembly_manifest.tsv	Machine-readable final assembly manifest	copied	3004
handoff/result_delay_contingency_ko.md	4_reporting/result_delay_contingency_ko.md	Korean execution-draft result-delay contingency	copied	5752
final_claim_decision_tree.md	4_reporting/final_claim_decision_tree.md	Generated final conclusion decision tree	copied	2867
final_claim_decision_tree.tsv	4_reporting/final_claim_decision_tree.tsv	Machine-readable final conclusion decision tree	copied	2559
claim_promotion_matrix.md	4_reporting/claim_promotion_matrix.md	Claim-to-gate promotion matrix	copied	4416
claim_promotion_matrix.tsv	4_reporting/claim_promotion_matrix.tsv	Machine-readable claim promotion matrix	copied	3459
handoff/post_checkpoint_execution_plan.md	3_evaluation/post_checkpoint_execution_plan.md	Concrete post-checkpoint launch plan	copied	7837
handoff/post_checkpoint_eval_recovery.md	3_evaluation/post_checkpoint_eval_recovery.md	Post-checkpoint split/rerun recovery protocol	copied	7628
handoff/metric_mapping.md	3_evaluation/metric_mapping.md	Glot500 metric-to-wrapper/evaluator mapping	copied	6380
handoff/glot500_metric_requirements.md	3_evaluation/glot500_metric_requirements.md	Retained Glot500 metric-family requirements	copied	4173
audits/training_loss_snapshot.md	2_training/training_loss_snapshot.md	Trainer-log loss snapshot for live paired MLM progress	copied	2019
audits/training_loss_snapshot.tsv	2_training/training_loss_snapshot.tsv	Machine-readable Trainer-log loss rows	copied	31183
audits/post_checkpoint_provenance_audit.md	3_evaluation/post_checkpoint_provenance_audit.md	Post-checkpoint source/run_meta/log provenance audit	copied	13960
audits/post_checkpoint_provenance_audit.tsv	3_evaluation/post_checkpoint_provenance_audit.tsv	Machine-readable post-checkpoint provenance audit	copied	12357
handoff/result_insertion_matrix.md	4_reporting/result_insertion_matrix.md	Raw-output to report/PPT promotion rule matrix	copied	11586
handoff/result_slot_inventory.md	4_reporting/result_slot_inventory.md	Report/PPT pending-result slot inventory	copied	15072
handoff/result_slot_inventory.tsv	4_reporting/result_slot_inventory.tsv	Machine-readable report/PPT result slot inventory	copied	16018
handoff/pending_result_registry.md	4_reporting/pending_result_registry.md	Explicit pending/running/blocked label registry	copied	5725
handoff/post_result_update_manifest.md	4_reporting/post_result_update_manifest.md	Metric-by-metric report/PPT update manifest	copied	6050
handoff/report_slide_crosswalk.md	4_reporting/report_slide_crosswalk.md	Report-section to slide/evidence crosswalk	copied	6146
handoff/final_package_checklist.md	4_reporting/final_package_checklist.md	Final package checklist	copied	33120
handoff/source_map.md	4_reporting/00_tables/source_map.md	Report/PPT source map	copied	26469
tables/table_01_data_scope.md	4_reporting/00_tables/table_01_data_scope.md	Data scope and target10 selection table	copied	1415
tables/table_02_tokenizer_audit.md	4_reporting/00_tables/table_02_tokenizer_audit.md	Tokenizer audit and fertility summary table	copied	1381
tables/table_03_initialization_zero_step.md	4_reporting/00_tables/table_03_initialization_zero_step.md	Initialization and zero-step comparison table	copied	1259
tables/table_04_evaluation_coverage.md	4_reporting/00_tables/table_04_evaluation_coverage.md	Evaluation coverage table	copied	1940
