,new_length,original_length:,language,script,XLM-R
1,66966,140387,lao,['Laoo'],True
2,945180,994258,mya,['Mymr'],True
3,24524122,41328884,ara,['Arab'],True
4,28748897,38479563,mar,['Deva'],True
5,4368483,4776310,hau,['Latn'],True
6,3223485,3544751,uzb,['Latn'],True
7,15719210,25903901,slv,['Latn'],True
8,16730388,32826347,fin,['Latn'],True
9,18800025,33151080,hun,['Latn'],True
10,80745,121437,cmn,['Hani'],True
11,13600579,22540376,est,['Latn'],True
12,748954,1220088,bre,['Latn'],True
13,17882932,30453350,hrv,['Latn'],True
14,516833,1248518,jav,['Latn'],True
15,19190217,28266518,ron,['Latn'],True
16,22033282,33991561,ell,['Grek'],True
17,14576191,21252518,nor,['Latn'],True
18,14633631,22523300,slk,['Latn'],True
19,15697827,19180235,vie,['Latn'],True
20,2862985,3079659,amh,['Ethi'],True
21,8737198,11987717,epo,['Latn'],True
22,5319675,7215766,bel,['Cyrl'],True
23,1262364,1593107,xho,['Latn'],True
24,7046700,10594346,hin,['Deva'],True
25,3388255,5464555,tam,['Taml'],True
26,4616960,4910605,mon,['Cyrl'],True
27,20376340,33181120,ces,['Latn'],True
28,165616,203340,san,['Deva'],True
29,1463123,2277418,hye,['Armn'],True
30,731992,998462,pus,['Arab'],True
31,14199,25512,som,['Arab'],True
32,41836495,53453688,kan,['Knda'],True
33,19547941,24289191,isl,['Latn'],True
34,410827,485894,ori,['Orya'],True
35,5157787,6495254,afr,['Latn'],True
36,31015993,45413661,deu,['Latn'],True
37,6009594,7528948,urd,['Arab'],True
38,21823004,32305846,bul,['Cyrl'],True
39,7411064,10389209,tgl,['Latn'],True
40,12775959,18586815,eus,['Latn'],True
41,19339945,30880605,pol,['Latn'],True
42,1179913,1686696,lat,['Latn'],True
43,29184662,52229613,tur,['Latn'],True
44,39197581,55515852,fra,['Latn'],True
45,8648271,11720363,cat,['Latn'],True
46,307302,377778,uig,['Arab'],True
47,159884,163304,arb,['Arab'],True
48,5526836,7972422,sqi,['Latn'],True
49,7293178,11025398,sin,['Sinh'],True
50,3929084,6464629,msa,['Latn'],True
51,95776,99602,swh,['Latn'],True
52,6468444,7994888,kor,['Hang'],True
53,7462046,11701032,ukr,['Cyrl'],True
54,1397566,1545391,kir,['Cyrl'],True
55,220214,298082,yid,['Hebr'],True
56,18128962,32568540,heb,['Hebr'],True
57,25061426,35618652,nld,['Latn'],True
58,957422,1242428,fry,['Latn'],True
59,33758,34816,azb,['Arab'],True
60,17852274,24211862,glg,['Latn'],True
61,18277593,25158365,fas,['Arab'],True
62,36122761,48220343,eng,['Latn'],True
63,14717004,18662027,mkd,['Cyrl'],True
64,23018106,33930820,ind,['Latn'],True
65,27824391,40390569,por,['Latn'],True
66,37286756,50180455,spa,['Latn'],True
67,19174573,27580773,dan,['Latn'],True
68,590429,1545366,khm,['Khmr'],True
69,152563,197132,gla,['Latn'],True
70,9637,24078,uig,['Latn'],True
71,1004297,1489213,kat,['Geor'],True
72,3715802,4436296,mlg,['Latn'],True
73,488730,640954,snd,['Arab'],True
74,23539857,35092550,ita,['Latn'],True
75,9593,21219,hau,['Arab'],True
76,1244783,1747340,cym,['Latn'],True
77,18371769,32335625,srp,['Latn'],True
78,24143786,28574769,zho,['Hani'],True
79,7735209,8720602,tha,['Thai'],True
80,20725883,29845220,swe,['Latn'],True
81,29052537,31309411,pan,['Guru'],True
82,26823,26952,prs,['Arab'],True
83,57511,67279,pes,['Arab'],True
84,25742,26904,san,['Latn'],True
85,12378727,13757211,kaz,['Cyrl'],True
86,407169,476106,kur,['Latn'],True
87,48098273,65217263,mal,['Mlym'],True
88,1317291,1972566,nep,['Deva'],True
89,7225513,7988516,gle,['Latn'],True
90,5989369,7529229,swa,['Latn'],True
91,3916769,4252418,som,['Latn'],True
92,12479626,18382147,lit,['Latn'],True
93,5168,5168,acu,['Latn'],
94,5178,5178,ake,['Latn'],
95,5063,5063,bsn,['Latn'],
96,5393,5393,chr,['Cher'],
97,5388,5388,cop,['Copt'],
98,4505,4505,kbh,['Latn'],
99,5267,5267,nhg,['Latn'],
100,5384,5384,oji,['Cans'],
101,5376,5376,syr,['Syrc'],
102,5294,5294,usp,['Latn'],
