risk_id	reviewer_objection	evidence_response	manuscript_action	status
R01	The paper has no positive downstream or translation result.	Step26 explicitly frames the contribution as a controlled diagnostic negative result; Steps15/16/24/25 block positive claims.	Make the negative result the title and abstract thesis.	MITIGATED
R02	The result may be caused by test leakage or branch search.	Step09/10 invalidate v1 translation shortcuts; Step12 creates v2 split; Steps13-26 no-final audits have bad=0.	Lead with v2 protocol and no-final audit.	MITIGATED
R03	Raw MLM losses across tokenizers may be unfair.	Step16 and Step24/25 use estimated word/char-normalized MLM ratios, all failing the <=1.100000 gate.	Report raw loss only with normalized metrics.	MITIGATED
R04	The 8k branch may solve the issue.	Step23 passes as a redesign probe, but Step24 word/char ratio=1.472019 and Step25 ratio=1.587381 fail.	Label Step23 partial support only.	MITIGATED
R05	The failure may be only bad initialization.	Step14 compares random, mean, fvt, align, focus zero-step; Step21 tests mean and align under full MLM budget and both fail.	Include initialization table and avoid claiming all possible init methods are exhausted.	MITIGATED
R06	The repair attempts are too shallow.	Steps18-20 test weighting, new-row-only, and staged/lower-rate updates; none pass seed-stable gates.	Call these intuitive probes, not exhaustive repair search.	MITIGATED_WITH_LIMITATION
R07	Bible-domain evidence may not generalize.	Step26/27 limitation requires Bible-domain wording; external-domain check is P1 future work.	Do not claim broad domain generalization.	MITIGATED_WITH_LIMITATION
R08	Translation results are confusing because Step07 had a branch pass.	Step09 method-matched audit fails and Step10 invalidates test-aware/mixed-method branch evidence.	Move Step07 branch to exploratory appendix only.	MITIGATED
R09	Language identification could inflate downstream interpretation.	Step08/26 guardrails exclude language ID as positive downstream evidence.	State language ID is diagnostic only.	MITIGATED
R10	The paper needs a path to future positive claims.	Step26 and Step27 list P0 objective/data redesign plus Step15/16-style gates before ACT readout.	Include a short future-work gate paragraph.	MITIGATED
R11	If appended-token prediction is diagnosed, the paper should propose a remedy.	Step28 proposes subtoken-teacher distillation plus curriculum added-token MLM with base KL/replay preservation, with explicit Step15/16-style pass gates.	Add solution roadmap slide and future-work paragraph; keep it clearly labelled proposed-not-tested.	MITIGATED
