task	language_script	group	unit	has_data	train_count	dev_count	test_count	pair_or_sample_count	source_path	notes
raw_text_strict_split	lao_Laoo	head	raw text examples	yes	54337	1000	1000	56337	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	lao_Laoo	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	mya_Mymr	head	raw text examples	yes	909018	1000	1000	911018	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	mya_Mymr	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ara_Arab	head	raw text examples	yes	24519525	1000	1000	24521525	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ara_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	mar_Deva	head	raw text examples	yes	28747662	1000	1000	28749662	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	mar_Deva	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hau_Latn	head	raw text examples	yes	4359657	1000	1000	4361657	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hau_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	uzb_Latn	head	raw text examples	yes	3180187	1000	1000	3182187	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	uzb_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	slv_Latn	head	raw text examples	yes	15716268	1000	1000	15718268	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	slv_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	fin_Latn	head	raw text examples	yes	16727345	1000	1000	16729345	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	fin_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hun_Latn	head	raw text examples	yes	18796712	1000	1000	18798712	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hun_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	cmn_Hani	head	raw text examples	yes	55500	1000	1000	57500	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	cmn_Hani	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	est_Latn	head	raw text examples	yes	13596009	1000	1000	13598009	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	est_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	bre_Latn	head	raw text examples	yes	729939	1000	1000	731939	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	bre_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hrv_Latn	head	raw text examples	yes	17879552	1000	1000	17881552	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hrv_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	jav_Latn	head	raw text examples	yes	445504	1000	1000	447504	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	jav_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ron_Latn	head	raw text examples	yes	19187651	1000	1000	19189651	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ron_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ell_Grek	head	raw text examples	yes	22029905	1000	1000	22031905	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ell_Grek	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	nor_Latn	head	raw text examples	yes	14526502	1000	1000	14528502	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	nor_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	slk_Latn	head	raw text examples	yes	14632178	1000	1000	14634178	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	slk_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	vie_Latn	head	raw text examples	yes	15585157	1000	1000	15587157	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	vie_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	amh_Ethi	head	raw text examples	yes	2833527	1000	1000	2835527	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	amh_Ethi	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	epo_Latn	head	raw text examples	yes	8734217	1000	1000	8736217	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	epo_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	bel_Cyrl	head	raw text examples	yes	5316656	1000	1000	5318656	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	bel_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	xho_Latn	head	raw text examples	yes	1199261	1000	1000	1201261	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	xho_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hin_Deva	head	raw text examples	yes	7002172	1000	1000	7004172	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hin_Deva	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	tam_Taml	head	raw text examples	yes	3362892	1000	1000	3364892	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	tam_Taml	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	mon_Cyrl	head	raw text examples	yes	4612949	1000	1000	4614949	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	mon_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ces_Latn	head	raw text examples	yes	20372860	1000	1000	20374860	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ces_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	san_Deva	head	raw text examples	yes	153070	1000	1000	155070	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	san_Deva	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hye_Armn	head	raw text examples	yes	1411139	1000	1000	1413139	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hye_Armn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	pus_Arab	head	raw text examples	yes	728035	1000	1000	730035	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	pus_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	som_Arab	head	raw text examples	yes	10203	1000	1000	12203	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
