claim_id	claim_family	final_status	allowed_wording	numeric_evidence	source_file	strength	notes
C01	v2_split	SUPPORTED	The v2 protocol protects the final held-out set and invalidates burned v1 final evidence.	ACT final protected; JOH excluded; no-final audit rows through Step25 bad=0	docs/exp/second_try/12_v2_split_protocol/results.md; docs/exp/second_try/22_full_experiment_audit/results.md	strong	Use v2 only for future final claims
C02	tokenization	SUPPORTED	XLM-R has a measurable tokenization bottleneck on target10 languages.	syr tokens_per_word=4.854; syr single_char_token_pct=74.251	docs/exp/second_try/02_tokenization_audit/score_table.tsv	strong	Legacy Step02 evidence remains valid as tokenizer diagnostic
C03	vocab_extension	SUPPORTED	Appending target-language pieces reduces fragmentation while preserving XLM-R ids.	Step03 selected 32k avg_tokens_per_word_delta_pct=-31.766; single_char_delta_pct=-42.365	docs/exp/second_try/03_vocab_extension/score_table.tsv	strong	Do not convert this into a model-performance claim
C04	v2_tokenizer_init	SUPPORTED	V2 tokenizer and initialization selection are dev-only and final-safe.	Step13 selected on MAR/dev; Step14 selected fvt with zero-step loss=8.681328	docs/exp/second_try/13_v2_tokenizer/results.md; docs/exp/second_try/14_v2_embedding_init/results.md	strong	No ACT final read
C05	model_competitiveness	UNSUPPORTED	The v2 adapted model is not competitive with original continued pretraining under matched-token MLM controls.	Step15 adapted/original ratio=1.964580; threshold<=1.100000	docs/exp/second_try/15_v2_mlm_control/score_table.tsv	strong_negative	Blocks positive downstream and translation claim
C06	metric_fairness	UNSUPPORTED	The v2 failure is not explained away by raw cross-tokenizer loss alone.	Step16 word_ratio=1.438660; char_ratio=1.438660; threshold<=1.100000	docs/exp/second_try/16_v2_mlm_metric_fairness/score_table.tsv	strong_negative	Normalized audit also fails
C07	failure_source	DIAGNOSTIC_SUPPORTED	The dominant v2 adapted failure source is appended-token prediction.	Step17 added/base loss ratio=2.835906; added loss share=74.269955%	docs/exp/second_try/17_v2_added_token_failure_analysis/score_table.tsv	strong	Use as central diagnostic finding
C08	repair_attempts	UNSUPPORTED	Simple repair attempts do not solve the appended-token failure seed-stably.	Step18 all_nonworse=0/3; Step19 added_improved=0/3; Step20 passing_variants=0/3	docs/exp/second_try/18_v2_added_token_repair/score_table.tsv; docs/exp/second_try/19_v2_new_row_only_repair/score_table.tsv; docs/exp/second_try/20_v2_staged_added_token_repair/score_table.tsv	strong_negative	Partial improvements must be labelled failed repairs
C09	alt_init	UNSUPPORTED	Mean and align initializations do not beat fvt after matched MLM adaptation.	Step21 passing_methods=0/2; best align raw mean=5.086652 vs fvt=4.946829	docs/exp/second_try/21_v2_alt_init_mlm_probe/score_table.tsv	strong_negative	Failure is not just mean/align vs fvt
C10	smaller_vocab	PARTIAL_SUPPORT	Smaller vocabularies mitigate the 32k added-token burden but do not prove model competitiveness.	Step23 passing_variants=2/2; best 8k raw loss=4.541285 vs 32k=4.946829; raw ratio vs original=1.803523	docs/exp/second_try/23_v2_vocab_size_objective_probe/score_table.tsv	moderate	Allowed as redesign evidence only
C11	selected_8k_control	UNSUPPORTED	The selected 8k branch still fails original-control normalized competitiveness.	Step24 word_ratio=1.472019; char_ratio=1.472019; threshold<=1.100000	docs/exp/second_try/24_v2_8k_mlm_control/score_table.tsv	strong_negative	Blocks positive claim after Step23
C12	longer_budget	UNSUPPORTED	Longer 8k MLM budget alone does not rescue the adapted model.	Step25 word_ratio=1.587381; char_ratio=1.587381; threshold<=1.100000	docs/exp/second_try/25_v2_8k_continued_budget_probe/score_table.tsv	strong_negative	Original control improves faster
C13	translation	UNSUPPORTED	Method-matched translation does not reach the 80 percent high-resource reference threshold.	Step09 selected adapted XLM-R ratio=0.638034; LaBSE+CSLS upper-bound ratio=0.567179; threshold>=0.800000	docs/exp/second_try/09_top_tier_validation/score_table.tsv	strong_negative	Step07/Branch001 remains exploratory only
C14	final_claim	SUPPORTED_DIAGNOSTIC	The final paper can be framed as a controlled diagnostic negative result, not a positive performance claim.	score bad cells=0; file_result_bad=0; no_final_bad=0; positive_model_claim_allowed=0	docs/exp/second_try/22_full_experiment_audit/results.md	strong	Proceed to final synthesis only with unsupported positive claims removed
