task	language_script	group	source	status
Sentence Retrieval Tatoeba	mal_Mlym	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	aze_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ben_Beng	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tel_Telu	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	fra_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	spa_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	nob_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	rus_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	deu_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tur_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	mar_Deva	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	por_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	nld_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ara_Arab	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ita_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ind_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ell_Grek	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	bul_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	swe_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ces_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	isl_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	pol_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ron_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	dan_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	hun_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	srp_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ceb_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	heb_Hebr	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	hrv_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	glg_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	fin_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	slv_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	vie_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	mkd_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	slk_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	est_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	eus_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
