new_id	token	status
250002	pʉ	PASS
250003	chë	PASS
250004	bajiro	PASS
250005	ᎠᎴ	PASS
250006	ĩna	PASS
250007	uya	PASS
250008	niman	PASS
250009	rɨ	PASS
250010	yejhuan	PASS
250011	ᎾᏍᎩ	PASS
250012	mɨrɨ	PASS
250013	Bëng	PASS
250014	mu̶a	PASS
250015	ⲞⲨⲞϨ	PASS
250016	ᑲᔦ	PASS
250017	yu̶	PASS
250018	ᑕᔥ	PASS
250019	jwi	PASS
250020	pʉra	PASS
250021	Jesucristo	PASS
250022	pɨ	PASS
250023	kɨ	PASS
250024	ϪⲈ	PASS
250025	ndoñe	PASS
250026	ipan	PASS
250027	awon	PASS
250028	ⲈⲂⲞⲖ	PASS
250029	nɨ	PASS
250030	ᎨᏒ	PASS
250031	aints	PASS
250032	ĩre	PASS
250033	ⲚⲈⲘ	PASS
250034	nokon	PASS
250035	rechak	PASS
250036	ⲆⲈ	PASS
250037	Yus	PASS
250038	yau	PASS
250039	quẽne	PASS
250040	rojose	PASS
250041	ĩnare	PASS
250042	ñaja	PASS
250043	Bëtsá	PASS
250044	amʉ	PASS
250045	ainau	PASS
250046	ܡܢ	PASS
250047	chirij	PASS
250048	nts̈amo	PASS
250049	ᑳᐐᓐ	PASS
250050	ᎯᎠ	PASS
250051	ᐃᐃ	PASS
250052	quẽnaro	PASS
250053	mu̶are	PASS
250054	iyesi	PASS
250055	yejhua	PASS
250056	yigu̶	PASS
250057	chca	PASS
250058	jb	PASS
250059	ܠܐ	PASS
250060	asamtai	PASS
250061	bajiri	PASS
250062	juntir	PASS
250063	ܕܝܢ	PASS
250064	ñari	PASS
250065	Mɨrɨ	PASS
250066	ܝܢ	PASS
250067	Yuse	PASS
250068	yirã	PASS
250069	ᎨᏒᎢ	PASS
250070	Niman	PASS
250071	tɨ	PASS
250072	pengker	PASS
250073	soyënga	PASS
250074	ᑭᔐᒪᓂᑑ	PASS
250075	ܗܘ	PASS
250076	mu̶	PASS
250077	ⲠⲈ	PASS
250078	yu̶a	PASS
250079	ᐃᐃᒫ	PASS
250080	ϨⲒ	PASS
250081	ᐃᑕᔥ	PASS
250082	ts̈ëngaftanga	PASS
250083	ᎥᏝ	PASS
250084	ⲀⲚ	PASS
250085	ᏰᏃ	PASS
250086	ents̈anga	PASS
250087	yu̶re	PASS
250088	cõari	PASS
250089	rãca	PASS
250090	canÿe	PASS
250091	ᎤᏁᎳᏅᎯ	PASS
250092	Antsu	PASS
250093	yicõari	PASS
250094	ᐃᓂ	PASS
250095	Sises	PASS
250096	ܠܗ	PASS
250097	ᐁᑮ	PASS
250098	ⲞⲨ	PASS
250099	xche	PASS
250100	tuke	PASS
250101	ᑲᑭᓇ	PASS
250102	chapc	PASS
250103	ijcuac	PASS
250104	manire	PASS
250105	Bëtsabe	PASS
250106	nochi	PASS
250107	,”	PASS
250108	miayi	PASS
250109	tusa	PASS
250110	ᐐᓐ	PASS
250111	chikich	PASS
250112	ܘܢ	PASS
250113	itech	PASS
250114	ܐܢܐ	PASS
250115	ܓܝܪ	PASS
250116	ᐃᑭ	PASS
250117	Diore	PASS
250118	cuajli	PASS
250119	ᐙᒡ	PASS
250120	ᐊᐊ	PASS
250121	ainaun	PASS
250122	ⲄⲀⲢ	PASS
250123	xij	PASS
250124	ᑳᐃᔑ	PASS
250125	nuka	PASS
250126	ᐊᐲ	PASS
250127	Yejhua	PASS
250128	ᑳᑮ	PASS
250129	ican	PASS
250130	quej	PASS
250131	mɨrɨpan	PASS
250132	wakʉ	PASS
250133	wína	PASS
250134	chabe	PASS
250135	serɨ	PASS
250136	ats̈e	PASS
250137	bënga	PASS
250138	ts̈abá	PASS
250139	ϦⲈⲚ	PASS
250140	auya	PASS
250141	ijqui	PASS
250142	bëts	PASS
250143	ܗܘܐ	PASS
250144	ᐋᓃᔥ	PASS
250145	chawechak	PASS
250146	soye	PASS
250147	ⲪⲎ	PASS
250148	nÿe	PASS
250149	chiwch	PASS
250150	ᒋᓴᔅ	PASS
250151	chënga	PASS
250152	ts̈abe	PASS
250153	oton	PASS
250154	ܐܝܟ	PASS
250155	ⲚⲒⲂⲈⲚ	PASS
250156	atumin	PASS
250157	ⲚⲀ	PASS
250158	ܥܠ	PASS
250159	ⲀϤ	PASS
250160	yisere	PASS
250161	ᐊᐎᔭ	PASS
250162	bajirone	PASS
250163	nÿetsca	PASS
250164	chicham	PASS
250165	u̶ju̶	PASS
250166	ᎨᏎᏍᏗ	PASS
250167	ܘܠܐ	PASS
250168	tanporo	PASS
250169	ᎩᎶ	PASS
250170	ñajare	PASS
250171	ᐅᑮ	PASS
250172	ⲘⲘⲞⲤ	PASS
250173	asar	PASS
250174	tusar	PASS
250175	ᐅᐅ	PASS
250176	tlacatl	PASS
250177	ⲚⲀϤ	PASS
250178	tlacamej	PASS
250179	ᎾᏍᏉ	PASS
250180	etzl	PASS
250181	vãme	PASS
250182	ܕܠܐ	PASS
250183	tijin	PASS
250184	ϪⲈⲚ	PASS
250185	aa	PASS
250186	ܐܠ	PASS
250187	ᏥᎩ	PASS
250188	puerte	PASS
250189	ⲠⲒ	PASS
250190	ᎾᏍᎩᏯ	PASS
250191	jwich	PASS
250192	ᓂᒡ	PASS
250193	yaja	PASS
250194	ᏂᎨᏒᎾ	PASS
250195	ⲦⲈⲚ	PASS
250196	ᑭᔐᒪᓂᑑᓐ	PASS
250197	antak	PASS
250198	atak	PASS
250199	squej	PASS
250200	ᏴᏫ	PASS
250201	nʉ	PASS
250202	ᐁᔑ	PASS
250203	ⲀⲨ	PASS
250204	Nunia	PASS
250205	jc	PASS
250206	ⲚⲒ	PASS
250207	ܐܦ	PASS
250208	nemejhuamej	PASS
250209	ᎤᎬᏫᏳᎯ	PASS
250210	ᑮᔥ	PASS
250211	ܐܡܪ	PASS
250212	ᐱᓐ	PASS
250213	lawi	PASS
250214	ndayá	PASS
250215	ܐܢܬܘܢ	PASS
250216	ᎠᏴ	PASS
250217	ndegombre	PASS
250218	ⲘⲘⲞϤ	PASS
250219	ᐋᓃᓐ	PASS
250220	Kʉrai	PASS
250221	Chë	PASS
250222	Rojose	PASS
250223	ulew	PASS
250224	ᎦᎶᏁᏛ	PASS
250225	pona	PASS
250226	ijcon	PASS
250227	ܬܐ	PASS
250228	ⲈⲦⲈ	PASS
250229	ᏍᎩᏂ	PASS
250230	ⲚⲎ	PASS
250231	ekama	PASS
250232	ⲚⲞⲨ	PASS
250233	ܠܟܘܢ	PASS
250234	ܝܫܘܥ	PASS
250235	ñaama	PASS
250236	ainausha	PASS
250237	bu̶to	PASS
250238	ܝܠܝܢ	PASS
250239	ⲈⲨ	PASS
250240	ᎢᏳᏍᏗ	PASS
250241	ᏥᏌ	PASS
250242	Yusen	PASS
250243	ocare	PASS
250244	yijama	PASS
250245	yejhuamej	PASS
250246	anic	PASS
250247	Quemaj	PASS
250248	tamb	PASS
250249	ᐃᑯ	PASS
250250	ⲈϤ	PASS
250251	ܕܐܠܗܐ	PASS
250252	ⲀⲖⲖ	PASS
250253	ܡܛܠ	PASS
250254	ⲚⲦⲈ	PASS
250255	sanoyej	PASS
250256	bioye	PASS
250257	rʉ	PASS
250258	pʉne	PASS
250259	ñaami	PASS
250260	xcuajli	PASS
250261	ᑫᑰᓐ	PASS
250262	kwarʉ	PASS
250263	ᐱᔥᑰ	PASS
250264	rajwax	PASS
250265	ᏍᏗ	PASS
250266	ihuan	PASS
250267	cu̶ti	PASS
250268	chib	PASS
250269	ⲈⲦ	PASS
250270	saj	PASS
250271	wano	PASS
250272	tunau	PASS
250273	campa	PASS
250274	ranm	PASS
250275	jono	PASS
250276	winak	PASS
250277	ayb	PASS
250278	Cristore	PASS
250279	ܠܗܘܢ	PASS
250280	yej	PASS
250281	ajicõari	PASS
250282	ⲚϪⲈ	PASS
250283	ܟܕ	PASS
250284	ⲪⲀⲒ	PASS
250285	ᎠᏎᏃ	PASS
250286	ᏂᎯ	PASS
250287	ᏱᎩ	PASS
250288	atb	PASS
250289	ⲈⲐⲂⲈ	PASS
250290	ܢܐ	PASS
250291	Kajawl	PASS
250292	ⲘⲠⲒ	PASS
250293	ᎿᏉ	PASS
250294	ᎣᏍᏛ	PASS
250295	ᐗᒃ	PASS
250296	chichame	PASS
250297	tusan	PASS
250298	tukai	PASS
250299	ᑭᑲ	PASS
250300	nunaka	PASS
250301	winɨ	PASS
250302	ᑮᓇᐙ	PASS
250303	tʉ	PASS
250304	bojaro	PASS
250305	toTeco	PASS
250306	Jyolj	PASS
250307	ⲈⲢⲞϤ	PASS
250308	chak	PASS
250309	timiayi	PASS
250310	ⲔⲀⲦⲀ	PASS
250311	ñaboarine	PASS
250312	su̶orine	PASS
250313	tlajtlamach	PASS
250314	nÿets	PASS
250315	asaram	PASS
250316	Yuska	PASS
250317	ⲚⲰⲦⲈⲚ	PASS
250318	ܗܝ	PASS
250319	Cristonu	PASS
250320	Moisés	PASS
250321	Dios	PASS
250322	atumi	PASS
250323	chichamen	PASS
250324	ipɨ	PASS
250325	yarã	PASS
250326	Ijcuac	PASS
250327	ilhuicac	PASS
250328	ⲐⲎⲚⲞⲨ	PASS
250329	rĩne	PASS
250330	ⲞⲨⲞⲚ	PASS
250331	ᎪᎱᏍᏗ	PASS
250332	tusaram	PASS
250333	ܘܐܡܪ	PASS
250334	itzij	PASS
250335	uando	PASS
250336	yiyuju	PASS
250337	ajitirũ̶nu̶rã	PASS
250338	Yu̶	PASS
250339	luwar	PASS
250340	ܐܠܗܐ	PASS
250341	ⲚⲰⲞⲨ	PASS
250342	yu̶are	PASS
250343	chicharak	PASS
250344	nejhua	PASS
250345	ܡܫܝܚܐ	PASS
250346	nukap	PASS
250347	ᐁᑕ	PASS
250348	ᎾᎿ	PASS
250349	uil	PASS
250350	rijajl	PASS
250351	ⲚⲀⲨ	PASS
250352	ⲒⲎⲤⲞⲨⲤ	PASS
250353	ju̶	PASS
250354	ⲠⲈϪⲀϤ	PASS
250355	ᐅᑲ	PASS
