task	language_script	language	group	in_task_list	upstream_flag	local_data_exists	has_data	reason	data_path
text_classification	lao_Laoo	lao	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	mya_Mymr	mya	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ara_Arab	ara	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	mar_Deva	mar	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	hau_Latn	hau	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	uzb_Latn	uzb	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	slv_Latn	slv	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	fin_Latn	fin	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	hun_Latn	hun	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	cmn_Hani	cmn	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	est_Latn	est	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	bre_Latn	bre	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	hrv_Latn	hrv	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	jav_Latn	jav	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ron_Latn	ron	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ell_Grek	ell	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	nor_Latn	nor	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	slk_Latn	slk	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	vie_Latn	vie	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	amh_Ethi	amh	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	epo_Latn	epo	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	bel_Cyrl	bel	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	xho_Latn	xho	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	hin_Deva	hin	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	tam_Taml	tam	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	mon_Cyrl	mon	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ces_Latn	ces	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	san_Deva	san	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	hye_Armn	hye	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	pus_Arab	pus	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	som_Arab	som	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	kan_Knda	kan	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	isl_Latn	isl	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ori_Orya	ori	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	afr_Latn	afr	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	deu_Latn	deu	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	urd_Arab	urd	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	bul_Cyrl	bul	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	tgl_Latn	tgl	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	eus_Latn	eus	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	pol_Latn	pol	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	lat_Latn	lat	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	tur_Latn	tur	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	fra_Latn	fra	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	cat_Latn	cat	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	uig_Arab	uig	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	arb_Arab	arb	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	sqi_Latn	sqi	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	sin_Sinh	sin	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	msa_Latn	msa	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	swh_Latn	swh	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	kor_Hang	kor	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	ukr_Cyrl	ukr	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	kir_Cyrl	kir	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	yid_Hebr	yid	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	heb_Hebr	heb	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	nld_Latn	nld	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	fry_Latn	fry	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	azb_Arab	azb	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	glg_Latn	glg	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	fas_Arab	fas	head	no	0	no	no	not_materialized_for_language	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
text_classification	eng_Latn	eng	head	yes	1	yes	yes	available	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/taxi1500
