file_role	path	rows_or_files	bytes	md5	status	notes
goal	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/goal.md	5	493	d1795244b9ef044535b9f3c697417491	PASS	branch goal with Step 09 method-matched constraint
plan	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/plan.md	9	656	364f10ff9b60686577d44e29d4e39d51	PASS	branch retry plan with post-audit constraint
results	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/results.md	41	1240	38e3e77fc13d683028be871231c9cbfd	PASS_NEGATIVE_RESULT	branch result summary superseded by Step 09
return_decision	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/return_decision.md	19	612	4638c47336177a29baf79295570253d7	PASS_NEGATIVE_RESULT	branch return decision superseded by Step 09
score_table	/home/axt/jongha/Glot500-py39-eval/docs/exp/second_try/branches/branch_001_translation_retrieval_gap/score_table.tsv	14	4132	092381648e8068e982f6945ab0668ed9	PASS_NEGATIVE_RESULT	branch score table with exploratory superseded final row
procrustes_transform	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/usp_to_kbh_procrustes.pt	1	2360149	16a8f9696671faf35e6e566f0197618e	PASS	procrustes branch artifact
byt5_checkpoint	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/checkpoint	4	1198614557	DIRECTORY	PASS	stable ByT5 checkpoint
byt5_dev_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/dev_predictions.tsv	256	137236	fec89be81c8975f510f1375696090f0d	PASS	ByT5 dev predictions
byt5_test_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/test_predictions.tsv	100	49122	c6c8b15f3f0ceec48f6392dcef19ecf8	PASS	ByT5 held-out test predictions
byt5_run_report	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/byt5_usp_kbh/branch001_byt5_20260610_232137/run_report.json	26	604	e7a93a3e1977f17a0d356f9910a9400b	PASS	ByT5 training and metric config
cross_encoder_checkpoint	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/cross_encoder_usp_kbh/branch001_cross_encoder_20260610_232744/checkpoint	6	1207163180	DIRECTORY	PASS	cross-encoder checkpoint
cross_encoder_test_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/cross_encoder_usp_kbh/branch001_cross_encoder_20260610_232744/test_predictions.tsv	100	59964	e454e57429b9d16cf35ceb9f4d9e57ef	PASS	cross-encoder held-out test predictions
cross_encoder_run_report	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/cross_encoder_usp_kbh/branch001_cross_encoder_20260610_232744/run_report.json	23	536	91a0fa216e8593d6186e38eb9c76d91b	PASS	cross-encoder training and metric config
minilm_dev_grid	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/dev_grid.tsv	180	20060	77617d5954ec91664335ba4f50c59cf8	PASS	MiniLM dev selection grid
minilm_dev_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/selected_dev_predictions.tsv	256	149432	286ac013e42a37dd9eea97e92f0ca699	PASS	MiniLM selected dev predictions
minilm_test_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/selected_test_predictions.tsv	100	51824	f8fe40da160df87f24b5687f998f60d7	PASS	MiniLM selected held-out test predictions
minilm_run_report	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234556/run_report.json	33	965	f363860e2ec3a85cca5c11cb82be9c98	PASS	MiniLM model and selection report
labs_dev_grid	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/dev_grid.tsv	180	14349	f0fb07ff1985b13c643b818808b474e6	PASS	LaBSE dev selection grid
labs_dev_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/selected_dev_predictions.tsv	256	146383	8e71c8bf2bc44cc3b045b89ce867ca00	PASS	LaBSE selected dev predictions
labs_test_predictions	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/selected_test_predictions.tsv	100	50863	1865976abbe807976cc00f6b6f09a1f9	PASS	LaBSE selected held-out test predictions
labs_run_report	/home/axt/mnt2/jongha/second_try/branches/branch_001_translation_retrieval_gap/sentence_embedding/branch001_sentence_embedding_20260610_234706/run_report.json	33	900	3045df77539b90a43aed8e8fde64ace2	PASS	LaBSE model and selection report
