requirement_id	requirement	success_criterion	evidence_artifact	observed_result	verdict	claim_effect
base_model	XLM-R-base에서 시작	base model is xlm-roberta-base	05_mlm/deviation_from_protocol.tsv	base_model=xlm-roberta-base	PASS	Glot500-style XLM-R extension framing allowed
id_preservation	기존 XLM-R vocab id 보존	changed existing ids and special ids are zero	03_tokenizer/id_preservation_audit.tsv	changed_existing_token_ids=0; changed_special_token_ids=0; appended_token_id_violations=0	PASS	append-only protocol structurally valid
append_only_vocab	새 vocabulary만 append	original rows unchanged and new ids appended	03_tokenizer/id_preservation_audit.tsv	append-only tokenizer created with preserved base ids	PASS	tokenizer construction can be main protocol evidence
target10_scope	target10 전체를 main으로 유지	acu/ake/bsn/chr/cop/kbh/nhg/oji/syr/usp remain main	00_scope/results.md; scope_lock_20260612.md	Coptic and Syriac remain target10 main languages	PASS	prevents treating Coptic/Syriac as extension-only evidence
high_resource_replay	high-resource replay/control + target10 mixture 사용	mixture includes target10 and high-resource replay/control	01_data/mlm_mixture_manifest.tsv; 05_mlm/deviation_from_protocol.tsv	Stage01 materialized mixture used for Stage05	PASS_WITH_DEVIATION	materialized mixture is valid for diagnostic report but not exact Glot500 sampler reproduction
full_model_mlm	full-model MLM continued pretraining 수행	no LoRA/adapters; MLM objective; full model trainable	05_mlm/training_config_replay_safe_seed13.json; 05_mlm/deviation_from_protocol.tsv	full-model MLM retry completed	PASS_COMPUTE_BOUNDED	supports current candidate evaluation, not full-budget reproduction
seed_count	최소 3 seed	run seeds 13/17/23	05_mlm/replay_safe_seed_summary.tsv	replay-safe seeds 13/17/23 completed	PASS	current candidate has seed replication
training_scale	Glot500-style 충분한 training budget	full continued pretraining scale	05_mlm/deviation_from_protocol.tsv	200-step pilot plus 1000-step replay-safe retry; effective batch 32	DEVIATION_LIMITS_CLAIM	blocks full-budget reproduction wording
tokenizer_gain	target10 tokenizer fragmentation 개선	average target10 tokens/word decreases	03_tokenizer/tokenization_before_after.tsv	avg tokens/word delta=-29.812358%	PASS_MIXED	tokenizer-average gain allowed; not uniform by language
byte_vs_char	byte fallback과 char 비교	run byte fallback vs character coverage comparison	03_tokenizer/fallback_ablation_summary.tsv	byte fallback append delta=-30.215948%; char=-29.812358%; byte-minus-char=-0.599816	PASS_ABLATION	byte fallback included as ablation, not main replacement
init_axis	initialization 근거 제시	random/mean/fvt/align/focus compared at least at zero step	04_init/init_candidate_summary.tsv	fvt zero-step dev loss=7.925527 and best among tested methods	PASS_SELECTION	fvt selection justified for candidate
target10_mlm_proxy	target10 model proxy 개선	third_try mean loss <= XLM-R or broad language improvement	06_eval/replay_safe_candidate_summary.tsv	replay-safe mean=5.245928 vs XLM-R=3.472837; 5/10 languages beat XLM-R	FAIL_FOR_POSITIVE	blocks positive broad model claim
coptic_downstream	Coptic downstream seed-stable 개선	3/3 seeds improve over XLM-R	06_eval/coptic_pos_summary_replay_safe.tsv	token accuracy delta=+0.006781; 3/3 seeds positive; macro F1 delta=-0.002656	PASS_WEAK_COPTIC_ONLY	supports narrow Coptic token-accuracy evidence only
syriac_downstream	Syriac downstream evidence 포함	supervised or strong proxy-downstream evidence available	06_eval/syriac_downstream_search.tsv; 06_eval/coptic_syriac_evidence.md	no local supervised encoder-only task found; proxy-only; MLM proxy delta=+3.025674	PARTIAL_PROXY_ONLY	blocks Coptic+Syriac positive downstream wording
target10_downstream_seed_stability	target10-wide downstream seed-stable 개선	>=3 seeds improve on target10 downstream summary	06_eval/target10_seed_summary.tsv	target10_downstream_seed_stability=NOT_RUN; official supervised coverage sparse	FAIL_FOR_POSITIVE	positive target10 downstream claim forbidden
frozen_proxy	downstream-like proxy 안정성	retrieval and matching stable positive across seeds	06_eval/frozen_proxy_seed_summary.tsv	retrieval +0.000593 mean with 2/3 positive; parallel AUC -0.000649 with 1/3 positive	MIXED_OR_NEGATIVE	proxy evidence cannot rescue positive claim
high_resource_control	high-resource no-collapse	4/4 control languages avoid large loss increase	06_eval/high_resource_control_summary_replay_safe.tsv	replay-safe mean delta=+0.675539; languages_without_large_collapse=0/4	FAIL_FOR_POSITIVE	positive claim blocked
checkpoint_selection	earlier retained checkpoint rescue 확인	earlier retained checkpoint improves control/target proxy	06_eval/checkpoint_selection_proxy_summary.tsv	checkpoint-150 worse than checkpoint-200; both 0/4 no-collapse	FAIL_RESCUE_DIAGNOSTIC	negative result not explained only by final checkpoint selection
replay_safe_retry	짧은 pilot artifact인지 확인	lower-LR longer retry improves and rescues gates	06_eval/replay_safe_candidate_summary.tsv	improves 10/10 target10 languages vs 200-step, but still fails XLM-R average and high-resource control	PASS_DIAGNOSTIC_RETRY	reinforces diagnostic negative rather than positive
prior_experiments_as_ablation	first/second try를 ablation으로 배치	no prior experiment used as main success claim	08_ablation/ablation_matrix.tsv	prior experiments labeled main=0	PASS_ABLATION_PACKAGE	feedback requirement satisfied
final_positive_claim	positive main claim 허용 여부	all positive gates pass	combined evidence	target10 downstream/stability and high-resource control fail	NO_GO	positive model claim forbidden
final_diagnostic_claim	diagnostic negative report 가능 여부	structural protocol plus failure axes documented	07_main_claim/results.md; 08_ablation/results.md; final_diagnostic_report_20260613.md	tokenizer/init/fallback/replay/checkpoint/downstream failure axes documented	READY	diagnostic negative report package is ready
