language_script	group	source_sentences	sampling_probability_pct	planned_samples	actual_samples	input_dir	exists_on_disk	status	notes
lao_Laoo	seen	66966		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lao_Laoo	yes	DRY_RUN	
mya_Mymr	seen	945180		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mya_Mymr	yes	DRY_RUN	
ara_Arab	seen	24524122		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ara_Arab	yes	DRY_RUN	
mar_Deva	seen	28748897		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mar_Deva	yes	DRY_RUN	
hau_Latn	seen	4368483		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Latn	yes	DRY_RUN	
uzb_Latn	seen	3223485		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uzb_Latn	yes	DRY_RUN	
slv_Latn	seen	15719210		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slv_Latn	yes	DRY_RUN	
fin_Latn	seen	16730388		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fin_Latn	yes	DRY_RUN	
hun_Latn	seen	18800025		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hun_Latn	yes	DRY_RUN	
cmn_Hani	seen	80745		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cmn_Hani	yes	DRY_RUN	
est_Latn	seen	13600579		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/est_Latn	yes	DRY_RUN	
bre_Latn	seen	748954		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bre_Latn	yes	DRY_RUN	
hrv_Latn	seen	17882932		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hrv_Latn	yes	DRY_RUN	
jav_Latn	seen	516833		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/jav_Latn	yes	DRY_RUN	
ron_Latn	seen	19190217		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ron_Latn	yes	DRY_RUN	
ell_Grek	seen	22033282		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ell_Grek	yes	DRY_RUN	
nor_Latn	seen	14576191		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nor_Latn	yes	DRY_RUN	
slk_Latn	seen	14633631		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/slk_Latn	yes	DRY_RUN	
vie_Latn	seen	15697827		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/vie_Latn	yes	DRY_RUN	
amh_Ethi	seen	2862985		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/amh_Ethi	yes	DRY_RUN	
epo_Latn	seen	8737198		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/epo_Latn	yes	DRY_RUN	
bel_Cyrl	seen	5319675		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bel_Cyrl	yes	DRY_RUN	
xho_Latn	seen	1262364		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/xho_Latn	yes	DRY_RUN	
hin_Deva	seen	7046700		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hin_Deva	yes	DRY_RUN	
tam_Taml	seen	3388255		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tam_Taml	yes	DRY_RUN	
mon_Cyrl	seen	4616960		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mon_Cyrl	yes	DRY_RUN	
ces_Latn	seen	20376340		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ces_Latn	yes	DRY_RUN	
san_Deva	seen	165616		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Deva	yes	DRY_RUN	
hye_Armn	seen	1463123		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hye_Armn	yes	DRY_RUN	
pus_Arab	seen	731992		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pus_Arab	yes	DRY_RUN	
som_Arab	seen	14199		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Arab	yes	DRY_RUN	
kan_Knda	seen	41836495		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kan_Knda	yes	DRY_RUN	
isl_Latn	seen	19547941		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/isl_Latn	yes	DRY_RUN	
ori_Orya	seen	410827		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ori_Orya	yes	DRY_RUN	
afr_Latn	seen	5157787		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/afr_Latn	yes	DRY_RUN	
deu_Latn	seen	31015993		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/deu_Latn	yes	DRY_RUN	
urd_Arab	seen	6009594		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/urd_Arab	yes	DRY_RUN	
bul_Cyrl	seen	21823004		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bul_Cyrl	yes	DRY_RUN	
tgl_Latn	seen	7411064		1188420	0	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tgl_Latn	yes	DRY_RUN	
