language_script	example_id	words	chars	base_tokens	target_tokens	delta_tokens	base_tokens_per_word	target_tokens_per_word	delta_tokens_per_word	base_single_char_tokens	target_single_char_tokens	base_byte_tokens	target_byte_tokens	target_new_tokens	target_base_tokens	base_unk_tokens	target_unk_tokens	text_preview	base_token_preview	target_token_preview
fur_Latn	0	13	53	22	21	-1	1.6923076923076923	1.6153846153846154	-0.07692307692307693	6	6	0	0	1	20	0	0	Il 1727 (MDCCXXVII par numars romans) al è un an dal secul XVIII.	▁Il ▁17 27 ▁( MD CC XXVII ▁par ▁numar s ▁roman s ) ▁al ▁è ▁un ▁an ▁dal ▁se cul ▁XVIII .	▁Il ▁17 27 ▁( MD CC XXVII ▁par ▁numar s ▁roman s ) ▁al ▁è ▁un ▁an ▁dal ▁secul ▁XVIII .
fur_Latn	1	39	173	76	70	-6	1.9487179487179487	1.794871794871795	-0.15384615384615385	20	17	0	0	5	65	0	0	Cjistiei come chel di Orford, costruît a fin dal diesim secont secul par £1.400, a verin un cost medi, invezit cjistiei come chel di Dover, costruît jenfri il 1181 e il 1191 par...	▁C jist iei ▁come ▁che l ▁di ▁Or ford , ▁co stru ît ▁a ▁fin ▁dal ▁die sim ▁se con t ▁se cul ▁par ▁£ 1 . 400 , ▁a ▁ver in ▁un ▁cost ▁med i , ▁in vez it ▁ cji sti ei ▁come ▁che l ▁di ▁Do ver , ▁co stru ît ▁jen fri ▁il ▁11 81 ▁e ▁il ▁11 91 ▁par ▁£ 7.000 , ▁a ▁ver in ▁un ▁cost ▁super i ôr .	▁C jist iei ▁come ▁che l ▁di ▁Or ford , ▁co stru ît ▁a ▁fin ▁dal ▁die sim ▁se con t ▁secul ▁par ▁£ 1. 400 , ▁a ▁ver in ▁un ▁cost ▁medi , ▁invezit ▁ cji sti ei ▁come ▁che l ▁di ▁Do ver , ▁co stru ît ▁jenfri ▁il ▁11 81 ▁e ▁il ▁11 91 ▁par ▁£ 7.000 , ▁a ▁ver in ▁un ▁cost ▁super i ôr .
fur_Latn	2	6	24	12	12	0	2.0	2.0	0.0	5	5	0	0	0	12	0	0	Prove se l'archivi al à erôrs	▁Pro ve ▁se ▁l ' archiv i ▁al ▁à ▁er ôr s	▁Pro ve ▁se ▁l ' archiv i ▁al ▁à ▁er ôr s
fur_Latn	3	11	67	18	16	-2	1.6363636363636365	1.4545454545454546	-0.18181818181818182	4	3	0	0	1	15	0	0	Eastmond, Anthony (2010), Royal Imagery in Medieval Georgia, Penn State Press	▁East mond , ▁Anthony ▁(2010) , ▁Royal ▁Image ry ▁in ▁Medi e val ▁Georgia , ▁Penn ▁State ▁Press	▁East mond , ▁Anthony ▁(2010) , ▁Royal ▁Image ry ▁in ▁Medieval ▁Georgia , ▁Penn ▁State ▁Press
fur_Latn	4	7	50	17	17	0	2.4285714285714284	2.4285714285714284	0.0	4	4	0	0	0	17	0	0	Zitroi ur komikiak: Joseba Sarrionandia komikitan, 2000.	▁Zi tro i ▁ur ▁komik iak : ▁Jose ba ▁Sarri on andi a ▁komik itan , ▁2000.	▁Zi tro i ▁ur ▁komik iak : ▁Jose ba ▁Sarri on andi a ▁komik itan , ▁2000.
fur_Latn	5	78	376	157	138	-19	2.0128205128205128	1.7692307692307692	-0.24358974358974358	42	34	0	0	17	121	0	0	Fin tal XVI secul l'atuâl Bisiacarie ere furlanofone como la restant planure furlane a diestre dal Lusinç, daspò dal XVI secul daûr di vueris, invasions (Turcs) e seguitivis cja...	▁Fin ▁tal ▁XVI ▁se cul ▁l ' atu âl ▁B isia cari e ▁ere ▁fur lan ofon e ▁como ▁la ▁restant ▁plan ure ▁fur lane ▁a ▁die stre ▁dal ▁Lu sin ç , ▁das p ò ▁dal ▁XVI ▁se cul ▁da ûr ▁di ▁vue ris , ▁invasi ons ▁( Tur cs ) ▁e ▁seguit i vis ▁ cja risti is ▁la ▁popola zio n ▁dal ▁ teritori ▁di ▁Mon fal con ▁fo ▁de cima de . ▁Il ▁gu vier ▁v	▁Fin ▁tal ▁XVI ▁secul ▁l ' atu âl ▁B isia cari e ▁ere ▁furlan ofon e ▁como ▁la ▁restant ▁plan ure ▁furlan e ▁a ▁die stre ▁dal ▁Lu sin ç , ▁daspò ▁dal ▁XVI ▁secul ▁da ûr ▁di ▁vue ris , ▁invasi ons ▁( Tur cs ) ▁e ▁seguit i vis ▁cja risti is ▁la ▁popolazion ▁dal ▁teritori ▁di ▁Mon fal con ▁fo ▁de cima de . ▁Il ▁gu vier ▁v inizi an ▁al ore ▁par ▁ri popol â ▁la
fur_Latn	6	31	106	47	44	-3	1.5161290322580645	1.4193548387096775	-0.0967741935483871	18	14	0	0	3	41	0	0	Jê e vuadagnà plui di 50.000 dolars al an al colm de sô cariere- une vore di beçs pe ete e une vore di plui dai 20.000 dolars dal so om.	▁J ê ▁e ▁vua dag n à ▁plu i ▁di ▁50.000 ▁dolar s ▁al ▁an ▁al ▁col m ▁de ▁s ô ▁cari ere - ▁une ▁vore ▁di ▁be ç s ▁pe ▁et e ▁e ▁une ▁vore ▁di ▁plu i ▁dai ▁20.000 ▁dolar s ▁dal ▁so ▁om .	▁J ê ▁e ▁vua dag n à ▁plui ▁di ▁50.000 ▁dolar s ▁al ▁an ▁al ▁col m ▁de ▁sô ▁cari ere - ▁une ▁vore ▁di ▁be ç s ▁pe ▁et e ▁e ▁une ▁vore ▁di ▁plui ▁dai ▁20.000 ▁dolar s ▁dal ▁so ▁om .
fur_Latn	7	8	42	17	15	-2	2.125	1.875	-0.25	6	5	0	0	4	11	0	0	“In chest sens, il cristianisim al rivà “adore”.”	▁“ In ▁che st ▁sens , ▁il ▁cristiani sim ▁al ▁ri v à ▁“ adore ”. ”	▁“ In ▁chest ▁sens , ▁il ▁cristian isim ▁al ▁riv à ▁“ adore ”. ”
fur_Latn	8	140	651	261	245	-16	1.8642857142857143	1.75	-0.11428571428571428	66	60	0	0	20	225	0	0	Vie pe prime metât dal Votcent, chest ramaç al jentre in posês dai bens ereditâs dai parints dal ramaç dal Tor. Ancje cheste linie dinastiche e fâs part dal cuarp patrizi de cit...	▁Vie ▁pe ▁prime ▁met ât ▁dal ▁Vo t cent , ▁che st ▁rama ç ▁al ▁jen tre ▁in ▁pos ê s ▁dai ▁ben s ▁er edit â s ▁dai ▁pari nts ▁dal ▁rama ç ▁dal ▁Tor . ▁An cje ▁che ste ▁linie ▁dinasti che ▁e ▁ fâ s ▁part ▁dal ▁cu ar p ▁patri zi ▁de ▁citat ▁lagun âr , ▁titul ▁fin ▁trama i ▁pierd ût ▁tal ▁timp , ▁e ▁dal ▁16 58 ▁ven ▁i scri te ▁al ▁Ordin ▁no	▁Vie ▁pe ▁prime ▁me tât ▁dal ▁Vo t cent , ▁chest ▁rama ç ▁al ▁jen tre ▁in ▁pos ê s ▁dai ▁ben s ▁er edit â s ▁dai ▁pari nts ▁dal ▁rama ç ▁dal ▁Tor . ▁An cje ▁cheste ▁linie ▁dinasti che ▁e ▁fâs ▁part ▁dal ▁cu ar p ▁patri zi ▁de ▁citat ▁lagun âr , ▁titul ▁fin ▁trama i ▁pierd ût ▁tal ▁timp , ▁e ▁dal ▁16 58 ▁ven ▁i scrit e ▁al ▁Ordin ▁no bil ▁de ▁citat ▁di
fur_Latn	9	40	173	71	67	-4	1.775	1.675	-0.1	23	19	0	0	4	63	0	0	“Boas al fo il prin a concepî l’idee tal 1887: “...la civilizazion e no je alc di assolût, ma ... e je relative, e ... lis nestris ideis e concezions a son veris dome rispiet al...	▁“ Bo as ▁al ▁fo ▁il ▁prin ▁a ▁concep î ▁l ’ ide e ▁tal ▁1887 : ▁“ ... la ▁civiliza zio n ▁e ▁no ▁je ▁al c ▁di ▁as sol ût , ▁ma ▁... ▁e ▁je ▁relative , ▁e ▁... ▁li s ▁nes tris ▁idei s ▁e ▁conce z ions ▁a ▁son ▁ver is ▁dome ▁ris pie t ▁al ▁dis vil up ▁da ▁ne stre ▁civiliza zio n ”. ”	▁“ Bo as ▁al ▁fo ▁il ▁prin ▁a ▁concep î ▁l ’ ide e ▁tal ▁1887 : ▁“ ... la ▁civiliza zion ▁e ▁no ▁je ▁al c ▁di ▁as sol ût , ▁ma ▁... ▁e ▁je ▁relative , ▁e ▁... ▁lis ▁nes tris ▁idei s ▁e ▁conce zions ▁a ▁son ▁ver is ▁dome ▁ris pie t ▁al ▁dis vil up ▁da ▁ne stre ▁civiliza zion ”. ”
