stage_id	depends_on	work	selection_data	final_data_policy	required_outputs	gate	status
V2_00_SPLIT_FREEZE	Step12	freeze v2 train/dev/burned/final split	NOT_APPLICABLE	ACT final clean locked but not used for selection	v2_split_manifest.tsv; v2_split_stats.tsv; v2_final_duplicate_exclusions.tsv	ACT clean final >=8000 rows and >=800 per language; JOH excluded	DONE_PASS
V2_01_TOKENIZER	V2_00_SPLIT_FREEZE	train/merge 8k, 16k, 32k tokenizer candidates from v2 train only	MAR dev only	do not inspect ACT final until final reporting	13_v2_tokenizer/score_table.tsv; 13_v2_tokenizer/selected_tokenizer.md; tokenizer artifacts; file_results.tsv	original ids preserved and dev fragmentation improves without final-set selection	DONE_PASS
V2_02_INIT	V2_01_TOKENIZER	compare random, mean, fvt, align, focus initialization under v2 tokenizer	MAR dev MLM only	no ACT final access	14_v2_embedding_init/score_table.tsv; 14_v2_embedding_init/selected_init.md; initialized checkpoints; file_results.tsv	all required init methods load; selected init chosen by dev only	DONE_PASS
V2_03_MLM_CONTROL	V2_02_INIT	longer MLM adaptation plus original-XLM-R continued-pretraining control with >=3 seeds	MAR dev only	no ACT final access	mlm_learning_curves.tsv; seed_summary.tsv; checkpoint_selection.md; file_results.tsv	adapted extended checkpoint improves from zero-step and is competitive with original continued-pretraining control	DONE_FAIL_CLAIM
V2_03B_MLM_METRIC_FAIRNESS	V2_03_MLM_CONTROL	tokenizer-normalized MLM metric fairness audit	MAR dev only	no ACT final access	16_v2_mlm_metric_fairness/normalized_mlm_scores.tsv; score_table.tsv; file_results.tsv	adapted checkpoint competitive on estimated NLL per word and per char	DONE_FAIL_CLAIM
V2_03C_ADDED_TOKEN_FAILURE_ANALYSIS	V2_03B_MLM_METRIC_FAIRNESS	decompose adapted failure into base-token and added-token loss	MAR dev only	no ACT final access	17_v2_added_token_failure_analysis/token_category_loss.tsv; language_token_breakdown.tsv; new_token_loss_samples.tsv; file_results.tsv	diagnose whether failure is concentrated in added-token prediction	DONE_PASS_DIAGNOSTIC
V2_03D_ADDED_TOKEN_REPAIR	V2_03C_ADDED_TOKEN_FAILURE_ANALYSIS	train added-token-weighted repair objective	MAR dev only	no ACT final access	18_v2_added_token_repair/repair_summary.tsv; repair_category_loss.tsv; checkpoint_selection.md; file_results.tsv	added-token loss improves without worsening all-token loss	DONE_FAIL_REPAIR
V2_03E_NEW_ROW_ONLY_REPAIR	V2_03D_ADDED_TOKEN_REPAIR	train only appended embedding/output rows from Step15 adapted checkpoints	MAR dev only	no ACT final access	19_v2_new_row_only_repair/new_row_repair_summary.tsv; trainable_parameters.tsv; checkpoint_selection.md; file_results.tsv	trainable audit passes and added-token loss improves without base/all degradation	DONE_FAIL_REPAIR
V2_03F_STAGED_ADDED_REPAIR	V2_03E_NEW_ROW_ONLY_REPAIR	test bias-only and lower-rate added-only repair variants	MAR dev only	no ACT final access	20_v2_staged_added_token_repair/staged_repair_summary.tsv; variant_summary.tsv; trainable_parameters.tsv; file_results.tsv	at least one variant improves added-token loss without base/all degradation in every seed	DONE_FAIL_REPAIR
V2_03G_ALT_INIT_PROBE	V2_03F_STAGED_ADDED_REPAIR	train mean and align Step14 initializations with the Step15 MLM budget	MAR dev only	no ACT final access	21_v2_alt_init_mlm_probe/init_probe_summary.tsv; init_probe_variant_summary.tsv; init_probe_category_loss.tsv; file_results.tsv	at least one alternative init beats fvt raw mean and category seed gates	DONE_FAIL_PROBE
V2_03H_FULL_EXPERIMENT_AUDIT	V2_03G_ALT_INIT_PROBE	audit complete experiment trail for active shortcuts and required next experiments	existing docs/audit tables only	no ACT final access	22_full_experiment_audit/score_table.tsv; shortcut_matrix.tsv; next_experiments.tsv; file_results.tsv	no active shortcut remains; unsupported positive claims are blocked	DONE_PASS_AUDIT
V2_03I_VOCAB_SIZE_PROBE	V2_03H_FULL_EXPERIMENT_AUDIT	test 8k and 16k smaller-vocab branches under the Step15 MLM budget	MAR dev only	no ACT final access	23_v2_vocab_size_objective_probe/vocab_probe_summary.tsv; vocab_probe_variant_summary.tsv; vocab_probe_category_loss.tsv; file_results.tsv	at least one smaller vocab beats 32k and improves added/base/all losses in every seed	DONE_PASS_PROBE
V2_03J_8K_MLM_CONTROL	V2_03I_VOCAB_SIZE_PROBE	rerun Step15/16-style control and normalized audits with the selected 8k branch	MAR dev only	no ACT final access	24_v2_8k_mlm_control/raw_control_summary.tsv; normalized_mlm_scores.tsv; checkpoint_selection.md; file_results.tsv	8k adapted branch competitive with original continued-pretraining control	DONE_FAIL_CLAIM
V2_03K_8K_CONTINUED_BUDGET	V2_03J_8K_MLM_CONTROL	continue selected 8k and original-control checkpoints to about 1M total train tokens	MAR dev only	no ACT final access	25_v2_8k_continued_budget_probe/continued_budget_summary.tsv; normalized_mlm_scores.tsv; checkpoint_selection.md; file_results.tsv	longer 8k budget closes original-control normalized gap	DONE_FAIL_PROBE
V2_03L_DIAGNOSTIC_CLAIM_SYNTHESIS	V2_03K_8K_CONTINUED_BUDGET	lock the top-tier-safe diagnostic negative claim	existing second_try docs only	no ACT final access	26_top_tier_diagnostic_claim_synthesis/final_claim_contract.md; evidence_table.tsv; unsupported_claims.tsv; file_results.tsv	diagnostic claim ready and unsupported positive claims blocked	DONE_PASS_DIAGNOSTIC
V2_04_DOWNSTREAM	V2_03L_DIAGNOSTIC_CLAIM_SYNTHESIS	hard-negative retrieval/matching with bootstrap confidence intervals	train/MAR dev only	ACT final evaluated once only after a future positive model branch passes controls	downstream_hard_negative_scores.tsv; bootstrap_ci.tsv; per_language_summary.tsv; file_results.tsv	non-overlapping or statistically supported gains across languages/seeds	BLOCKED_UNTIL_POSITIVE_MLM_CONTROL
V2_05_TRANSLATION	V2_03L_DIAGNOSTIC_CLAIM_SYNTHESIS	method-matched adapted-XLM-R-only translation retrieval or generation	MAR dev only	ACT final evaluated exactly once after a future positive model branch and pair/scoring freeze	method_matched_translation.tsv; adapted_only_predictions.tsv; failure_cases.md; file_results.tsv	adapted main-model target/high-resource ratio >=0.800000 on ACT clean final	BLOCKED_UNTIL_POSITIVE_MLM_CONTROL
V2_06_FINAL_SYNTHESIS	V2_03L_DIAGNOSTIC_CLAIM_SYNTHESIS for diagnostic path; V2_04 and V2_05 only for future positive path	write top-tier-safe final claim and limitations	frozen prior stages	no ACT read for diagnostic path; no new tuning after any future final readout	26_top_tier_diagnostic_claim_synthesis/final_claim_contract.md; paper_framing.md; evidence_table.tsv; file_results.tsv	every positive claim is removed or has v2 evidence; failed claims are explicitly unsupported	DONE_PASS_DIAGNOSTIC
V2_07_MANUSCRIPT_PACKAGE	V2_06_FINAL_SYNTHESIS	package diagnostic negative result for manuscript writing	Step26 contract only	no ACT final access	27_final_manuscript_synthesis/manuscript_outline.md; paper_claims.md; paper_tables.tsv; reviewer_risk_audit.tsv; reproducibility_checklist.tsv; file_results.tsv	diagnostic negative manuscript package ready; positive performance package blocked	DONE_PASS_MANUSCRIPT
