phase	order	update_item	status	required_gate	current_evidence	patch_files	patch_scope	report_update	slide_update	claim_lock	action_when_ready
0_go_no_go	1	matched_checkpoint_pair	ready_for_execution	matched MLM checkpoints	gate=ready; manifest=ready_for_status_handoff; slot=replace_now; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update	2_training/05_checkpoint_selection/selected_checkpoint_manifest.md; 3_evaluation/model_matrix.tsv; 3_evaluation/post_checkpoint_eval_queue.md; 3_evaluation/post_checkpoint_preflight.md	Replace running/waiting model text only after both v5 model rows are wrapper-ready.	Training and reproducibility sections.	Slide 10 plus backup Q&A.	Checkpoint readiness unlocks evaluation only; it does not unlock method claims.	Run status/preflight, then launch paired post-checkpoint evaluation if preflight is ready-to-launch.
1_intrinsic_after_mlm	2	after_mlm_pppl	waiting_checkpoints_or_results	after-MLM PPPL	gate=pending; manifest=ready_to_run; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=pseudoperplexity:status=partial; measured=glot500_base,v5_random,xlmr_base; missing=v5_fvt	4_reporting/00_tables/table_06_pppl_partial.md; Report.md; 4_reporting/03_final_report/paper_draft.md; 4_reporting/03_final_report/paper_draft_ko.md; 4_reporting/method_comparison_summary.md	Insert v5_random/v5_fvt target, head, and all PPPL rows from aggregation.	Results and analysis sections; keep zero-step and after-MLM evidence separate.	Slides 11, 12, and 14.	FVT after-MLM claim opens only from paired PPPL rows with provenance.	Patch PPPL table, rerun refresh with plots, then inspect materiality and claim-promotion audits.
2_available_downstream	3	tatoeba_retrieval	waiting_checkpoints_or_results	v5 available downstream replay	gate=pending; manifest=measured_pair; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=retrieval_tatoeba:status=measured; measured=glot500_base,v5_fvt,v5_random,xlmr_base; missing=	4_reporting/00_tables/table_07_tatoeba_partial.md; Report.md; paper/deck result sections	Insert available-language Tatoeba Top-10 rows for both v5 models.	Downstream retrieval subsection.	Slides 11 and 12.	Available-language retrieval only; target10 remains coverage-limited unless task data changes.	Patch table/result prose from aggregation, then keep target10 coverage caveat.
2_available_downstream	4	bible_retrieval	waiting_checkpoints_or_results	Bible retrieval accounting	gate=pending; manifest=measured_pair; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=retrieval_bible:status=measured; measured=glot500_base,v5_fvt,v5_random,xlmr_base; missing=	4_reporting/00_tables/table_12_bible_partial.md; Report.md; limitations; deck caveat slides	Insert v5 Bible rows if parsed, or retain explicit pending/blocker status.	Bible retrieval result and limitation paragraphs.	Slides 11, 12, and 13.	Available-language Bible comparison only; selected target10 Bible coverage is not implied.	Patch measured rows or blocker wording, then rerun metric-fidelity and surface audits.
2_available_downstream	5	text_classification	waiting_checkpoints_or_results	v5 available downstream replay	gate=pending; manifest=measured_pair; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=text_classification:status=measured; measured=glot500_base,v5_fvt,v5_random,xlmr_base; missing=	4_reporting/00_tables/table_08_text_classification_partial.md; Report.md; paper/deck result sections	Insert local Taxi1500 macro-F1 rows for both v5 models.	Text classification result subsection with local-data boundary.	Slides 11 and 12.	Local classification comparison only; do not generalize to target10 downstream.	Patch classification rows from aggregation and keep local English-only caveat visible.
2_available_downstream	6	ner_pos_tagging	waiting_checkpoints_or_results	v5 available downstream replay	gate=pending; manifest=ready_to_run; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=ner:status=partial; measured=glot500_base,v5_random,xlmr_base; missing=v5_fvt | pos:status=partial; measured=glot500_base,v5_random,xlmr_base; missing=v5_fvt	4_reporting/00_tables/table_10_ner_partial.md; 4_reporting/00_tables/table_11_pos_partial.md; Report.md	Insert NER/POS F1 rows for both v5 models from parsed test outputs.	Tagging result subsection and POS train-language note.	Slides 11 and 12.	Tagging is available-language evidence; POS train-language caveat stays visible.	Patch tagging tables and rerun table sync plus narrative audits.
2_available_downstream	7	roundtrip_alignment	waiting_checkpoints_or_results	Roundtrip alignment accounting	gate=pending; manifest=ready_to_run; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update; metrics=roundtrip_alignment:status=partial; measured=glot500_base,v5_random,xlmr_base; missing=v5_fvt	4_reporting/00_tables/table_14_roundtrip_partial.md; 4_reporting/00_tables/table_09_blocked_metric_notes.md; 4_reporting/00_tables/table_13_metric_fidelity_matrix.md; Report.md	Insert parsed Roundtrip rows or retain explicit pending/blocker accounting.	Roundtrip result, metric-fidelity, and limitations.	Slides 11, 12, and 13.	No Roundtrip performance claim until both v5 rows parse with provenance.	Patch measured rows or blocker note, then rerun metric-surface and claim-freeze audits.
3_claim_selection	8	method_comparison_claim_gate	waiting_checkpoints_or_results	after-MLM PPPL	gate=pending; manifest=ready_to_run; slot=tracked_pending; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update	4_reporting/method_comparison_summary.md; 4_reporting/comparison_materiality_audit.md; 4_reporting/claim_promotion_matrix.md; 4_reporting/final_claim_decision_tree.md; 4_reporting/03_final_report/claim_ledger.md	Promote only the claim allowed by paired PPPL/downstream rows and materiality bands.	Abstract, discussion, conclusion, and claim ledger.	Slides 12 and 14 plus presenter script.	Use tie_band as no clear practical separation; keep zero-step-only outcome if after-MLM does not support FVT.	Select decision-tree outcome, patch conclusion blocks, then run final claim-freeze audit.
3_claim_selection	9	target10_downstream_boundary	waiting_checkpoints_or_results	v5 available downstream replay	gate=pending; manifest=waiting_results; slot=tracked_coverage_limited; preflight=post_checkpoint_preflight_ready_to_launch; provenance=post_checkpoint_provenance_ready_waiting_models; freeze=claim_freeze_needs_update	Report.md; 4_reporting/03_final_report/result_interpretation_blocks.md; 4_reporting/02_slides/defense_qa_ko.md	Keep target downstream caveat unless partial official task membership is materialized and evaluated.	Limitations and conclusion.	Slides 13 and 14 plus defense Q&A.	Target10 downstream improvement is locked until tail materialization/eval is repaired.	Update caveat wording from task-list membership and materialized rows, not from intuition or live logs.
4_render_freeze	10	final_render_and_bundle	waiting_checkpoints_or_results	final report/PPT synchronization	rendered=rendered_artifact_freshness_ready; smoke=final_submission_smoke_needs_repair; freeze=claim_freeze_needs_update	4_reporting/03_final_report/*.md/html/pdf; 4_reporting/02_slides/final_deck_ko.md/html/pptx/pdf; 4_reporting/release_manifest.md; 4_reporting/release_bundle/	Rebuild report, deck, figures, release manifest, and bundle after final text changes.	Final paper sources and rendered artifacts.	Final deck source, PPTX, PDF, and presenter script.	Final freeze requires rendered freshness, smoke audit, and claim-freeze agreement.	Run refresh with plots, then confirm freshness, smoke, package, and release-bundle audits.
