source_step	third_try_axis	third_try_role	evidence_artifact	reusable_finding	blocked_overclaim
00_scope_and_references	scope	protocol_context	../../second_try/00_scope_and_references/results.md	Defines target10 and reference grounding for later redesign	Does not itself prove a model improvement
01_data_and_splits	data_split	data_ablation_context	../../second_try/01_data_and_splits/split_stats.tsv	Provides earlier split and manifest machinery	Not the final third_try high-resource replay manifest
02_tokenization_audit	tokenizer_baseline	baseline_ablation	../../second_try/02_tokenization_audit/xlmr_baseline_tokenization_metrics.tsv	Shows XLM-R target10 fragmentation before extension	Tokenization audit alone is not downstream evidence
03_vocab_extension;13_v2_tokenizer	vocab_size	tokenizer_ablation	../../second_try/13_v2_tokenizer/v2_vocab_extension_metrics.tsv	Target-only 32k extension reduces fragmentation and preserves ids	Target-only tokenizer is not the third_try main because it lacks high-resource replay text
14_v2_embedding_init	init_method	init_ablation	../../second_try/14_v2_embedding_init/v2_zero_step_mlm.tsv	Compares random/mean/fvt/align/focus before MLM training	Zero-step loss is selection evidence, not final downstream proof
15_v2_mlm_control;16_v2_mlm_metric_fairness	control_competitiveness	no-extension_and_metric_ablation	../../second_try/16_v2_mlm_metric_fairness/normalized_mlm_scores.tsv	Extended branch fails original-control normalized competitiveness	Blocks positive adapted-model wording
17_v2_added_token_failure_analysis	appended_token_learning	mechanistic_failure_analysis	../../second_try/17_v2_added_token_failure_analysis/token_category_loss.tsv	Added-token mean loss is much higher than base-token loss and dominates failure	Does not prove all vocabulary extension fails, only this branch condition
18_v2_added_token_repair	objective_repair	repair_ablation	../../second_try/18_v2_added_token_repair/repair_summary.tsv	Added-token-focused repair is partial and does not clear full gates	Partial repair cannot be reported as success
19_v2_new_row_only_repair	objective_repair	repair_ablation	../../second_try/19_v2_new_row_only_repair/new_row_repair_summary.tsv	New-row-only repair isolates trainable rows but remains insufficient	New-row-only result is not full MLM continued pretraining
20_v2_staged_added_token_repair	objective_repair	repair_ablation	../../second_try/20_v2_staged_added_token_repair/variant_summary.tsv	Staged repair variants are diagnostic and not seed-stable final wins	Staged repair cannot replace the main model
21_v2_alt_init_mlm_probe	init_method	full_budget_init_probe	../../second_try/21_v2_alt_init_mlm_probe/init_probe_variant_summary.tsv	Mean and align full-budget probes fail to beat fvt	Failure is not explained away by untested mean/align init
22_full_experiment_audit	leakage_and_claim_audit	claim_guardrail	../../second_try/22_full_experiment_audit/shortcut_matrix.tsv	Blocks hidden positive claim and invalidates shortcut-prone branches	Artifact PASS labels must not become positive claims
23_v2_vocab_size_objective_probe	vocab_size	vocab_budget_ablation	../../second_try/23_v2_vocab_size_objective_probe/vocab_probe_summary.tsv	8k improves over 32k raw loss but remains worse than original control	Smaller vocab helps but is not a positive model result
24_v2_8k_mlm_control;25_v2_8k_continued_budget_probe	vocab_size_and_budget	negative_followup_ablation	../../second_try/24_v2_8k_mlm_control/normalized_mlm_scores.tsv; ../../second_try/25_v2_8k_continued_budget_probe/continued_budget_summary.tsv	8k control and longer budget do not rescue normalized competitiveness	Longer/smaller alone should not be claimed as solved
06_downstream_tasks;07_translation_benchmark	downstream_proxy	proxy_ablation	../../second_try/06_downstream_tasks/downstream_results.tsv; ../../second_try/07_translation_benchmark/translation_results.tsv	Downstream/translation evidence is exploratory and not a stable target10 final readout	Proxy/translation does not replace locked target10 downstream
