model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
glot500_base	lao_Laoo	head	100	7200	1.267440	3.551748	33.117
glot500_base	mya_Mymr	head	100	5473	1.917265	6.802329	23.596
glot500_base	ara_Arab	head	100	2138	2.730795	15.345085	4.470
glot500_base	mar_Deva	head	100	3036	2.449990	11.588232	8.458
glot500_base	hau_Latn	head	100	4606	2.714951	15.103871	18.124
glot500_base	uzb_Latn	head	100	4590	1.721795	5.594560	16.933
glot500_base	slv_Latn	head	100	2355	3.007699	20.240770	5.682
glot500_base	fin_Latn	head	100	2297	3.125536	22.772096	4.875
glot500_base	hun_Latn	head	100	2364	3.055831	21.238838	4.580
glot500_base	cmn_Hani	head	100	994	3.115472	22.544062	1.213
glot500_base	est_Latn	head	100	2625	3.021511	20.522276	5.572
glot500_base	bre_Latn	head	100	3586	2.897460	18.128042	11.820
glot500_base	hrv_Latn	head	100	2032	2.148750	8.574134	4.840
glot500_base	jav_Latn	head	100	2888	3.184559	24.156637	7.307
glot500_base	ron_Latn	head	100	2595	2.346428	10.448183	6.785
glot500_base	ell_Grek	head	100	2811	1.734410	5.665583	6.749
glot500_base	nor_Latn	head	100	2369	2.100162	8.167490	5.434
glot500_base	slk_Latn	head	100	2885	2.521795	12.450926	7.719
glot500_base	vie_Latn	head	100	2245	2.593566	13.377389	5.267
glot500_base	amh_Ethi	head	100	6179	2.170092	8.759093	29.069
glot500_base	epo_Latn	head	100	2627	3.193898	24.383298	5.285
glot500_base	bel_Cyrl	head	100	3906	1.883081	6.573730	12.869
glot500_base	xho_Latn	head	100	3620	2.850202	17.291274	10.291
glot500_base	hin_Deva	head	100	3042	1.928052	6.876100	8.724
glot500_base	tam_Taml	head	100	3394	2.132485	8.435805	10.121
glot500_base	mon_Cyrl	head	100	5410	2.145329	8.544851	22.759
glot500_base	ces_Latn	head	100	2615	2.746410	15.586580	6.074
glot500_base	san_Deva	head	100	2551	2.744230	15.552633	4.724
glot500_base	hye_Armn	head	100	5444	1.518736	4.566448	24.524
glot500_base	pus_Arab	head	100	3944	2.492326	12.089364	13.213
glot500_base	som_Arab	head	100	3818	1.941948	6.972321	14.512
glot500_base	kan_Knda	head	100	3155	1.961019	7.106564	7.760
glot500_base	isl_Latn	head	100	3621	2.834166	17.016200	12.000
glot500_base	ori_Orya	head	100	5618	1.664910	5.285198	24.592
glot500_base	afr_Latn	head	100	2602	3.114688	22.526402	6.085
glot500_base	deu_Latn	head	100	2119	2.364131	10.634794	4.113
glot500_base	urd_Arab	head	100	3236	2.340181	10.383115	11.131
glot500_base	bul_Cyrl	head	100	2580	2.105703	8.212876	6.948
glot500_base	tgl_Latn	head	100	2498	2.330639	10.284508	5.132
glot500_base	eus_Latn	head	100	2653	3.435858	31.058043	6.150
glot500_base	pol_Latn	head	100	2651	2.145760	8.548539	6.527
glot500_base	lat_Latn	head	100	4502	3.406224	30.151192	20.133
glot500_base	tur_Latn	head	100	1921	3.334429	28.062356	3.665
glot500_base	fra_Latn	head	100	2288	1.809362	6.106550	4.938
glot500_base	cat_Latn	head	100	2887	2.207666	9.094468	7.730
glot500_base	uig_Arab	head	100	4332	2.160273	8.673503	15.770
glot500_base	arb_Arab	head	100	4609	1.487038	4.423971	13.253
glot500_base	sqi_Latn	head	100	3061	2.104819	8.205616	8.609
glot500_base	sin_Sinh	head	100	2835	2.107354	8.226445	8.363
glot500_base	msa_Latn	head	100	2962	2.857503	17.417987	9.333
glot500_base	swh_Latn	head	100	2825	3.140043	23.104860	5.612
glot500_base	kor_Hang	head	100	3152	2.429794	11.356542	10.678
glot500_base	ukr_Cyrl	head	100	2777	1.976607	7.218209	6.232
glot500_base	kir_Cyrl	head	100	3278	2.425006	11.302292	8.586
glot500_base	yid_Hebr	head	100	5737	1.669600	5.310041	27.628
glot500_base	heb_Hebr	head	100	1645	2.666158	14.384593	2.256
glot500_base	nld_Latn	head	100	2115	2.690269	14.735641	3.787
glot500_base	fry_Latn	head	100	3219	2.934546	18.812967	10.033
glot500_base	azb_Arab	head	100	4589	3.546296	34.684596	15.128
glot500_base	glg_Latn	head	100	2655	2.303517	10.009319	6.356
glot500_base	fas_Arab	head	100	2438	2.311286	10.087388	6.231
glot500_base	eng_Latn	head	100	1915	2.151479	8.597563	3.972
