field	value
metric	pppl
model_key	xlmr_large
model_path	xlm-roberta-large
tokenizer_path	xlm-roberta-large
eval_data_root	/home/axt/jongha/Glot500-py39-eval/evaluation/download_data/download
eval_output_root	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation
gpu	3
docs_exp_root	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2
model_matrix	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/model_matrix.tsv
pppl_split	train
pppl_eval_role	train_source_diagnostic
pppl_train_source_allowed	1
