metric	summary_group	method	step	model_key	score_name	score_value	aux_score_name	aux_score_value	direction	source_file
ner	all	fvt	4000	v52_fvt_step4000	f1	0.484253	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_fvt_step4000/checkpoint-4000/test_results.txt
ner	all	mean	4000	v52_mean_step4000	f1	0.405138	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_mean_step4000/checkpoint-4000/test_results.txt
ner	all	random	4000	v52_random_step4000	f1	0.376911	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_random_step4000/checkpoint-4000/test_results.txt
ner	v5_target	fvt	4000	v52_fvt_step4000	f1	0.484253	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_fvt_step4000/checkpoint-4000/test_results.txt
ner	v5_target	mean	4000	v52_mean_step4000	f1	0.405138	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_mean_step4000/checkpoint-4000/test_results.txt
ner	v5_target	random	4000	v52_random_step4000	f1	0.376911	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/ner/v52_random_step4000/checkpoint-4000/test_results.txt
pos	all	fvt	4000	v52_fvt_step4000	f1	0.518772	languages	91	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_fvt_step4000/checkpoint-4000/test_results.txt
pos	all	mean	4000	v52_mean_step4000	f1	0.507215	languages	91	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_mean_step4000/checkpoint-4000/test_results.txt
pos	all	random	4000	v52_random_step4000	f1	0.506981	languages	91	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_random_step4000/checkpoint-4000/test_results.txt
pos	head	fvt	4000	v52_fvt_step4000	f1	0.593745	languages	58	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_fvt_step4000/checkpoint-4000/test_results.txt
pos	head	mean	4000	v52_mean_step4000	f1	0.579218	languages	58	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_mean_step4000/checkpoint-4000/test_results.txt
