axis	third_try_main_value	ablation_values	evidence_artifact	observed_result	diagnostic_use	main_claim_boundary
base_model	XLM-R-base	XLM-R/Glot500-adjacent prototype branches	../05_mlm/deviation_from_protocol.tsv; ../../first_try/2026-06-02_init_project/01_survey_synthesis.md	third_try locks xlm-roberta-base as the starting point; first_try was exploratory	Controls the starting point so tokenizer gains are not confused with a different pretrained base	Only third_try XLM-R-base branch can support the main claim
vocab_size	48k target-heavy high-resource+target10 append	8k,16k,32k,target-only 32k	../03_tokenizer/candidate_comparison.tsv; ../../second_try/23_v2_vocab_size_objective_probe/vocab_probe_summary.tsv	48k gives best third_try tokenization average; second_try 8k improves raw loss over 32k but remains worse than original control	Shows vocab budget affects appended-token learning and fragmentation differently	Vocab-size probes are ablations, not standalone positive model claims
fallback	character coverage 1.0 main-compatible tokenizer	byte_fallback_0_9995	../03_tokenizer/fallback_ablation_summary.tsv	byte fallback is slightly better in tokenization metrics but has append-only implementation mismatch	Explains fallback as a tokenizer-axis diagnostic rather than a replacement model	Byte fallback cannot be reported as main until tokenizer implementation can execute byte fallback directly
init_method	fvt selected for Stage05 pilot	random,mean,align,focus	../04_init/init_candidate_summary.tsv; ../../second_try/21_v2_alt_init_mlm_probe/init_probe_variant_summary.tsv	fvt has best zero-step loss in third_try; second_try mean/align full-budget probes fail to beat fvt	Supports fvt as current selection and weakens the explanation that failure is only mean/align init	Init ablation supports selection, not downstream success
training_scale	Glot500-style full MLM intended; 200-step pilot plus replay-safe 1000-step retry executed	500k-token second_try controls, longer 8k budget probe	../05_mlm/replay_safe_seed_summary.tsv; ../05_mlm/deviation_from_protocol.tsv; ../../second_try/25_v2_8k_continued_budget_probe/continued_budget_summary.tsv	third_try replay-safe retry improves the 200-step pilot but remains compute-bounded; second_try longer budget alone did not rescue normalized competitiveness	Separates compute limitation from evidence that budget alone may not solve appended-token failure	Full-budget positive claim remains unproven
checkpoint_selection	checkpoint-200 final retained pilot checkpoint	checkpoint-150 retained earlier checkpoint	../06_eval/checkpoint_selection_proxy_summary.tsv	checkpoint-150 is worse than checkpoint-200 on target10 MLM proxy and high-resource control proxy	Shows retained early checkpoint selection does not rescue the current candidate	Only retained checkpoints are covered; checkpoint-50/100 were not saved
high_resource_replay	high-resource replay + target10 mixture with replay-safe lower-LR retry	target-only, Bible-only, original-control no-extension	../06_eval/high_resource_control_summary_replay_safe.tsv; ../06_eval/replay_safe_candidate_summary.tsv; ../../second_try/15_v2_mlm_control/seed_summary.tsv	third_try replay-safe retry reduces but does not remove high-resource control degradation; second_try target-only branch fails original-control competitiveness	Indicates replay schedule/ratio is a live failure axis	Replay ablation cannot be described as high-resource-safe yet
appended_token_learning	append-only new rows trained by full MLM	added-token failure analysis, new-row repair, staged repair	../../second_try/17_v2_added_token_failure_analysis/token_category_loss.tsv; ../../second_try/18_v2_added_token_repair/repair_summary.tsv; ../../second_try/19_v2_new_row_only_repair/new_row_repair_summary.tsv; ../../second_try/20_v2_staged_added_token_repair/variant_summary.tsv	second_try added-token loss is much higher than base-token loss; repairs are partial or fail gates	Provides the strongest mechanistic explanation for tokenizer gains not becoming model gains	Repair probes are failure analysis, not main evidence
target10_downstream	Coptic POS plus target10 proxies	Coptic/Syriac NMT, retrieval, Bible proxy	../06_eval/coptic_pos_summary_replay_safe.tsv; ../06_eval/frozen_proxy_seed_summary.tsv; ../../first_try/2026-06-03_08_evaluation_analysis/final_metrics.tsv	Coptic POS token accuracy is weakly positive but macro F1 is negative; frozen proxy is mixed; first_try translation remains negative or retrieval-dominated	Prevents conflating tokenizer/representation gains with solved downstream generation	Only locked target10 downstream seed-stable evidence can support positive claim
translation_generation	encoder MLM/downstream evaluation	ByT5 direct NMT, pivot, retrieval-edit gates	../../first_try/2026-06-03_08_evaluation_analysis/error_taxonomy.md; ../../first_try/2026-06-04_10_source_grounding_editing/retrieval_edit_control_results.tsv	direct/pivot neural generation collapses or copies retrieval; source-only control collapses	Shows why translation runs are diagnostics rather than main encoder evidence	Translation evidence cannot replace XLM-R encoder downstream evaluation
shortcut_leakage_control	locked dev/test protocol and final-read audit	invalidated v1 translation shortcut; v2 ACT final protection	../../second_try/22_full_experiment_audit/shortcut_matrix.tsv; ../../second_try/10_leakage_selection_audit/results.md	v1 shortcut is invalidated; v2 no-final audit passes	Protects the negative diagnostic from being based on shortcut-prone positives	Shortcut-prone first_try evidence must not be promoted to main
task_coverage	Coptic official-style supervised task plus proxies	missing official supervised tasks for other target10 languages	../06_eval/target10_downstream_availability.tsv	only Coptic POS is locally confirmed; Syriac remains proxy-only in this protocol	Explains why positive target10 downstream claim is blocked	Task coverage limitation must stay in the main report
